year,Watts
1980,4415351385373.538
1981,4239729399971.524
1982,4143212172706.7837
1983,4086076189337.458
1984,4126255071126.6196
1985,4128077365223.707
1986,4246258236142.062
1987,4321796360446.0767
1988,4461549484620.94
1989,4514741611103.208
1990,4551408997509.514
1991,4561684364629.945
1992,4591801556638.373
1993,4552250872918.643
1994,4642982840874.184
1995,4734497521315.345
1996,4883158293841.739
1997,4952742257721.236
1998,5010828523763.387
1999,5117588510409.785
2000,5237887363287.71
2001,5277384081041.327
2002,5327423555711.07
2003,5441648052680.351
2004,5668945698734.7
2005,5738527888043.38
2006,5817002324963.995
2007,5901410546433.489
2008,5870356190900.781
2009,5773247207645.9
2010,5948899519195.637
2011,5978715731317.894
2012,6076147274507.638
2013,6143704646824.672
2014,6236009486611.134
2015,6330168372636.8125
2016,6436310016419.571
2017,6550833528571.617
2018,6584003679539.138
2019,6555535982794.435
