year,cubic meters
1973,2959548494.5635004
1974,2957343340.783236
1975,2789577562.395333
1976,3035045996.356188
1977,3155807181.006908
1978,3180005842.227161
1979,3317885983.856237
1980,3485291973.995781
1981,3283183826.9984117
1982,3134864023.130672
1983,3129014562.5767097
1984,3205388322.845241
1985,3177290021.2556806
1986,3310162142.589054
1987,3333623818.203799
1988,3454007805.4973664
1989,3520580237.516252
1990,3562158992.3467393
1991,3541355107.3408365
1992,3546601052.1233563
1993,3894144893.965334
1994,3982966167.0198236
1995,4080108994.0766706
1996,4177321457.568685
1997,4307059939.319582
1998,4392022193.258609
1999,4343120006.663144
2000,4510781330.398296
2001,4507421372.401529
2002,4474222201.936044
2003,4620650215.9817705
2004,4846753917.93016
2005,4941993349.092465
2006,4948591401.324459
2007,4951980374.50255
2008,5029526348.096375
2009,4982289632.908637
2010,5140741538.093062
2011,5166773958.772691
2012,5287506128.24209
2013,5320995450.520771
2014,5470313376.625896
2015,5634249151.0796585
2016,5663484847.776936
2017,5696747851.641325
2018,5848932477.6607895
