year,Watts
1980,8845997796623.97
1981,8681676151433.375
1982,8639262768097.21
1983,8692558960482.423
1984,9047625832159.031
1985,9236075461159.89
1986,9416971692853.162
1987,9725064122238.434
1988,10074472901618.182
1989,10236624341765.145
1990,10271049589632.178
1991,10232206832913.611
1992,10192456636731.96
1993,10218772951559.205
1994,10321320930992.5
1995,10578877607965.627
1996,10858534441324.732
1997,10894004277628.04
1998,10956044540961.92
1999,11148136856831.078
2000,11535217873342.598
2001,11620910915772.799
2002,11894540514416.22
2003,12384004095009.824
2004,13029582913114.328
2005,13463719114889.383
2006,13904921467527.54
2007,14329020538314.43
2008,14488699684424.828
2009,14305120016456.463
2010,15228289560468.15
2011,15664174760227.777
2012,16023773283686.008
2013,16217793480615.902
2014,16286417813637.016
2015,16252247818768.836
2016,16135132450871.393
2017,16540275207608.27
2018,16943862933288.691
2019,17064670169017.094
