Country Group,year,kg,Percentage,Per Capita
Africa,1980,119964000000.0,3.18503434231871,255.8009612473186
Asia,1980,834199000000.0,22.14791490220337,321.2721962882272
Europe,1980,536118000000.0,14.233888846114018,1450.1668947832532
North America,1980,792468000000.0,21.039960281322923,2128.8653562534755
Oceania,1980,106667000000.0,2.8320000849597364,4671.615644024
South America,1980,11052000000.0,0.2934296918351037,45.89643816729858
Africa,1981,132325500000.0,3.4869426907685757,274.4141050287115
Asia,1981,850483000000.0,22.411292460432268,321.19199545601487
Europe,1981,514402000000.0,13.555137097662481,1385.4192196543468
North America,1981,790446000000.0,20.82924230134976,2093.907782292886
Oceania,1981,123170000000.0,3.2456837965620036,5306.078490501012
South America,1981,11759000000.0,0.3098643806427913,47.76819082902733
Africa,1982,143280000000.0,3.6296951010515923,288.88611096549414
Asia,1982,908931100000.0,23.025842831263503,336.6425196547097
Europe,1982,549288000000.0,13.91504719895608,1473.9418138493986
North America,1982,806887000000.0,20.44077185233261,2108.6925843072486
Oceania,1982,128432000000.0,3.253552493148088,5435.814957463918
South America,1982,12673000000.0,0.32104359307388913,50.362428269405015
Africa,1983,150301000000.0,3.7704813164235595,294.57095428202973
Asia,1983,966617200000.0,24.248754783625227,351.1122169693954
Europe,1983,558999000000.0,14.023162090734282,1495.1334522666425
North America,1983,758954000000.0,19.03927370426628,1957.6209981119032
Oceania,1983,140986000000.0,3.536803340478719,5874.661444226843
South America,1983,13472000000.0,0.3379613195844219,52.38660004277409
Africa,1984,167902000000.0,4.010261753043904,319.849278299847
Asia,1984,1058692400000.0,25.286379197140345,377.1161149815234
Europe,1984,501324000000.0,11.973892288852916,1530.6621560144235
North America,1984,875230000000.0,20.904464474018276,2228.999429526099
Oceania,1984,150207000000.0,3.587624847467366,6167.39889139807
South America,1984,16055000000.0,0.38346626273135453,61.114410134600156
Africa,1985,178911000000.0,4.080842704932839,331.28844579906155
Asia,1985,1157172400000.0,26.394344377314,404.13758467900647
Europe,1985,551739000000.0,12.58480514432841,1679.8162288553578
North America,1985,867669000000.0,19.790961477753584,2181.958778441668
Oceania,1985,163116000000.0,3.7205691022789265,6596.408929149143
South America,1985,18407000000.0,0.4198516115258356,68.62777995264993
Africa,1986,182665000000.0,4.064761136731207,328.8109415839232
