Country Group,year,kg,Percentage,Per Capita
Africa,1980,95452000000.0,2.594507967106296,203.53367137623835
Asia,1980,894848000000.0,24.323118062996425,344.62973739374837
Europe,1980,602191800000.0,16.36834663313583,1628.892543563055
North America,1980,679204000000.0,18.461637150509837,1824.5959022052443
Oceania,1980,69334000000.0,1.884587178805556,3036.56987693251
South America,1980,16259000000.0,0.4419405045172575,67.51992292454828
Africa,1981,104035500000.0,2.804250331947679,215.74684111312268
Asia,1981,922576100000.0,24.86780315057836,348.4185557136685
Europe,1981,586441000000.0,15.807367378613346,1579.4391013124264
North America,1981,706743000000.0,19.050077063614808,1872.176806234735
Oceania,1981,70003000000.0,1.886912986310763,3015.68086847887
South America,1981,16920000000.0,0.45607427865060224,68.73354782100029
Africa,1982,111567000000.0,2.9432846483673516,224.9452592272982
Asia,1982,985460100000.0,25.997737538058345,364.9867092051116
Europe,1982,602135000000.0,15.885115686042248,1615.7497598385685
North America,1982,687232000000.0,18.130086813007356,1795.9900482950388
Oceania,1982,74493000000.0,1.9652236172956978,3152.875947009777
South America,1982,16942000000.0,0.4469523112805729,67.3274094326726
Africa,1983,117600500000.0,3.0108225296638995,230.48210929430834
Asia,1983,1050266200000.0,26.889045004948887,381.4967226840391
Europe,1983,612591000000.0,15.683630463045123,1638.473944778926
North America,1983,717600000000.0,18.372083854123193,1850.953849963373
Oceania,1983,72096000000.0,1.8458106989226108,3004.125171882162
South America,1983,18112000000.0,0.4637056616023958,70.4294907938483
Africa,1984,125088000000.0,3.058046109784852,238.28963635913368
Asia,1984,1161377200000.0,28.392371997736188,413.6933992273107
Europe,1984,598250000000.0,14.62551232075649,1826.600431728042
North America,1984,772145000000.0,18.876750874902665,1966.466831017481
Oceania,1984,72571000000.0,1.774154708950471,2979.7166906179427
South America,1984,20888000000.0,0.5106522379539683,79.51154150679092
Africa,1985,129091500000.0,3.0406386562460024,239.03797083952108
Asia,1985,1228559200000.0,28.93764961292311,429.06912377375437
Europe,1985,648529000000.0,15.275539807784119,1974.5016014516582
North America,1985,795817000000.0,18.74478128689902,2001.2699418592954
Oceania,1985,80153000000.0,1.8879346061831015,3241.3862827563894
South America,1985,24420000000.0,0.5751919838682438,91.04636206028745
Africa,1986,130261300000.0,3.032337392937513,234.48028196395526
Asia,1986,1278224600000.0,29.755639250894895,437.47517815938136
Europe,1986,661492000000.0,15.398794014254587,2008.215110825063
North America,1986,780808000000.0,18.176337063308544,1938.2776117328144
Oceania,1986,79355000000.0,1.847295657394455,3160.043007327174
South America,1986,25349000000.0,0.5900963722423544,92.61431102829688
Africa,1987,139233000000.0,3.120441330221101,243.6707863870717
Asia,1987,1347669000000.0,30.203486580463984,451.8629338807091
Europe,1987,686562000000.0,15.386987571619226,2078.167140379394
North America,1987,815955000000.0,18.286898261192093,1999.8259859367226
Oceania,1987,86708000000.0,1.9432693891592603,3398.980791846335
South America,1987,25562000000.0,0.5728866093750173,91.55542502247518
Africa,1988,140412800000.0,3.0558681029968713,238.95129683928926
