Country Group,year,kg,Percentage,Per Capita
Africa,1980,119964000000.0,4.985303486229992,255.83696588669847
Asia,1980,840084000000.0,34.91108744228299,323.53866612954346
Europe,1980,536118000000.0,22.279274902726243,1450.1668947832532
North America,1980,792468000000.0,32.93232539033134,2129.1227391430507
Oceania,1980,106667000000.0,4.432724542076745,4671.411053691863
South America,1980,11052000000.0,0.45928423635268806,45.881576380038275
Africa,1981,132325500000.0,5.44827065152342,274.4522383354351
Asia,1981,856659000000.0,35.27143360926958,323.52441334553924
Europe,1981,514402000000.0,21.179601208270142,1385.4192196543468
North America,1981,790446000000.0,32.54522932778702,2094.1019384681413
Oceania,1981,123170000000.0,5.071308977847352,5306.078490501012
South America,1981,11759000000.0,0.4841562253024844,47.752866024763755
Africa,1982,143280000000.0,5.606747913640586,288.92572382669294
Asia,1982,914932100000.0,35.80257986318956,338.86512130234604
Europe,1982,549288000000.0,21.494411976464338,1473.9418138493986
North America,1982,806887000000.0,31.574623142055497,2108.8799678004466
Oceania,1982,128432000000.0,5.0257247909316565,5436.045035130788
South America,1982,12673000000.0,0.4959123137183637,50.34622214629922
Africa,1983,150301000000.0,5.790992712105352,294.6107948754136
Asia,1983,972715200000.0,37.47803829751033,353.3272430408116
Europe,1983,558999000000.0,21.537841631620413,1495.1334522666425
North America,1983,758954000000.0,29.24196833569441,1957.7724925321543
Oceania,1983,140986000000.0,5.43209225826099,5874.661444226843
South America,1983,13472000000.0,0.5190667648085063,52.36990130108417
Africa,1984,167902000000.0,6.04961039387791,319.8913258851682
Asia,1984,1064700400000.0,38.36179799053001,379.2562206617087
Europe,1984,501324000000.0,18.0630062840255,1530.6621560144235
North America,1984,875230000000.0,31.535065127477715,2229.169744234972
Oceania,1984,150207000000.0,5.4120488644162625,6167.652131066765
South America,1984,16055000000.0,0.5784713396726058,61.095339934395284
Africa,1985,178911000000.0,6.079111113950196,331.3313925063336
Asia,1985,1163203400000.0,39.52380075414399,406.2438860159543
Europe,1985,551739000000.0,18.747213345740438,1679.8162288553578
North America,1985,867669000000.0,29.482012068179444,2182.117914527937
Oceania,1985,163116000000.0,5.54242214544159,6596.675698629029
South America,1985,18407000000.0,0.6254405725443447,68.60629372453867
Africa,1986,182665000000.0,6.016439918371536,328.8523787405799
Asia,1986,1209810800000.0,39.8475569528755,414.06040477482884
Europe,1986,579037000000.0,19.07175058721758,1757.8910298640226
North America,1986,870353000000.0,28.66683016601112,2160.741106694836
Oceania,1986,174029000000.0,5.731995853361509,6930.38907251802
South America,1986,20203000000.0,0.6654265221627578,73.79013112239308
Africa,1987,183656500000.0,5.828501254186241,321.45545115940405
Asia,1987,1258579800000.0,39.94214167640932,421.9920180333569
Europe,1987,588215000000.0,18.66752260459695,1780.478797950171
North America,1987,900909000000.0,28.59114290214434,2208.30514457158
Oceania,1987,197181000000.0,6.257713208090632,7729.254047273725
South America,1987,22466000000.0,0.7129783545725203,80.44141447415534
Africa,1988,188419000000.0,5.80938959215291,320.6471518206463
Asia,1988,1325942800000.0,40.881855344259804,435.6328908478978
Europe,1988,586667000000.0,18.088288144293152,1770.327319253204
North America,1988,938258000000.0,28.928644457056908,2269.832591445713
Oceania,1988,178061000000.0,5.4900287134967245,6845.866974240676
South America,1988,26005000000.0,0.8017937487405009,91.3180276289268
Africa,1989,183267700000.0,5.452489247137958,303.34549908549957
Asia,1989,1409085200000.0,41.92240040826201,453.9673672290174
Europe,1989,574806000000.0,17.101341557679728,1552.1998720015554
North America,1989,966191000000.0,28.745632963045153,2307.0022540161604
Oceania,1989,198173000000.0,5.89594430209508,7494.6297556917025
South America,1989,29652000000.0,0.8821915217800775,102.16161463034805
Africa,1990,182677900000.0,5.411553717057032,293.5075096883656
Asia,1990,1444191600000.0,42.781969910550444,456.77331203694183
