Country Group,year,Watts,Percentage,Per Capita
Africa,1980,222095396636.26077,3.054107320036697,473.64386326584486
Asia,1980,1795367139766.513,24.688687864586846,691.4435813714715
Europe,1980,1724587590487.4219,23.71537485208798,4664.905544821993
North America,1980,3109777357663.7046,42.76357788396617,8355.034759604154
Oceania,1980,113895821102.84923,1.566219139253468,4987.992515671772
South America,1980,306300017793.2002,4.212032940068833,1271.5823074181865
Africa,1981,228106850347.17462,3.1739573404866017,473.10938297930625
Asia,1981,1824565262535.2458,25.387629961163668,689.062282859767
Europe,1981,1657937055546.946,23.06910765507026,4465.258419935916
North America,1981,3052416130555.602,42.472370159209746,8086.663144614445
Oceania,1981,116492049897.76259,1.6209105352101267,5018.3970145075
South America,1981,307310509118.765,4.276024348859544,1247.9766621269093
Africa,1982,247341581882.96396,3.4645057472647984,498.7670685229942
Asia,1982,1868473880229.063,26.171654791675003,692.0301824300258
Europe,1982,1642528869091.665,23.00685013694565,4407.509322266225
North America,1982,2947596858919.6016,41.28689636657487,7703.839532582711
Oceania,1982,120523557907.70377,1.6881696796522399,5101.310332163877
South America,1982,312838804235.8226,4.3819232778874095,1242.8195323948028
Africa,1983,261135764490.87326,3.6083011696662455,511.8622973037769
Asia,1983,1958165157466.3757,27.057380063819476,711.2802354750612
Europe,1983,1654577285968.9956,22.8624875183414,4425.435196865819
North America,1983,2933371518980.545,40.532509607174404,7566.827594607015
Oceania,1983,118477255933.65878,1.6370856822226258,4936.758028820317
South America,1983,311356403827.8346,4.302235958775831,1210.340271520502
Africa,1984,274199140809.5772,3.619365759009545,522.4114466185607
Asia,1984,2103761468012.1265,27.76916878720137,749.3794719453541
Europe,1984,1667707525581.0059,22.013356775330934,5091.910215164847
North America,1984,3075619848168.777,40.59747646664908,7833.459445295974
Oceania,1984,123190294203.85222,1.6260836243589039,5058.318723981778
South America,1984,331410955392.5905,4.374548587450153,1261.1438790216773
Africa,1985,281492405048.56104,3.629296525436001,521.3054007003293
Asia,1985,2195030528838.8738,28.300645163646827,766.6051629140348
Europe,1985,1721444065039.1016,22.194669738606414,5241.082608841175
North America,1985,3088587619484.6826,39.82132418090159,7767.550039319973
Oceania,1985,128090708139.12541,1.6514803016080208,5180.196066612424
South America,1985,341469476296.8642,4.402584089801166,1272.7198994288617
Africa,1986,286725170746.95905,3.614675087923031,516.1922341167516
Asia,1986,2283875367484.956,28.792266033924694,781.6613631785085
Europe,1986,1762431644100.8552,22.218550751935183,5350.543709492476
North America,1986,3098626113089.7285,39.06363221824677,7692.658974957308
Oceania,1986,132318844933.4096,1.6681117712739872,5269.357848489093
South America,1986,368275794491.1191,4.642764136696319,1345.1031611494907
Africa,1987,297097220288.185,3.614250367028286,520.0116575560536
Asia,1987,2413759184368.9727,29.363889738050133,809.3146809271946
Europe,1987,1802144384162.7498,21.923466653710754,5454.943969206402
North America,1987,3194439881469.114,38.8610351279974,7830.200413441171
Oceania,1987,136252054395.56161,1.6575349884789896,5340.913895792467
South America,1987,376468861200.9199,4.579823124734419,1347.9786210485381
Africa,1988,307917127139.5028,3.584836655651875,524.0063359537913
Asia,1988,2590555650453.3555,30.159799620512498,851.1160865380855
Europe,1988,1825053998351.6726,21.247666645288565,5507.285994259533
North America,1988,3336909493300.548,38.84900972967634,8072.647312997261
Oceania,1988,141739312562.46225,1.650159209853277,5449.416092366869
South America,1988,387256984221.34406,4.508528139017488,1359.8747927175375
Africa,1989,314757178667.17737,3.581265278802578,520.9874596207552
Asia,1989,2664394591510.7534,30.315126981413183,858.3925215929952
Europe,1989,1840210195750.854,20.937666640828414,4969.283602294397
North America,1989,3421057803522.7925,38.92434028164831,8168.558870706368
Oceania,1989,148833634737.2872,1.6934092834979844,5628.682956557265
South America,1989,399740266015.2804,4.54819153380953,1377.2464254986473
Africa,1990,324656400151.8068,3.6149592249649776,521.6235325288189
Asia,1990,2848720529885.4497,31.71971522520812,901.0019941283475
Europe,1990,1829317436429.7207,20.36894371747718,4925.252106612857
North America,1990,3399050368462.0327,37.84748577217921,8004.50819387162
Oceania,1990,153567460837.05817,1.70993120402922,5710.738196313197
South America,1990,425602385779.5137,4.73896485614129,1439.3143875829855
Africa,1991,330872531593.272,3.473198057884161,517.4168164155816
Asia,1991,2849904200309.5537,29.91569498382721,885.9251297565065
Europe,1991,2350454475950.023,24.67292731041791,5080.06465769151
North America,1991,3411758196841.925,35.81352578946658,7916.16942741046
Oceania,1991,152606815938.20917,1.6019271656796896,5585.901022628447
South America,1991,430855368909.72656,4.522726692724514,1430.84275009872
Africa,1992,333214172853.38904,2.8658018050797285,507.31583612719055
Asia,1992,3266017797483.5376,28.089320509092044,978.430839601589
Europe,1992,3961429511201.354,34.070194994052706,5666.357005011134
North America,1992,3470085772826.504,29.844403034810878,7930.682005399367
Oceania,1992,155517555721.7776,1.3375256163103044,5624.3013171956745
South America,1992,440993301858.08777,3.7927540406543176,1438.7191024934516
Africa,1993,336018628520.48895,2.8434728964001876,498.2792945594016
Asia,1993,3420103179489.2183,28.941760570208125,1008.671118691415
Europe,1993,3896690600985.3745,32.974761424227566,5439.7981391054045
North America,1993,3540905440081.5786,29.964019232862316,7975.784682033573
Oceania,1993,159558063340.86523,1.3502198687897748,5698.502262173758
South America,1993,463915274665.2039,3.9257660075120544,1487.4418851164646
Africa,1994,343506968794.3504,2.8750964839398345,494.81708531186587
Asia,1994,3586889798611.7544,30.021674041909357,1041.9330059228912
Europe,1994,3741831284281.8677,31.318508636648687,5217.328228638411
North America,1994,3625102994644.0117,30.341512169031088,8053.654688302453
Oceania,1994,163821438041.38464,1.3711583265978242,5775.885415554936
South America,1994,486515036113.8674,4.072050341873143,1533.6108440552505
Africa,1995,358489796962.40546,2.920080507216224,503.5902680867878
Asia,1995,3773550565162.1777,30.737475771117698,1080.0285309067417
Europe,1995,3774048870985.512,30.74153472379552,5260.760961847449
North America,1995,3693548951609.1943,30.085822211486793,8096.301532236146
Oceania,1995,168036360620.83057,1.368741050122273,5841.085950390384
South America,1995,509034815120.6804,4.1463457362614795,1578.0893562848937
Africa,1996,370387565452.82776,2.9397160070614086,507.391347553957
Asia,1996,3946182747312.947,31.320318690727984,1113.2078697592854
Europe,1996,3758661060405.869,29.83198442659594,5238.938988393385
North America,1996,3812760372841.107,30.261363351729266,8248.621623090468
Oceania,1996,174240418642.98325,1.3829226343914467,5966.933277729641
South America,1996,537201405224.15497,4.263694889493959,1638.363608489931
Africa,1997,379229206107.6967,3.0031118986906256,506.87436325831055
Asia,1997,3982015419970.924,31.533536172549354,1106.768387785161
Europe,1997,3688308643984.8203,29.207675454323336,5141.35973122309
North America,1997,3839270401086.3516,30.403139943073985,8197.631205358408
Oceania,1997,177980992105.1318,1.4094295126095657,6010.4346921900515
South America,1997,561069984807.4023,4.443107018753113,1683.9037227559825
Africa,1998,385899976254.8782,3.032161556254385,503.4184925816254
Asia,1998,4031994685987.927,31.680901876500226,1105.4386683580724
Europe,1998,3689989447747.9697,28.993637820428106,5149.380534376009
North America,1998,3856020289834.7954,30.29820472248904,8129.3356365657855
Oceania,1998,182170722116.7208,1.4313840224561005,6071.54786417547
South America,1998,580818517972.4161,4.563710001872135,1716.1284277077832
Africa,1999,387411593703.82745,2.985846654583649,493.35266490822494
Asia,1999,4193687621399.894,32.32145954903576,1134.5596602343726
Europe,1999,3694898639471.038,28.477208532185653,5157.980416545968
North America,1999,3930097910667.1606,30.28992908178886,8182.981718190046
Oceania,1999,187173617516.71042,1.4425787167222508,6157.431986206672
South America,1999,581663308747.8876,4.482977465683878,1692.8649224175053
Africa,2000,403518042087.0693,3.0149748640003966,501.6422823729034
Asia,2000,4406841019063.798,32.926693521318036,1176.66467720224
Europe,2000,3751566326277.105,28.030662807179194,5237.876692212791
North America,2000,4030283302566.9395,30.11315873062721,8289.830147698633
Oceania,2000,189789651789.49878,1.418055625550586,6163.002168842305
South America,2000,601796226627.4994,4.496454451324617,1726.2339484120137
Africa,2001,418729726513.0658,3.104030103603831,508.1387768559835
Asia,2001,4524826401993.336,33.542393759165,1192.8048311881362
Europe,2001,3801535325134.378,28.18066008208826,5309.614517235838
North America,2001,3947614477386.3384,29.26354017726312,8027.163412622541
Oceania,2001,195434181295.10922,1.448747350862511,6261.106596242366
South America,2001,601733134297.1809,4.460628527017307,1702.1720360646573
Africa,2002,430282626178.34625,3.122840094441327,509.7150978879035
Asia,2002,4736136622664.28,34.37321527334365,1233.0256557912082
Europe,2002,3801483418937.9624,27.589830768795256,5307.55531517084
North America,2002,4011026198763.3423,29.110618628977555,8066.904385912358
Oceania,2002,199644350559.86517,1.4489485389973242,6311.667369348587
South America,2002,599994149962.2266,4.354546695444928,1674.6281590416193
Africa,2003,448055459936.84375,3.1411040279471916,518.0814165192519
Asia,2003,5082030040631.892,35.62769893045735,1306.7203238116851
Europe,2003,3879070253562.1313,27.194319202965712,5410.351106545488
North America,2003,4046494323873.361,28.368049842704025,8053.269920498821
Oceania,2003,200304839480.42294,1.4042420958288484,6244.695082941232
South America,2003,608311911960.7284,4.264585900096913,1676.0397192990924
Africa,2004,463777555294.25226,3.0917408292864197,523.380669294138
Asia,2004,5628998715324.881,37.525328592343854,1430.123067167497
Europe,2004,3920741676163.952,26.137351803473948,5461.000477975511
North America,2004,4133760745154.717,27.557428617233224,8139.295036307446
Oceania,2004,206559377704.5834,1.377013730895334,6353.131907378077
South America,2004,646693375333.013,4.311136426767272,1759.7385952777813
Africa,2005,489187951719.1126,3.1550884937498065,538.7040080247209
Asia,2005,6061668234319.197,39.09560656966194,1522.0260763096549
Europe,2005,3923855192352.1973,25.30747195433669,5456.619652832982
North America,2005,4152975449391.28,26.785216212200357,8089.3662079314045
Oceania,2005,210768659683.93063,1.3593829747337518,6391.189874580952
South America,2005,666274496754.645,4.297233795317514,1791.4168322586886
Africa,2006,497810179367.89136,3.102798868206846,534.837515396292
Asia,2006,6484892251560.417,40.41965627166287,1609.3173332586566
Europe,2006,4005668515954.8896,24.966913600478055,5499.443991167884
North America,2006,4149707418786.8457,25.864693041734647,7993.411074807896
Oceania,2006,214062263121.39618,1.334227734318814,6391.253787997378
South America,2006,691766840324.761,4.311710483598716,1838.6758143926497
Africa,2007,514872107381.35254,3.1253603491625443,539.601504742182
Asia,2007,6845925864101.092,41.55592222268204,1679.580356523641
Europe,2007,3976787217454.6294,24.139767737084625,5448.429937216575
North America,2007,4204135280333.4556,25.519808743373037,8008.608940119202
Oceania,2007,221413074156.8936,1.3440146258371655,6493.0520280613955
South America,2007,710874246404.3877,4.315126321860534,1868.6759926091113
Africa,2008,537782640544.4483,3.2244107328907887,549.6905877468074
Asia,2008,7050246715785.566,42.27152285334528,1710.3452655747121
Europe,2008,4000104856176.5386,23.9836321564533,5468.21730696884
North America,2008,4127187671468.7974,24.745589056325507,7775.454027563828
Oceania,2008,219191660069.66895,1.3142185857343143,6305.314848248682
South America,2008,743964636751.4102,4.4606266152508445,1934.823105464341
Africa,2009,537381175585.7308,3.262882894728314,535.598169280197
Asia,2009,7337106975736.013,44.54960824004813,1760.3073105156525
Europe,2009,3684911830241.0537,22.374129064663126,5029.676250680495
North America,2009,3951558429339.6904,23.993159776314133,7365.371113670311
Oceania,2009,224040326252.3504,1.3603330028472918,6323.6423904809735
