year,cubic meters
1980,1510200000000.0
1981,1548200000000.0
1982,1546700000000.0
1983,1562800000000.0
1984,1699800000000.0
1985,1761900000000.0
1986,1799400000000.0
1987,1885800000000.0
1988,1978300000000.0
1989,2042100000000.0
1990,2076300000000.0
1991,2111700000000.0
1992,2122000000000.0
1993,2158800000000.0
1994,2175800000000.0
1995,2205300000000.0
1996,2270300000000.0
1997,2271800000000.0
1998,2315200000000.0
1999,2369000000000.0
2000,2454700000000.0
2001,2500600000000.0
2002,2557000000000.0
2003,2636200000000.0
2004,2701800000000.0
2005,2793800000000.0
2006,2899800000000.0
2007,2967000000000.0
2008,3059400000000.0
2009,2998800000000.0
2010,3205900000000.0
2011,3312700000000.0
2012,3387100000000.0
2013,3420100000000.0
2014,3489400000000.0
2015,3546600000000.0
2016,3585000000000.0
2017,3696800000000.0
