year,Watts
1980,2606573465362.0117
1981,2618586010557.814
1982,2664634538836.305
1983,2736696437352.4634
1984,2857033158304.086
1985,2954523579218.4556
1986,2988092501599.704
1987,3109903510635.576
1988,3204107996793.5146
1989,3194747801194.7324
1990,3244572774616.898
1991,3058243371140.142
1992,2973029190307.3193
1993,2977860056910.9224
1994,2994384090327.433
1995,3084498697771.0376
1996,3150470380151.869
1997,3091568942822.5195
1998,3096569550293.705
1999,3110193763874.928
2000,3258470912217.077
2001,3303903664421.861
2002,3391646488252.4595
2003,3675237874677.337
2004,3990493124670.991
2005,4269548020439.8926
2006,4532601693537.277
2007,4747363359382.168
2008,4809100925298.832
2009,4798883548617.62
2010,5104431357530.002
2011,5422175081843.422
2012,5629794949406.362
2013,5746746229711.828
2014,5722699863483.667
2015,5626246802798.364
2016,5532864896760.79
2017,5478622404980.459
2018,5527006173388.621
