year,Watts
1980,598367153721.3688
1981,610457748344.382
1982,625698079413.5768
1983,658408014452.8118
1984,675015557270.6736
1985,681791565805.0916
1986,695597504944.6674
1987,695340604130.0552
1988,715370121570.7772
1989,718451093397.7767
1990,745801444302.6846
1991,761717379833.1514
1992,756600373191.8372
1993,797391988933.304
1994,805858086038.8983
1995,845780795855.0332
1996,860679965684.5443
1997,869284986334.1451
1998,869720580092.3368
1999,886322102044.9246
2000,894599714378.6781
2001,887212556330.1846
2002,886386018283.1228
2003,885927703680.713
2004,933499098919.5852
2005,971822508475.1226
2006,997611839147.0697
2007,1008009271388.7404
2008,1045604536511.299
2009,1054242259965.9669
2010,1110744436354.5278
2011,1125831552246.8818
2012,1153831617892.3833
2013,1198506184715.3464
2014,1217175081670.4382
2015,1197203998311.6387
2016,1231469186228.6772
2017,1237938098945.3564
2018,1264866038618.1462
