year,Watts
1980,609158635750.8403
1981,621880026921.9812
1982,640729961789.2328
1983,674630221893.1376
1984,693024282192.8535
1985,700716159401.7407
1986,716365814243.2738
1987,718086482472.2892
1988,738869622112.7284
1989,765284520686.6442
1990,807334782469.2584
1991,827126158844.0114
1992,827160858041.2484
1993,869468654413.7667
1994,881848345636.2257
1995,925101544611.8206
1996,943581418086.0734
1997,955584710162.6135
1998,958240735656.3271
1999,980798065849.1912
2000,996273781061.8347
2001,996635539998.5083
2002,1009125539810.5399
2003,1014287576186.3507
2004,1066916213056.5016
2005,1118768285061.3647
2006,1157996187024.88
2007,1187222164217.6973
2008,1251829312550.471
2009,1288366426445.5063
2010,1391552110577.612
2011,1455261484520.5034
2012,1528358845108.7322
2013,1637838773487.0422
2014,1709832097516.607
2015,1742864687556.999
2016,1847170632895.2441
2017,1952604508120.6616
2018,2063136091529.7517
2019,2127420806682.7205
