Country Group,year,Watts,Percentage,Per Capita
Africa,1980,70510163091.2264,4.123245358952945,150.37099621082686
Asia,1980,657013201790.1781,38.4203711392245,253.0332382674766
Europe,1980,382764531441.5314,22.383043927953604,1035.355000193488
North America,1980,544702864646.5608,31.852763632903436,1463.4524740372506
Oceania,1980,43534658582.771996,2.545790154006202,1906.5717168595952
South America,1980,11539273496.5024,0.6747857869593065,47.904456958009966
Africa,1981,76850260979.80678,4.417038772626241,159.39275606417746
Asia,1981,677857817633.9413,38.96049570480527,255.9986561533917
Europe,1981,367833070760.8926,21.141540896418686,990.6707319501439
North America,1981,561049577243.0,32.24683565744896,1486.369729597338
Oceania,1981,44320539944.852005,2.5473634163920513,1909.2982356805242
South America,1981,11948058559.8424,0.6867255523087934,48.52062587500517
Africa,1982,82476315935.6554,4.629828219200739,166.31441429556287
Asia,1982,721336989189.8986,40.492428768401346,267.1629362897029
Europe,1982,374706332113.86786,21.034231835566334,1005.4749617992193
North America,1982,544186147650.9932,30.548022839166446,1422.2849860459712
Oceania,1982,46834124441.6886,2.6290450598066695,1982.3128943404977
South America,1982,11872100591.096199,0.6664432778584459,47.1644767381472
Africa,1983,87003562978.999,4.701026340482919,170.53904396002687
Asia,1983,765549660580.0522,41.36461767897117,278.07682144123885
Europe,1983,375458908584.3533,20.287010768168894,1004.2257216488578
North America,1983,565437932431.1018,30.552066182719834,1458.584881755503
Oceania,1983,44625892880.5376,2.411251800683325,1859.489682092487
South America,1983,12659534702.6416,0.6840272289738412,49.21159314838113
Africa,1984,92491328166.13321,4.7150776002530845,176.21692177546757
Asia,1984,845167713326.3169,43.08545928115673,301.0566284951498
Europe,1984,359457603522.05426,18.324642193083886,1097.510094076576
North America,1984,607539434946.0742,30.9715044402785,1547.3744350758082
Oceania,1984,42305229582.58579,2.1566610009115816,1737.0957371514246
South America,1984,14646451931.826199,0.7466554843162481,55.735282442086714
Africa,1985,95509239351.57883,4.6296920539542175,176.87682295431432
Asia,1985,887796833771.8794,43.034851651464216,310.0593032518203
Europe,1985,396704767565.4818,19.229772141759867,1207.8013456014328
North America,1985,620130426850.886,30.060054180081,1559.5782651854274
Oceania,1985,45210392143.584595,2.1915177493228324,1828.381612956873
South America,1985,17620093913.1256,0.8541122234178504,65.67334918551914
Africa,1986,96503284208.31618,4.611073400681149,173.73516857735754
Asia,1986,920016955576.6921,43.9598066204441,314.8778247191965
Europe,1986,401916396857.89154,19.204175506073884,1220.1728538793827
North America,1986,610962867252.1061,29.1927331707049,1516.7783438854876
Oceania,1986,44975451642.840195,2.148995347207575,1791.0657338552903
South America,1986,18484468345.1198,0.8832159548883998,67.51330707885533
Africa,1987,103249536992.77483,4.700524794445329,180.71849619268585
Asia,1987,971625848002.0149,44.23411012271211,325.7785897817063
Europe,1987,413684431546.0414,18.833342833239662,1252.1890115175497
North America,1987,639844387573.7212,29.129471143172573,1568.3844348367043
Oceania,1987,49346282944.118195,2.2465323646804713,1934.3139408144798
South America,1987,18802908740.5852,0.8560187417498871,67.32540618361668
Africa,1988,104110900992.13199,4.542831453807143,177.17355402909698
Asia,1988,1043768806378.021,45.54437353755256,342.9258204044073
Europe,1988,405195803728.8164,17.680533206307025,1222.7195342296106
North America,1988,670488500359.9175,29.256458447912237,1622.044949583698
Oceania,1988,49731364811.5374,2.170005313119742,1912.0094122082814
South America,1988,18466976147.0606,0.8057980413012962,64.84783072563015
Africa,1989,104421419196.44739,4.558151634245354,172.83879003972058
Asia,1989,1032266165093.3959,45.05996704129001,332.56694005943933
Europe,1989,402910821979.8042,17.587661954750235,1088.0160024514246
North America,1989,677131606215.6033,29.5578106601317,1616.806761608191
Oceania,1989,54436575956.874596,2.3762382236324857,2058.716283067642
South America,1989,19705404756.3932,0.8601704859502206,67.89208036077396
Africa,1990,107722849758.76918,4.542302920303273,173.07767042006887
Asia,1990,1132723319838.3833,47.76305542528282,358.26117699622307
Europe,1990,377034378893.97156,15.898245953759714,1015.1269167024888
North America,1990,678715188848.9591,28.61909048327835,1598.323267243841
Oceania,1990,55570146444.1458,2.3432023850109482,2066.496093270827
South America,1990,19781140903.7872,0.8341028323648552,66.89643116891965
Africa,1991,105566429327.73918,4.283186405605613,165.0842562242782
Asia,1991,1069002119648.5435,43.37302469734187,332.31146557724577
Europe,1991,540999113528.8773,21.950160323388864,1169.267690398324
North America,1991,672907684027.0107,27.302136321235892,1561.3214443787285
Oceania,1991,56414937219.6172,2.288944446742456,2064.968419458902
South America,1991,19780158552.0846,0.8025478056853282,65.68862430952643
Africa,1992,103949795312.90561,3.5753832705477118,158.2627079539623
Asia,1992,1187209716870.9624,40.834421535461466,355.663279286547
Europe,1992,859579668400.1031,29.565491272488515,1229.5271849799935
North America,1992,679485986359.0895,23.371116998229247,1552.9262495865394
Oceania,1992,57654443246.9462,1.9830412483003859,2085.0762448716573
South America,1992,19495276558.330597,0.6705456749726028,63.60238732580337
Africa,1993,106954999303.74661,3.612124855358452,158.60269961021686
Asia,1993,1242637114937.2148,41.96681256860517,366.48372960443436
Europe,1993,834552769404.4319,28.184833070896772,1165.03953401984
North America,1993,701385267666.2698,23.687449628460946,1579.8495522455323
Oceania,1993,55654121670.3358,1.8795721331141306,1987.6472025119929
South America,1993,19815238014.4968,0.669207743564543,63.53318503596419
Africa,1994,108665780638.2068,3.6477163530977874,156.53156917677188
Asia,1994,1305382057173.8872,43.81934633909419,379.1922046881417
Europe,1994,782936493496.9572,26.281781016918842,1091.6677846785415
North America,1994,706124487193.7755,23.703339028458565,1568.750679695315
Oceania,1994,55575058202.6588,1.8655555358788167,1959.4210133857066
South America,1994,20324634905.4418,0.6822617265518003,64.06807226643276
Africa,1995,114824713859.56898,3.7450515010508396,161.30056957128144
Asia,1995,1390799122153.1868,45.36143975459965,398.0608466077189
Europe,1995,768646223279.235,25.06968748722091,1071.4392375748332
North America,1995,712917005574.5503,23.252057959551717,1562.7222273785524
Oceania,1995,57860863859.5506,1.887153973789329,2011.2925423926097
South America,1995,20990384160.9232,0.6846093237875566,65.07354869397453
Africa,1996,118776714759.1288,3.7923261660405005,162.71139471430718
Asia,1996,1437258875529.892,45.889082318022645,405.44698347047273
Europe,1996,747127460657.3717,23.854431604411612,1041.3695515590305
North America,1996,745483881685.9987,23.801955093744244,1612.7985671332424
Oceania,1996,61622763860.275,1.9675036498944323,2110.2963549287697
South America,1996,21758234615.9458,0.6947011678865924,66.35853784648403
Africa,1997,123030202565.09297,4.004709514582384,164.44106778266624
Asia,1997,1391967065443.4197,45.30939261046294,386.88578078939344
Europe,1997,708655937816.0939,23.06719096260856,987.8389944187096
North America,1997,762481671639.9094,24.819252032812567,1628.0550448284457
Oceania,1997,62972610165.9412,2.0497975767877374,2126.590914694759
South America,1997,23030506825.8712,0.749657302745832,69.11999791675531
Africa,1998,125766749209.65518,4.087686830067177,164.06662658667523
Asia,1998,1412181337888.3892,45.89889690899201,387.1730940173507
