Country Group,year,cubic meters,Percentage,Per Capita
Africa,1980,19700000000.0,1.8817461075556405,42.01250565142843
Asia,1980,100200000000.0,9.571114719648486,38.58968192011782
Central America,1980,25000000000.0,2.3880026745629954,273.83156073036355
Europe,1980,230100000000.0,21.97917661667781,622.4066390041494
Northern America,1980,629300000000.0,60.11080332409972,2240.243212166304
Oceania,1980,10000000000.0,0.9552010698251983,437.9434177104318
South America,1980,32600000000.0,3.1139554876301463,135.33653546772058
Africa,1981,29300000000.0,2.78041374074777,60.770226322426495
Asia,1981,104000000000.0,9.869045359650787,39.27646705157604
Central America,1981,27000000000.0,2.562156006832416,288.6866894051985
Europe,1981,224900000000.0,21.34181059024483,605.7145627354921
Northern America,1981,621300000000.0,58.95805655722148,2188.169164882227
Oceania,1981,11300000000.0,1.072309736192826,486.7961917890837
South America,1981,36000000000.0,3.416208009109888,146.19467445288674
Africa,1982,35300000000.0,3.463160992838222,71.18284513597335
Asia,1982,101300000000.0,9.938192877464926,37.51867137236485
Central America,1982,30000000000.0,2.9431963111939567,313.2472251516639
Europe,1982,217200000000.0,21.308741293044246,582.8275184749883
Northern America,1982,584900000000.0,57.38251741391151,2039.0945569527582
Oceania,1982,13300000000.0,1.3048170312959875,562.9391348514349
South America,1982,37300000000.0,3.659374080251153,148.18228407298673
Africa,1983,47500000000.0,4.759519038076152,93.10658449765567
Asia,1983,113100000000.0,11.332665330661323,41.08223166237743
Central America,1983,29000000000.0,2.905811623246493,295.85798816568047
Europe,1983,222900000000.0,22.334669338677354,596.1821872851912
Northern America,1983,532600000000.0,53.366733466933866,1838.8217178447876
Oceania,1983,14400000000.0,1.4428857715430863,600.0250010417101
South America,1983,38500000000.0,3.8577154308617234,149.6616092704677
Africa,1984,51400000000.0,4.75134035866149,97.92863783932083
Asia,1984,140100000000.0,12.950637825845812,49.90492772868817
Central America,1984,29000000000.0,2.680717322980218,289.23353114247243
Europe,1984,224400000000.0,20.74320576816417,685.1469066105685
Northern America,1984,579400000000.0,53.55888334257719,1981.7964776423669
Oceania,1984,15000000000.0,1.3865779256794233,615.9152500615916
South America,1984,42500000000.0,3.9286374560916992,161.72855479363437
Africa,1985,53000000000.0,4.864616796695732,98.15251048194735
Asia,1985,160400000000.0,14.722349701698027,56.01902411646928
Central America,1985,28000000000.0,2.569986232216613,273.1760619719409
Europe,1985,230400000000.0,21.14731528223956,701.472361258266
Northern America,1985,558100000000.0,51.22533272143185,1891.0374785263393
Oceania,1985,16800000000.0,1.5419917393299678,679.419258300643
South America,1985,42800000000.0,3.9284075263882516,159.52351667356197
Africa,1986,53400000000.0,4.909441941711869,96.1361893342839
Asia,1986,175700000000.0,16.153351107842237,60.13371108849204
Central America,1986,25000000000.0,2.298427875333272,238.7318563789152
Europe,1986,228500000000.0,21.007630780546105,693.7002304238403
Northern America,1986,540300000000.0,49.67362324170268,1812.5824015458782
Oceania,1986,19500000000.0,1.7927737427599522,776.5521086376489
South America,1986,45300000000.0,4.164751310103889,165.45527594141495
Africa,1987,59400000000.0,5.216474927548959,103.96829842052202
Asia,1987,193700000000.0,17.01062615263019,64.94610345173284
Central America,1987,25000000000.0,2.195486080618249,233.79125246649772
Europe,1987,232700000000.0,20.43558443839466,704.3639082359423
Northern America,1987,563000000000.0,49.442346535522965,1870.239277682365
Oceania,1987,19300000000.0,1.694915254237288,756.5363960644428
South America,1987,45600000000.0,4.004566611047686,163.27465948640094
Africa,1988,63000000000.0,5.3448714685670655,107.21196145134364
Asia,1988,209800000000.0,17.799270382624925,68.92890138238916
Central America,1988,26000000000.0,2.205819971154662,238.21521828759907
Europe,1988,221000000000.0,18.749469754814626,666.8899691902869
Northern America,1988,589400000000.0,50.00424196148299,1937.445556596486
Oceania,1988,20700000000.0,1.7561720539577501,795.8477508650519
South America,1988,48800000000.0,4.140154407397981,171.36395878837254
Africa,1989,67200000000.0,5.514977431267952,111.22973409141694
Asia,1989,224500000000.0,18.424292162494872,72.32754551883335
Central America,1989,25000000000.0,2.0517029134181373,224.50115842597748
Europe,1989,225000000000.0,18.465326220763234,607.5875533664401
Northern America,1989,600600000000.0,49.290110791957325,1953.4883720930231
Oceania,1989,20800000000.0,1.70701682396389,786.6273352999017
South America,1989,55400000000.0,4.5465736561345915,190.872570164619
Africa,1990,69800000000.0,5.638126009693053,112.14725030366519
Asia,1990,227500000000.0,18.376413570274636,71.95439198538773
Central America,1990,26000000000.0,2.10016155088853,228.91555657295802
Europe,1990,219400000000.0,17.722132471728596,590.7123010317272
Northern America,1990,618000000000.0,49.919224555735056,1986.7358059299884
Oceania,1990,24800000000.0,2.003231017770598,922.2416421851177
South America,1990,52500000000.0,4.240710823909532,177.54600978024877
Africa,1991,76300000000.0,5.880539499036609,119.3175598542543
Asia,1991,240800000000.0,18.558766859344892,74.85541837588612
Central America,1991,25000000000.0,1.9267822736030829,215.86336712314574
Europe,1991,252700000000.0,19.47591522157996,546.1634556779818
Northern America,1991,621700000000.0,47.91522157996146,1972.573705786047
Oceania,1991,26300000000.0,2.026974951830443,962.6647144948755
South America,1991,54700000000.0,4.2157996146435455,181.65515409139215
Africa,1992,80000000000.0,3.770561342319838,121.79934167455825
Asia,1992,377700000000.0,17.801762737427534,113.15104541140606
Central America,1992,25000000000.0,1.1783004194749493,211.76032119805518
Europe,1992,916600000000.0,43.20120657962954,1311.088034283393
Northern America,1992,638500000000.0,30.093792713390204,1998.472584774675
Oceania,1992,28600000000.0,1.347975679879342,1034.3206393982134
South America,1992,55300000000.0,2.606400527878588,180.4135483071141
Africa,1993,79400000000.0,3.6779692421715766,117.74161498788477
Asia,1993,403300000000.0,18.681675004632204,118.94292096444924
Central America,1993,26000000000.0,1.204372799703539,216.12635078969242
Europe,1993,904800000000.0,41.91217342968316,1263.1049935085784
Northern America,1993,657200000000.0,30.442838614044838,2030.5446815610353
Oceania,1993,29000000000.0,1.3433388919770242,1035.7142857142858
South America,1993,59100000000.0,2.73763201778766,189.49109936900425
Africa,1994,76700000000.0,3.5251401783252136,110.48529983722504
Asia,1994,395200000000.0,18.163434139167205,114.79915666773371
Central America,1994,27000000000.0,1.240922878941079,220.3541989716804
Europe,1994,895000000000.0,41.1342954315654,1247.9207131134856
Northern America,1994,689100000000.0,31.671109476973985,2103.550485516913
Oceania,1994,31000000000.0,1.4247633054508686,1092.9732397842258
South America,1994,61800000000.0,2.8403345895762477,194.80826516620172
Africa,1995,84400000000.0,3.8271436992699406,118.56130630959672
Asia,1995,410400000000.0,18.609712964222556,117.4606518264788
Central America,1995,27000000000.0,1.2243232213304311,216.44848125315653
Europe,1995,891100000000.0,40.4072008343536,1242.1312636256685
Northern America,1995,693600000000.0,31.451503196843966,2092.5538751165295
Oceania,1995,33700000000.0,1.528136761438353,1171.440489432703
South America,1995,65100000000.0,2.951979322541151,201.82041393335896
Africa,1996,90600000000.0,3.990662027044884,124.112309310889
Asia,1996,443900000000.0,19.552482050830285,125.22303325223034
Central America,1996,30000000000.0,1.3214112672334053,236.36564189029482
Europe,1996,896000000000.0,39.4661498480377,1248.872739031594
Northern America,1996,704600000000.0,31.035545963088577,2101.3515931621077
Oceania,1996,35400000000.0,1.5592652953354182,1212.287250436629
South America,1996,69800000000.0,3.074483548429723,212.87691871334508
Africa,1997,100300000000.0,4.41500132053878,134.06008244093604
Asia,1997,467700000000.0,20.58719957742759,129.99336275068958
Central America,1997,33000000000.0,1.4525926578043842,255.65144636742536
Europe,1997,854800000000.0,37.62655163306629,1191.5581700075275
Northern America,1997,708100000000.0,31.16911699973589,2087.2082226748453
Oceania,1997,35800000000.0,1.57584294392112,1208.9693367553693
South America,1997,72100000000.0,3.1736948675059424,216.38915233076028
Africa,1998,105200000000.0,4.54388389771942,137.23666410543743
Asia,1998,473200000000.0,20.438838977194195,129.7356813700439
Central America,1998,35000000000.0,1.5117484450587422,266.7154374895219
Europe,1998,869500000000.0,37.556150656530754,1213.387311276059
Northern America,1998,717700000000.0,30.999481686247407,2091.761194725859
Oceania,1998,36000000000.0,1.5549412577747064,1199.8400213304892
South America,1998,78600000000.0,3.3949550794747756,232.2372483727142
Africa,1999,113500000000.0,4.791051076403546,144.53756257457692
Asia,1999,505200000000.0,21.325453777965386,136.67673706203993
Central America,1999,36000000000.0,1.5196285352469396,269.9399383637141
Europe,1999,876400000000.0,36.99451245251161,1223.4311352335324
Northern America,1999,722500000000.0,30.498100464330943,2082.6487256207593
Oceania,1999,37800000000.0,1.5956099620092865,1243.5028620303967
South America,1999,77600000000.0,3.275643731532292,225.84597653646568
Africa,2000,124600000000.0,5.075976697763474,154.89921605581344
Asia,2000,554000000000.0,22.56894936244755,147.92279284641103
Central America,2000,37000000000.0,1.507312502546136,273.06474586528316
Europe,2000,877500000000.0,35.747749215790115,1225.1514161493806
Northern America,2000,740600000000.0,30.170692956369415,2111.9390429260307
Oceania,2000,39200000000.0,1.5969364891840143,1272.9339178438058
South America,2000,81800000000.0,3.3323827758992954,234.6407816004911
Africa,2001,131500000000.0,5.258737902903303,159.57847013394883
Asia,2001,572100000000.0,22.878509157802128,150.8132209496725
Central America,2001,36000000000.0,1.4396544829240983,261.5974886641088
Europe,2001,875000000000.0,34.99160201551628,1222.1148313062522
Northern America,2001,757300000000.0,30.284731664400542,2138.2628484947736
Oceania,2001,40500000000.0,1.6196112932896105,1297.4947139104247
South America,2001,88200000000.0,3.5271534831640405,249.49859833837328
Africa,2002,131900000000.0,5.158388736800939,156.24944471624556
Asia,2002,621000000000.0,24.28627297614392,161.6737423878613
Central America,2002,37000000000.0,1.4470082127493156,264.83619523438006
Europe,2002,898000000000.0,35.11928040672663,1253.7696861387244
Northern America,2002,741400000000.0,28.99491591709034,2073.7823451586105
Oceania,2002,41100000000.0,1.6073523660539695,1299.358224526572
