year,Watts
1980,608815002787.5178
1981,621532115975.4384
1982,640355527346.719
1983,674256643047.2681
1984,692632957638.8086
1985,700179795372.1212
1986,715743763794.1752
1987,717364549037.1716
1988,738029584651.9468
1989,764359018627.7365
1990,800158323016.5894
1991,819195982125.332
1992,819092042977.444
1993,860828554301.7535
1994,873278784714.2123
1995,915255496874.1902
1996,933166905600.2832
1997,945235603286.9574
1998,949511716870.8463
1999,970569471345.3094
2000,994122399144.3759
2001,994271272960.4672
2002,1006814953539.7311
2003,1009741981348.3033
2004,1061217369008.3671
2005,1112234451572.6492
2006,1154128452888.1436
2007,1183529859081.7878
2008,1251446543962.8672
2009,1287596833108.4312
2010,1390011561286.5837
2011,1453581694797.8218
2012,1526308835549.2288
2013,1635919575147.8074
2014,1705666672787.4658
2015,1733050867292.9653
2016,1844606809031.0112
2017,1927324114852.5715
2018,238025592110.79758
