Country Group,year,Watts,Percentage,Per Capita
Africa,1980,20922823714.795994,3.436647731427842,44.62031723663489
Asia,1980,88137291910.09319,14.476861652417197,33.94401257595878
Europe,1980,140292023305.65103,23.04346058652861,379.48147198940484
North America,1980,195350871532.97583,32.08707097271451,524.8489310511866
Oceania,1980,12065053478.7456,1.9817276689075687,528.3810755340983
South America,1980,68470769267.8642,11.24656581162707,284.2514323166385
Africa,1981,18439216789.270996,2.9667362627877147,38.24421083591416
Asia,1981,94965840416.218,15.279315044055286,35.86464136666168
Europe,1981,143862903433.3666,23.1464978888927,387.4604519653178
North America,1981,198739414509.18298,31.975730564253674,526.5136304993681
Oceania,1981,12515572645.0638,2.0136648774187282,539.1622213873175
South America,1981,69628930236.465,11.202789935841064,282.7605219006323
Africa,1982,18177784481.320995,2.8387018937182757,36.65570588240714
Asia,1982,99618258079.73158,15.556710893477357,36.895801456869485
Europe,1982,142752909386.95782,22.292758208623123,383.05858164404003
North America,1982,212264401061.81525,33.147898627707924,554.7742661319639
Oceania,1982,11972205398.4676,1.8696184989725646,506.7385676148142
South America,1982,76362634270.142,11.925037109704762,303.36701243913603
Africa,1983,17685150946.849403,2.622910771150023,34.66534738919219
Asia,1983,106212943503.1084,15.752598006492105,38.580590190430634
Europe,1983,150330168334.2868,22.295688565951522,402.08240723412337
North America,1983,224353221114.01077,33.274156492680376,578.7341062936547
Oceania,1983,12024967191.5266,1.7834405860697309,501.0611771959915
South America,1983,83405018559.78758,12.369921082715274,324.22154023093594
Africa,1984,15801634156.554594,2.2813864085276103,30.105690828534566
Asia,1984,106785401035.6074,15.417314445971444,38.037956610713564
Europe,1984,150269072396.13797,21.69533960792255,458.80744256440954
North America,1984,227920171834.91595,32.906342287247995,580.501983655988
Oceania,1984,12299962290.725399,1.7758268871085865,505.04895666935204
South America,1984,90725503447.56279,13.098640838121058,345.24481307056993
Africa,1985,16433222923.797201,2.3470002340745544,30.43324689207891
Asia,1985,112501673904.2722,16.06753928985796,39.29073555851987
Europe,1985,149684541444.3264,21.37801303105549,455.7272948385955
