year,Watts
1989,1827269233.1297998
1990,1978044375.0965998
1991,2068325665.442
1992,2128787828.2988
1993,2211590570.1986
1994,2282573402.9026
1995,2329567840.8044
1996,2371270255.018
1997,2356344846.8914
1998,2359291901.9992
1999,2345507289.3982
2000,2326525719.4028
2001,2346426263.5716
2002,2400772494.8606
2003,2502334985.4035997
2004,2682960943.6236
2005,3027544569.884
2006,3581907817.7964
2007,4294493067.3566
2008,5970543515.8152
2009,8656926846.0156
2010,12786226383.5124
2011,23425000256.3766
2012,35008035936.791595
2013,48807257058.2722
2014,66190350700.9544
2015,83966670223.558
2016,108220521806.8122
2017,144018526956.3172
2018,176855565630.3628
2019,210677205909.29498
