Country Group,year,population,Percentage
Africa,1980,468908000,5.602705980765016
Asia,1980,2596549000,31.02463726711726
Europe,1980,369694000,4.4172562311859505
North America,1980,372204000,4.447246745341649
Oceania,1980,22834000,0.2728300399327552
South America,1980,240881000,2.8781454343979154
Africa,1981,482144000,5.655352224387363
Asia,1981,2647896000,31.058738745159953
Europe,1981,371297000,4.355162181544009
North America,1981,377463000,4.427486843503035
Oceania,1981,23213000,0.2722790103883982
South America,1981,246247000,2.888376748852448
Africa,1982,495906000,5.710915109234963
Asia,1982,2699989000,31.093408780833865
Europe,1982,372666000,4.291667957431764
North America,1982,382614000,4.406230361408869
Oceania,1982,23626000,0.27207995138349855
South America,1982,251717000,2.8988042462710624
Africa,1983,510168000,5.768586909460888
Asia,1983,2753015000,31.128973770502
Europe,1983,373879000,4.227535841374463
North America,1983,387662000,4.383383392324541
Oceania,1983,23999000,0.27136221252636744
South America,1983,257247000,2.9087509931984856
Africa,1984,524872000,5.889211833537032
Asia,1984,2807338000,31.49912392038094
Europe,1984,327521000,3.6748779682129777
North America,1984,392626000,4.405374425296664
Oceania,1984,24354000,0.273258746882975
South America,1984,262786000,2.9485330154549345
Africa,1985,539976000,5.946946911006818
Asia,1985,2863313000,31.534680060957648
Europe,1985,328452000,3.617358191501125
North America,1985,397627000,4.379206963611176
Oceania,1985,24727000,0.27232720763231255
South America,1985,268299000,2.9548719003737545
Africa,1986,555462000,6.002625990824593
Asia,1986,2921822000,31.574805617239516
Europe,1986,329393000,3.5596008061679925
North America,1986,402803000,4.352909392509512
Oceania,1986,25111000,0.27136319182157626
South America,1986,273790000,2.958724395238316
Africa,1987,571328000,6.0569173911087315
Asia,1987,2982473000,31.618601892804538
Europe,1987,330369000,3.502397469725272
North America,1987,407964000,4.325018634735708
Oceania,1987,25511000,0.27045413416561914
South America,1987,279284000,2.960821308702551
Africa,1988,587621000,6.111745677258721
Asia,1988,3043716000,31.6571703628754
Europe,1988,331389000,3.4467204001237026
North America,1988,413360000,4.299286773535433
Oceania,1988,26010000,0.27052556846249426
South America,1988,284774000,2.9618857452263874
Africa,1989,604155000,6.120583875466512
Asia,1989,3103935000,31.445398137061098
Europe,1989,370317000,3.751613839182217
North America,1989,418808000,4.242867296830084
Oceania,1989,26442000,0.26787906884009155
South America,1989,290246000,2.9404291738356103
Africa,1990,622396000,6.1037682577291426
Asia,1990,3161725000,31.006684963702646
Europe,1990,371416000,3.642435348576673
North America,1990,424642000,4.164416802965666
Oceania,1990,26891000,0.26371704223451686
South America,1990,295698000,2.899877355050469
Africa,1991,639470000,6.1048508394199885
Asia,1991,3216868000,30.710587377208153
Europe,1991,462682000,4.417102594468105
North America,1991,430986000,4.114509271550289
Oceania,1991,27320000,0.2608168091277997
South America,1991,301120000,2.8747129416018686
Africa,1992,656818000,5.999824431385968
Asia,1992,3338016000,30.491719089850257
Europe,1992,699114000,6.386184997250334
North America,1992,437552000,3.996898957704864
Oceania,1992,27651000,0.2525831285869958
South America,1992,306518000,2.7999448630512016
Africa,1993,674358000,6.049874199814739
Asia,1993,3390702000,30.419036400636205
Europe,1993,716330000,6.4264179939339225
North America,1993,443957000,3.9828755647996346
Oceania,1993,28000000,0.25119666051980205
South America,1993,311888000,2.798043716292858
Africa,1994,694210000,6.1361417164909895
Asia,1994,3442534000,30.428654856367082
Europe,1994,717193000,6.339289099948607
North America,1994,450119000,3.9786145017865024
Oceania,1994,28363000,0.2507013547843361
South America,1994,317235000,2.804049088072801
Africa,1995,711868000,6.203210774255788
Asia,1995,3493936000,30.446124056370245
Europe,1995,717396000,6.251381712070223
North America,1995,456202000,3.9753397562989754
Oceania,1995,28768000,0.25068407001549514
South America,1995,322564000,2.8108195342212943
Africa,1996,729984000,6.272625986735231
Asia,1996,3544875000,30.460496455714164
Europe,1996,717447000,6.164897718724288
North America,1996,462230000,3.971862273486303
Oceania,1996,29201000,0.25091913170515445
South America,1996,327889000,2.8174933452851403
Africa,1997,748172000,6.340088749310412
Asia,1997,3597876000,30.48878219047752
Europe,1997,717380000,6.079154080853471
North America,1997,468339000,3.9687542767749786
Oceania,1997,29612000,0.2509352235108771
South America,1997,333196000,2.823538184956443
Africa,1998,766559000,6.4103992171296085
Asia,1998,3647416000,30.501752208174466
Europe,1998,716589000,5.992521860161696
North America,1998,474334000,3.966648754052794
Oceania,1998,30004000,0.2509103906036676
South America,1998,338447000,2.830284927630965
Africa,1999,785263000,6.481424927481341
Asia,1999,3696313000,30.50872792678802
Europe,1999,716346000,5.912595934230377
North America,1999,480277000,3.964123255388267
Oceania,1999,30398000,0.25089983221618467
South America,1999,343597000,2.8359901852090403
Africa,2000,804394000,6.553692035770312
Asia,2000,3745197000,30.51348934886494
Europe,2000,716238000,5.835452870503829
North America,2000,486172000,3.9610210474152274
Oceania,2000,30795000,0.2508981248511883
South America,2000,348618000,2.840318314316336
Africa,2001,824046000,6.62899452052427
Asia,2001,3793434000,30.516079442131222
Europe,2001,715972000,5.759598936040953
North America,2001,491782000,3.956114322856329
Oceania,2001,31214000,0.25109937426265594
South America,2001,353509000,2.843784477997605
Africa,2002,844163000,6.705976969893062
Asia,2002,3841069000,30.513206873281785
Europe,2002,716240000,5.6897648261250575
North America,2002,497220000,3.9498839311486384
Oceania,2002,31631000,0.2512746442744913
South America,2002,358285000,2.8461931625268293
Africa,2003,864836000,6.784651510306092
Asia,2003,3889149000,30.510432771826597
Europe,2003,716972000,5.624656192211217
North America,2003,502466000,3.9418533754115934
Oceania,2003,32076000,0.2516367055078399
South America,2003,362946000,2.8473168636129333
Africa,2004,886119000,6.865942879616911
Asia,2004,3936024000,30.497614831417984
Europe,2004,717953000,5.562937131750476
North America,2004,507877000,3.9351988523789676
Oceania,2004,32513000,0.25192146974050283
South America,2004,367494000,2.8474649709598117
Africa,2005,908083000,6.9498406657394725
Asia,2005,3982631000,30.480309487607038
Europe,2005,719100000,5.5034951901238705
North America,2005,513387000,3.9291098389266073
Oceania,2005,32978000,0.2523908557640175
South America,2005,371926000,2.8464649590905444
Africa,2006,930769000,7.0314627644520495
Asia,2006,4029592000,30.441415758296493
Europe,2006,728377000,5.5024992817587295
North America,2006,519141000,3.9218330337606884
Oceania,2006,33493000,0.25302172974152826
South America,2006,376231000,2.8422242976856333
Africa,2007,954171000,7.120131279451028
Asia,2007,4075974000,30.41537624978031
Europe,2007,729896000,5.446566014211485
North America,2007,524952000,3.917250844356385
Oceania,2007,34100000,0.2544580338631965
South America,2007,380416000,2.838706962173072
Africa,2008,978337000,7.210674253986767
Asia,2008,4122119000,30.381409826235412
Europe,2008,731519000,5.391542198242676
North America,2008,530797000,3.9121532375790893
Oceania,2008,34763000,0.25621505584613685
South America,2008,384513000,2.8339907306206484
Africa,2009,1003329000,7.306005066942181
Asia,2009,4168083000,30.350997048261906
Europe,2009,732634000,5.334867940839065
North America,2009,536505000,3.9067028347030885
Oceania,2009,35429000,0.25798561938974607
South America,2009,388569000,2.8294677846017176
Africa,2010,1029201000,7.404374879135324
Asia,2010,4214504000,30.32038206882362
Europe,2010,733657000,5.278144367039853
North America,2010,542040000,3.8995952777800555
Oceania,2010,36000000,0.2589945944950225
South America,2010,392612000,2.8245662703855494
Africa,2011,1055987000,7.501689321667909
Asia,2011,4260224000,30.26446053664803
Europe,2011,734829000,5.220195762402291
North America,2011,547226000,3.887471569952133
Oceania,2011,36552000,0.25966394291369627
South America,2011,396651000,2.8177928053365218
Africa,2012,1093754000,7.67243376705842
Asia,2012,4305694000,30.20345711761588
Europe,2012,736138000,5.16383944508075
North America,2012,552456000,3.8753522905644475
Oceania,2012,37155000,0.26063381401581676
South America,2012,400668000,2.8105942401854196
Africa,2013,1122456000,7.781471358174905
Asia,2013,4349795000,30.155128759107182
Europe,2013,738183000,5.11748333261315
North America,2013,557569000,3.865369514445309
Oceania,2013,37757000,0.26175192085089294
South America,2013,404645000,2.80521773479645
Africa,2014,1151820000,7.891836982610245
Asia,2014,4394040000,30.106307734775157
Europe,2014,740067000,5.070660450599413
North America,2014,562746000,3.8557237195186618
Oceania,2014,38345000,0.262725503202054
South America,2014,408556000,2.7992718916734485
Africa,2015,1181768000,8.006427537327609
Asia,2015,4437778000,30.06575570141232
Europe,2015,739436000,5.009647200204589
North America,2015,567809000,3.846881632894487
Oceania,2015,38960000,0.2639523297756274
South America,2015,412394000,2.7939516705721275
Africa,2016,1212381000,8.1192802845725
Asia,2016,4482062000,30.01623881505203
Europe,2016,740969000,4.96224783560564
North America,2016,572856000,3.836399965604101
Oceania,2016,39630000,0.26540095702391264
South America,2016,416173000,2.7870984730636588
Africa,2017,1243564000,8.232861402028282
Asia,2017,4526845000,29.969416510501045
Europe,2017,742104000,4.913007595822005
North America,2017,577694000,3.8245515588930905
Oceania,2017,40329000,0.26699314830792675
South America,2017,419904000,2.779922411839909
Africa,2018,1275637000,8.35480537686419
Asia,2018,4566563000,29.90877899135026
Europe,2018,743206000,4.867639841834101
North America,2018,582248000,3.8134427905967145
Oceania,2018,41055000,0.26889039338554727
South America,2018,423428000,2.7732486052966876
