Country Group,year,Watts,Percentage,Per Capita
Africa,1980,201094079851.55057,3.1120635421081073,428.8561505701557
Asia,1980,1677733407057.7412,25.96403123023593,646.1397058394589
Europe,1980,1511549413171.604,23.392224297695957,4088.650108391275
North America,1980,2727381429932.0005,42.20802680904288,7327.652120697253
Oceania,1980,107629272836.90541,1.6656339973141037,4713.55315918829
South America,1980,236372484327.90936,3.65802012360303,981.2832241974642
Africa,1981,209552888541.28702,3.3109236510397344,434.6271830434207
Asia,1981,1697301377642.0642,26.81726466905861,641.0000157264727
Europe,1981,1424418049404.973,22.50572369377583,3836.3306178207013
North America,1981,2651787089759.586,41.898084317157924,7025.290133760358
Oceania,1981,109611753639.046,1.73185943692661,4721.998605912463
South America,1981,236465680984.59808,3.736144232041298,960.2784236339858
Africa,1982,229078427869.81058,3.668410052759816,461.9392140240501
Asia,1982,1731945436428.6602,27.73498189640617,641.4638861227435
Europe,1982,1403533378962.7554,22.475865600479167,3766.1964841513723
North America,1982,2528196027749.837,40.485958498090355,6607.69346586857
Oceania,1982,115972861178.5562,1.8571631285880708,4908.696401361051
South America,1982,235898230276.90576,3.777620823676411,937.1565300591766
Africa,1983,243353455791.7602,3.883429892148784,477.00650725204287
Asia,1983,1807303695304.8052,28.840918538438455,656.4816011917135
Europe,1983,1388907176151.5083,22.164154717828144,3714.8574168421023
North America,1983,2487942328787.455,39.70253711056033,6417.8132723544095
Oceania,1983,112318386089.8258,1.7923747027138233,4680.127759066037
South America,1983,226631738355.0446,3.616585038310445,880.9888486747934
Africa,1984,256909909287.6402,3.93190587489263,489.4715459914802
Asia,1984,1941905177018.6467,29.72010069668171,691.7247502860884
Europe,1984,1371407246033.746,20.988852561203355,4187.2345468954545
North America,1984,2611844637843.1045,39.973262628590156,6652.245744915274
Oceania,1984,113580359451.25618,1.73830306443651,4663.725032900394
South America,1984,238331800643.12732,3.6475751741956444,906.9425336324132
Africa,1985,263053219948.05463,3.953067235555125,487.157243929461
Asia,1985,2016944108213.9175,30.309895737831482,704.4092309202373
Europe,1985,1405711791396.4177,21.124520833844958,4279.808895657258
North America,1985,2609368858042.4365,39.212637428435066,6562.3533060944965
Oceania,1985,117816735324.3364,1.7705066537587868,4764.699936277607
South America,1985,241513225853.909,3.629372110574589,900.1644652194343
Africa,1986,266047903269.0484,3.921784272375686,478.9668839075371
Asia,1986,2095591755921.836,30.890898551390787,717.2208833809301
Europe,1986,1437196702173.7458,21.185566033930577,4363.167104867881
North America,1986,2602855390922.729,38.36841865679379,6461.8570142792605
Oceania,1986,120722531660.6272,1.779558192981646,4807.5557190325835
South America,1986,261434209275.876,3.8537742925275094,954.8712855687791
Africa,1987,277684968293.1065,3.942233897511379,486.0342365385672
Asia,1987,2208548480485.7646,31.35428877402569,740.5091279906858
Europe,1987,1468407251627.1672,20.84666259862452,4444.748906910658
North America,1987,2698448510434.204,38.30929435580432,6614.428014320391
Oceania,1987,126847716347.6904,1.8008298046581275,4972.275345838673
South America,1987,263911193249.5996,3.746690569375971,944.9563643087309
Africa,1988,286214696438.0176,3.893856039395784,487.0736349415994
Asia,1988,2374271783112.1475,32.30118032684719,780.0569380034627
Europe,1988,1468465685709.0898,19.97798872701177,4431.244506332709
North America,1988,2818416247410.8237,38.34361849021428,6818.3090947620085
Oceania,1988,131120629366.3544,1.7838526843715825,5041.162220928658
South America,1988,271928989402.39777,3.6995037321594104,954.8940191253337
Africa,1989,292222886206.1776,3.8867354771233864,483.6886001211239
Asia,1989,2441564459178.4775,32.47423679361343,786.6029601710337
Europe,1989,1486455080484.8638,19.770722859791817,4014.0071357373918
North America,1989,2879794342319.622,38.30295081411137,6876.168416839272
Oceania,1989,138721337999.4874,1.8450750139269347,5246.249829796816
South America,1989,279707915647.6412,3.7202790414330664,963.6925768060238
Africa,1990,302187544989.706,3.9384188888455007,485.5229548225021
Asia,1990,2610628454746.5215,34.024395076512796,825.6975084001681
Europe,1990,1468847091679.8157,19.143526020884245,3954.722175888534
North America,1990,2848230653273.498,37.12107130366088,6707.36915630931
Oceania,1990,143745971891.99258,1.8734453496889267,5345.504886095444
South America,1990,299174006853.77515,3.8991433604076544,1011.7552599401253
Africa,1991,307677908655.53735,3.7916716496934963,481.14518062698386
Asia,1991,2604594368919.9297,32.097743613570564,809.6677790073853
Europe,1991,1923386294675.171,23.70286939610481,4157.037219245985
North America,1991,2840513234920.3433,35.00509201485952,6590.732030553993
Oceania,1991,142318044470.352,1.753857782042423,5209.298845913323
South America,1991,296081690449.04877,3.648765543729197,983.2681005879675
Africa,1992,310537154196.63074,3.089833004455568,472.7902618330051
Asia,1992,2998450329223.378,29.834467999241998,898.2732045692345
Europe,1992,3388066187055.028,33.71113113058901,4846.2284935719035
North America,1992,2902773608413.135,28.88248822573515,6634.122592087649
Oceania,1992,145993307388.66,1.4526279174744974,5279.856330283173
South America,1992,304468660709.437,3.029451722503773,993.3141306854312
Africa,1993,314438579827.88904,3.0939239504777167,466.27841566036
Asia,1993,3130555442946.19,30.803155479620713,923.2764905161793
Europe,1993,3294169747377.7666,32.41304131296434,4598.6762349444625
North America,1993,2959325282652.001,29.1183332982322,6665.792593994465
Oceania,1993,146555022429.9596,1.4420307272951056,5234.107943927128
South America,1993,318055757240.6852,3.129515231409919,1019.7755516104666
Africa,1994,321205240176.74994,3.1279523333743975,462.69175058951896
