Country Group,year,cubic meters,Percentage,Per Capita
Africa,1980,355610062.248728,9.576795649181644,0.7583791751233248
Asia,1980,1341041059.321888,36.115052822394475,0.5164705381342266
Europe,1980,156890888.42944857,4.225167218852397,0.42438040225010026
North America,1980,707680272.3765074,19.058260923918102,1.9013236622296037
Oceania,1980,27216240.077456497,0.7329499281113235,1.1919173196748925
South America,1980,205253392.65237445,5.52759892479691,0.8520945722260138
Africa,1981,277327103.0493915,7.885878353847467,0.5751955910462259
Asia,1981,1184591201.6484919,33.6842018415138,0.4473707432801333
Europe,1981,168647839.90000868,4.795551301935866,0.4542127727937707
North America,1981,721201346.8712778,20.507574007452664,1.910654413469076
Oceania,1981,28202756.242310997,0.8019537308997423,1.2149552510365311
South America,1981,204208846.1248815,5.806739051514801,0.8292846049896303
Africa,1982,275992404.708706,8.185886402751446,0.5565417734584902
Asia,1982,996149205.0524911,29.545611015481775,0.3689456531313613
Europe,1982,189004891.1135945,5.605851979344293,0.5071696669768493
North America,1982,746792736.7948562,22.149741824434045,1.9518175936971889
Oceania,1982,26751997.1763485,0.7934595524954619,1.1323117403008762
South America,1982,197013081.15770745,5.84337349397417,0.7826768996838015
Africa,1983,278661801.390077,8.289457784526872,0.5462157591030347
Asia,1983,951709553.3439276,28.310863298166932,0.34569719138614485
Europe,1983,214340947.44156358,6.376081064749782,0.573289613595745
North America,1983,749578194.2015045,22.2979854649591,1.933586975771431
Oceania,1983,29421393.857719496,0.8752093079456735,1.2259424916754655
South America,1983,197999597.32256198,5.88996875485333,0.7696867109142652
Africa,1984,300539248.10479146,8.69499521514783,0.5725953148668466
Asia,1984,957234043.8671129,27.69403824521134,0.3409757014891377
Europe,1984,230949237.22870234,6.681664791899081,0.705143295326719
North America,1984,771618125.9316068,22.323925927163096,1.9652751624487599
Oceania,1984,34295944.3193535,0.9922267179286286,1.4082263414368685
South America,1984,209257487.67443097,6.05409398451884,0.7963037896784112
