year,Watts
1980,0.0
1981,0.0
1982,0.0
1983,0.0
1984,2186524.7574
1985,4056161.8688
1986,5608911.334199999
1987,3992784.3396
1988,3834340.5166
1989,1827269233.1297996
1990,1978012686.3319995
1991,2068293976.6773994
1992,2128597695.7111998
1993,2211717325.2569995
1994,2282541714.138
1995,2329504463.2752013
1996,2371143499.9596
1997,2356281469.362199
1998,2359101769.411599
1999,2345285468.046001
2000,2326620785.6965985
2001,2346486472.22434
2002,2400604544.4082203
2003,2502334985.4035997
2004,2683017983.399879
2005,3027652311.6836405
2006,3581736698.46756
2007,4294556444.885801
2008,5968395017.575317
2009,8654464629.00618
2010,12785880975.978273
2011,23424661186.595367
2012,35002661522.31545
2013,48802186855.93627
2014,66192857282.23432
2015,84022385409.47775
2016,108494227173.29178
2017,144310751236.82898
2018,177187004757.0672
