year,Reported quantity,Albedo anomaly (W/m2)
1998.902,Measured value,-0.024
1998.936,Measured value,-0.007
1998.944,Measured value,-0.001
1998.947,Measured value,0.011
1998.949,Measured value,0.016
1998.952,Measured value,0.01
1998.977,Measured value,0.011
1999.022,Measured value,-0.023
1999.036,Measured value,0.021
1999.06,Measured value,0.019
1999.105,Measured value,-0.009
1999.138,Measured value,0.003
1999.194,Measured value,0.016
1999.227,Measured value,0.016
1999.23,Measured value,-0.018
1999.238,Measured value,-0.015
1999.264,Measured value,-0.005
1999.275,Measured value,0.004
1999.307,Measured value,-0.008
1999.355,Measured value,-0.01
1999.388,Measured value,0.015
1999.436,Measured value,0.003
1999.439,Measured value,0.022
1999.466,Measured value,0.011
1999.549,Measured value,-0.008
1999.594,Measured value,-0.014
1999.597,Measured value,0.02
1999.625,Measured value,0.02
1999.675,Measured value,0.02
1999.678,Measured value,0.018
1999.699,Measured value,-0.005
1999.702,Measured value,0.012
1999.705,Measured value,0.011
1999.746,Measured value,-0.018
1999.75,Measured value,-0.024
1999.753,Measured value,-0.004
1999.755,Measured value,0.01
1999.758,Measured value,0.023
1999.783,Measured value,0.011
1999.786,Measured value,0.018
1999.788,Measured value,0.012
1999.791,Measured value,-0.003
1999.799,Measured value,-0.013
1999.832,Measured value,-0.021
1999.839,Measured value,0.013
1999.842,Measured value,-0.024
1999.864,Measured value,0.009
1999.875,Measured value,-0.007
1999.877,Measured value,-0.013
1999.947,Measured value,0.009
1999.949,Measured value,0.007
1999.96,Measured value,-0.002
2000.027,Measured value,0.01
2000.033,Measured value,0.011
2000.074,Measured value,-0.009
2000.083,Measured value,0.005
2000.197,Measured value,0.008
2000.241,Measured value,0.005
2000.243,Measured value,0.023
2000.275,Measured value,0.023
2000.277,Measured value,-0.016
2000.313,Measured value,0.021
2000.321,Measured value,-0.02
2000.324,Measured value,0.024
2000.358,Measured value,0.007
2000.405,Measured value,-0.013
2000.436,Measured value,0.016
2000.516,Measured value,0.021
2000.563,Measured value,-0.022
2000.566,Measured value,0.021
2000.594,Measured value,0.006
2000.646,Measured value,0.02
2000.667,Measured value,0.009
2000.672,Measured value,-0.012
2000.719,Measured value,-0.017
2000.721,Measured value,0.017
2000.758,Measured value,0.009
2000.761,Measured value,-0.007
2000.764,Measured value,-0.02
2000.766,Measured value,0.016
2000.836,Measured value,-0.021
2000.839,Measured value,-0.017
2000.883,Measured value,-0.012
2000.91,Measured value,-0.006
2000.913,Measured value,0.023
