year,value,units
1994,1.37E+12,kg
1995,1.42E+12,kg
1996,1.49E+12,kg
1997,1.52E+12,kg
1998,1.52E+12,kg
1999,1.60E+12,kg
2000,1.60E+12,kg
2001,1.70E+12,kg
2002,1.80E+12,kg
2003,1.95E+12,kg
2004,2.13E+12,kg
2005,2.31E+12,kg
2006,2.55E+12,kg
2007,2.77E+12,kg
2008,2.84E+12,kg
2009,3.06E+12,kg
2010,3.31E+12,kg
2011,3.60E+12,kg
2012,3.80E+12,kg
2013,4.08E+12,kg
2014,4.18E+12,kg
2015,4.10E+12,kg
2016,4.10E+12,kg
2017,4.05E+12,kg
2018,4.05E+12,kg
2019,4.10E+12,kg
2020,4.20E+12,kg
2021,4.40E+12,kg
