Year,Forest Type,Value reported,Units,Value
2019,High ecosystem integrity,Fraction of total forest,Percentage,40.5
2019,High ecosystem integrity,Total area, million km2, 17.4
2019,Medium ecosystem integrity,Fraction of total forest,Percentage,33.9
2019,Medium ecosystem integrity,Total area, million km2, 14.6
2019,Low ecosystem integrity,Fraction of total forest,Percentage,25.5
2019,Low ecosystem integrity,Total area, million km2, 11.0
