Domain,Area,Element,Item,Year,Unit,Value
"New Food Balances","World","Food supply (kcal/capita/day)","Grand Total","2014","kcal/capita/day","2893"
"New Food Balances","World","Food supply (kcal/capita/day)","Grand Total","2015","kcal/capita/day","2899"
"New Food Balances","World","Food supply (kcal/capita/day)","Grand Total","2016","kcal/capita/day","2904"
"New Food Balances","World","Food supply (kcal/capita/day)","Grand Total","2017","kcal/capita/day","2919"
"New Food Balances","World","Food supply (kcal/capita/day)","Grand Total","2018","kcal/capita/day","2927"
"New Food Balances","World","Food supply (kcal/capita/day)","Animal Products","2014","kcal/capita/day","511"
"New Food Balances","World","Food supply (kcal/capita/day)","Animal Products","2015","kcal/capita/day","514"
"New Food Balances","World","Food supply (kcal/capita/day)","Animal Products","2016","kcal/capita/day","516"
"New Food Balances","World","Food supply (kcal/capita/day)","Animal Products","2017","kcal/capita/day","519"
"New Food Balances","World","Food supply (kcal/capita/day)","Animal Products","2018","kcal/capita/day","525"
"New Food Balances","World","Food supply (kcal/capita/day)","Cereals - Excluding Beer","2014","kcal/capita/day","1302"
"New Food Balances","World","Food supply (kcal/capita/day)","Cereals - Excluding Beer","2015","kcal/capita/day","1304"
"New Food Balances","World","Food supply (kcal/capita/day)","Cereals - Excluding Beer","2016","kcal/capita/day","1313"
"New Food Balances","World","Food supply (kcal/capita/day)","Cereals - Excluding Beer","2017","kcal/capita/day","1312"
"New Food Balances","World","Food supply (kcal/capita/day)","Cereals - Excluding Beer","2018","kcal/capita/day","1307"
"New Food Balances","World","Food supply (kcal/capita/day)","Starchy Roots","2014","kcal/capita/day","147"
"New Food Balances","World","Food supply (kcal/capita/day)","Starchy Roots","2015","kcal/capita/day","145"
"New Food Balances","World","Food supply (kcal/capita/day)","Starchy Roots","2016","kcal/capita/day","140"
"New Food Balances","World","Food supply (kcal/capita/day)","Starchy Roots","2017","kcal/capita/day","139"
"New Food Balances","World","Food supply (kcal/capita/day)","Starchy Roots","2018","kcal/capita/day","140"
"New Food Balances","World","Food supply (kcal/capita/day)","Treenuts","2014","kcal/capita/day","15"
"New Food Balances","World","Food supply (kcal/capita/day)","Treenuts","2015","kcal/capita/day","15"
"New Food Balances","World","Food supply (kcal/capita/day)","Treenuts","2016","kcal/capita/day","15"
"New Food Balances","World","Food supply (kcal/capita/day)","Treenuts","2017","kcal/capita/day","16"
