,Group,Biomass_Pg_wet_weight_estimate,Biomass_Pg_wet_weight_95CI_lower,Biomass_Pg_wet_weight_95CI_upper
0,Hetero_Bacteria,14.4799401075418,3.75397202794205,55.8524847700959
1,Picophytoplankton,2.18561775015135,0.67876327644452,7.03768915548735
2,Nanophytoplankton,1.7972873510017,0.558163773603012,5.78726527022547
3,Microphytoplankton,1.35294246998743,0.420168468940195,4.35647475335952
4,Nanozooplankton,2.5,0.382596452565692,16.33575
5,Microzooplankton,4.79082034175777,0.733180347054431,31.3046573591478
6,Mesozooplankton,10.877190401205,1.41262213002663,83.7543660892787
7,Macrozooplankton,1.53643367720841,0.134896764375568,17.4995186533006
8,Mesopelagics,5.3665631459995,1.8,16.0
9,Fish,5.52603362119833,1.10520672423967,27.6301681059917
10,Mammals,0.4418528248736,0.0631218321248,3.0929697741152
11,phytoplankton,[5.33584757],[1.65709552],[17.18142918]
12,zooplankton,[19.70444442],[2.66329569],[148.8942921]
