Element,Item,Year,Unit,Value
Production,Nutrient phosphate (P2O5),1961,Mt,11.142
Production,Nutrient phosphate (P2O5),1962,Mt,11.735
Production,Nutrient phosphate (P2O5),1963,Mt,13.179
Production,Nutrient phosphate (P2O5),1964,Mt,14.949
Production,Nutrient phosphate (P2O5),1965,Mt,16.602
Production,Nutrient phosphate (P2O5),1966,Mt,18.285
Production,Nutrient phosphate (P2O5),1967,Mt,19.029
Production,Nutrient phosphate (P2O5),1968,Mt,19.288
Production,Nutrient phosphate (P2O5),1969,Mt,20.194
Production,Nutrient phosphate (P2O5),1970,Mt,21.851
Production,Nutrient phosphate (P2O5),1971,Mt,23.447
Production,Nutrient phosphate (P2O5),1972,Mt,26.099
Production,Nutrient phosphate (P2O5),1973,Mt,26.358
Production,Nutrient phosphate (P2O5),1974,Mt,26.876
Production,Nutrient phosphate (P2O5),1975,Mt,26.1
Production,Nutrient phosphate (P2O5),1976,Mt,27.952
Production,Nutrient phosphate (P2O5),1977,Mt,30.08
Production,Nutrient phosphate (P2O5),1978,Mt,31.05
Production,Nutrient phosphate (P2O5),1979,Mt,32.989
Production,Nutrient phosphate (P2O5),1980,Mt,34.247
Production,Nutrient phosphate (P2O5),1981,Mt,31.433
Production,Nutrient phosphate (P2O5),1982,Mt,32.288
Production,Nutrient phosphate (P2O5),1983,Mt,35.082
Production,Nutrient phosphate (P2O5),1984,Mt,36.659
Production,Nutrient phosphate (P2O5),1985,Mt,34.901
Production,Nutrient phosphate (P2O5),1986,Mt,37.238
Production,Nutrient phosphate (P2O5),1987,Mt,39.01
Production,Nutrient phosphate (P2O5),1988,Mt,41.385
Production,Nutrient phosphate (P2O5),1989,Mt,39.757
Production,Nutrient phosphate (P2O5),1990,Mt,38.976
Production,Nutrient phosphate (P2O5),1991,Mt,38.561
Production,Nutrient phosphate (P2O5),1992,Mt,34.15
Production,Nutrient phosphate (P2O5),1993,Mt,31.715
Production,Nutrient phosphate (P2O5),1994,Mt,32.051
Production,Nutrient phosphate (P2O5),1995,Mt,33.434
Production,Nutrient phosphate (P2O5),1996,Mt,33.516
Production,Nutrient phosphate (P2O5),1997,Mt,32.991
Production,Nutrient phosphate (P2O5),1998,Mt,33.251
Production,Nutrient phosphate (P2O5),1999,Mt,32.999
Production,Nutrient phosphate (P2O5),2000,Mt,31.82
Production,Nutrient phosphate (P2O5),2001,Mt,33.647
Production,Nutrient phosphate (P2O5),2002,Mt,33.977
Production,Nutrient phosphate (P2O5),2003,Mt,34.466
Production,Nutrient phosphate (P2O5),2004,Mt,36.768
Production,Nutrient phosphate (P2O5),2005,Mt,37.946
Production,Nutrient phosphate (P2O5),2006,Mt,38.017
Production,Nutrient phosphate (P2O5),2007,Mt,38.648
Production,Nutrient phosphate (P2O5),2008,Mt,35.746
Production,Nutrient phosphate (P2O5),2009,Mt,35.304
Production,Nutrient phosphate (P2O5),2010,Mt,44.106
Production,Nutrient phosphate (P2O5),2011,Mt,44.491
Production,Nutrient phosphate (P2O5),2012,Mt,43.688
Production,Nutrient phosphate (P2O5),2013,Mt,43.384
Production,Nutrient phosphate (P2O5),2014,Mt,44.859
Production,Nutrient phosphate (P2O5),2015,Mt,46.429
Production,Nutrient phosphate (P2O5),2016,Mt,47.673
Production,Nutrient phosphate (P2O5),2017,Mt,45.996
Production,Nutrient phosphate (P2O5),2018,Mt,44.207
Agricultural Use,Nutrient phosphate (P2O5),1961,Mt,10.855
Agricultural Use,Nutrient phosphate (P2O5),1962,Mt,11.493
Agricultural Use,Nutrient phosphate (P2O5),1963,Mt,12.777
Agricultural Use,Nutrient phosphate (P2O5),1964,Mt,14.391
Agricultural Use,Nutrient phosphate (P2O5),1965,Mt,15.604
Agricultural Use,Nutrient phosphate (P2O5),1966,Mt,17.196
Agricultural Use,Nutrient phosphate (P2O5),1967,Mt,17.996
Agricultural Use,Nutrient phosphate (P2O5),1968,Mt,18.883
Agricultural Use,Nutrient phosphate (P2O5),1969,Mt,19.752
Agricultural Use,Nutrient phosphate (P2O5),1970,Mt,20.942
Agricultural Use,Nutrient phosphate (P2O5),1971,Mt,22.309
Agricultural Use,Nutrient phosphate (P2O5),1972,Mt,23.817
Agricultural Use,Nutrient phosphate (P2O5),1973,Mt,25.77
Agricultural Use,Nutrient phosphate (P2O5),1974,Mt,24.056
Agricultural Use,Nutrient phosphate (P2O5),1975,Mt,25.224
Agricultural Use,Nutrient phosphate (P2O5),1976,Mt,27.114
Agricultural Use,Nutrient phosphate (P2O5),1977,Mt,28.685
Agricultural Use,Nutrient phosphate (P2O5),1978,Mt,29.824
Agricultural Use,Nutrient phosphate (P2O5),1979,Mt,31.169
Agricultural Use,Nutrient phosphate (P2O5),1980,Mt,31.615
Agricultural Use,Nutrient phosphate (P2O5),1981,Mt,31.088
Agricultural Use,Nutrient phosphate (P2O5),1982,Mt,31.191
Agricultural Use,Nutrient phosphate (P2O5),1983,Mt,32.754
Agricultural Use,Nutrient phosphate (P2O5),1984,Mt,34.385
Agricultural Use,Nutrient phosphate (P2O5),1985,Mt,33.487
Agricultural Use,Nutrient phosphate (P2O5),1986,Mt,34.679
Agricultural Use,Nutrient phosphate (P2O5),1987,Mt,36.097
Agricultural Use,Nutrient phosphate (P2O5),1988,Mt,37.453
Agricultural Use,Nutrient phosphate (P2O5),1989,Mt,37.306
Agricultural Use,Nutrient phosphate (P2O5),1990,Mt,35.847
Agricultural Use,Nutrient phosphate (P2O5),1991,Mt,35.071
Agricultural Use,Nutrient phosphate (P2O5),1992,Mt,30.902
Agricultural Use,Nutrient phosphate (P2O5),1993,Mt,28.756
Agricultural Use,Nutrient phosphate (P2O5),1994,Mt,29.561
Agricultural Use,Nutrient phosphate (P2O5),1995,Mt,30.58
Agricultural Use,Nutrient phosphate (P2O5),1996,Mt,31.026
Agricultural Use,Nutrient phosphate (P2O5),1997,Mt,33.258
Agricultural Use,Nutrient phosphate (P2O5),1998,Mt,33.311
Agricultural Use,Nutrient phosphate (P2O5),1999,Mt,33.199
Agricultural Use,Nutrient phosphate (P2O5),2000,Mt,32.375
Agricultural Use,Nutrient phosphate (P2O5),2001,Mt,32.936
Agricultural Use,Nutrient phosphate (P2O5),2002,Mt,34.352
Agricultural Use,Nutrient phosphate (P2O5),2003,Mt,35.305
Agricultural Use,Nutrient phosphate (P2O5),2004,Mt,37.961
Agricultural Use,Nutrient phosphate (P2O5),2005,Mt,38.152
Agricultural Use,Nutrient phosphate (P2O5),2006,Mt,39.327
Agricultural Use,Nutrient phosphate (P2O5),2007,Mt,39.163
Agricultural Use,Nutrient phosphate (P2O5),2008,Mt,35.543
Agricultural Use,Nutrient phosphate (P2O5),2009,Mt,37.44
Agricultural Use,Nutrient phosphate (P2O5),2010,Mt,42.946
Agricultural Use,Nutrient phosphate (P2O5),2011,Mt,44.253
Agricultural Use,Nutrient phosphate (P2O5),2012,Mt,43.128
Agricultural Use,Nutrient phosphate (P2O5),2013,Mt,43.783
Agricultural Use,Nutrient phosphate (P2O5),2014,Mt,44.058
Agricultural Use,Nutrient phosphate (P2O5),2015,Mt,43.267
Agricultural Use,Nutrient phosphate (P2O5),2016,Mt,45.088
Agricultural Use,Nutrient phosphate (P2O5),2017,Mt,42.984
Agricultural Use,Nutrient phosphate (P2O5),2018,Mt,40.648
