    Date       Albedo_anomaly
  1998.9018555    -0.0238619
  1998.9357910    -0.0066609
  1998.9439697    -0.0010414
  1998.9467773     0.0112459
  1998.9494629     0.0158987
  1998.9522705     0.0097615
  1998.9769287     0.0106605
  1999.0219727    -0.0226926
  1999.0356445     0.0212245
  1999.0603027     0.0187415
  1999.1053467    -0.0088082
  1999.1381836     0.0025379
  1999.1939697     0.0162651
  1999.2269287     0.0155387
  1999.2296143    -0.0180829
  1999.2379150    -0.0152784
  1999.2636719    -0.0054721
  1999.2746582     0.0035016
  1999.3074951    -0.0083597
  1999.3553467    -0.0104658
  1999.3881836     0.0148418
  1999.4357910     0.0031592
  1999.4385986     0.0224842
  1999.4659424     0.0110483
  1999.5493164    -0.0081578
  1999.5943604    -0.0139648
  1999.5970459     0.0200329
  1999.6245117     0.0202041
  1999.6748047     0.0201928
  1999.6776123     0.0181755
  1999.6994629    -0.0050485
  1999.7022705     0.0116024
  1999.7049561     0.0108021
  1999.7460938    -0.0183302
  1999.7500000    -0.0237751
  1999.7526855    -0.0036990
  1999.7554932     0.0104439
  1999.7581787     0.0230306
  1999.7828369     0.0112436
  1999.7856445     0.0179308
  1999.7883301     0.0119005
  1999.7911377    -0.0028755
  1999.7993164    -0.0130171
  1999.8321533    -0.0213668
  1999.8388672     0.0134976
  1999.8415527    -0.0236767
  1999.8635254     0.0085056
  1999.8745117    -0.0066089
  1999.8771973    -0.0129029
  1999.9467773     0.0087255
  1999.9494629     0.0066551
  1999.9604492    -0.0017210
  2000.0273438     0.0101885
  2000.0328369     0.0107665
  2000.0739746    -0.0094295
  2000.0833740     0.0045374
  2000.1967773     0.0077194
  2000.2406006     0.0052572
  2000.2432861     0.0228462
  2000.2746582     0.0229799
  2000.2773438    -0.0161813
  2000.3129883     0.0212927
  2000.3212891    -0.0204340
  2000.3239746     0.0238551
  2000.3580322     0.0074651
  2000.4046631    -0.0131516
  2000.4357910     0.0162906
  2000.5164795     0.0208087
  2000.5629883    -0.0221024
  2000.5657959     0.0209413
  2000.5943604     0.0062303
  2000.6463623     0.0200316
  2000.6666260     0.0091293
  2000.6721191    -0.0118034
  2000.7186279    -0.0167780
  2000.7214355     0.0174502
  2000.7581787     0.0092414
  2000.7609863    -0.0070005
  2000.7636719    -0.0200918
  2000.7664795     0.0159814
  2000.8360596    -0.0214575
  2000.8388672    -0.0172731
  2000.8826904    -0.0124881
  2000.9100342    -0.0064736
  2000.9128418     0.0225593
  2000.9221191     0.0086395
  2000.9632568    -0.0139308
  2000.9714355    -0.0030004
  2001.0026855    -0.0166123
  2001.0466309     0.0100538
  2001.0493164     0.0186230
  2001.0794678     0.0082020
  2001.1326904    -0.0194578
  2001.1693115     0.0232235
  2001.2104492    -0.0030781
  2001.2132568     0.0204526
  2001.2159424     0.0161281
  2001.2432861     0.0157559
  2001.2911377    -0.0225157
  2001.2938232     0.0058062
  2001.3294678     0.0097849
  2001.3388672     0.0227513
  2001.3771973     0.0154456
  2001.4018555     0.0059503
  2001.4100342     0.0152055
  2001.4166260    -0.0045963
  2001.4549561     0.0009162
  2001.4577637     0.0189718
  2001.4879150     0.0038602
  2001.5273438     0.0135033
  2001.5328369    -0.0234176
  2001.5684814     0.0106408
  2001.5766602    -0.0096011
  2001.6135254    -0.0007346
  2001.6463623    -0.0013518
  2001.7214355     0.0143670
  2001.7241211     0.0056665
  2001.7269287    -0.0174212
  2001.8103027    -0.0027027
  2001.8908691    -0.0053162
  2001.9357910     0.0075327
  2002.0466309    -0.0000003
  2002.0493164     0.0102240
  2002.0520020    -0.0229329
  2002.0915527     0.0138433
  2002.1271973     0.0129451
  2002.1748047    -0.0112151
  2002.2159424    -0.0115561
  2002.3771973     0.0216961
  2002.3800049    -0.0066821
  2002.4248047     0.0180496
  2002.4522705    -0.0106887
  2002.4577637     0.0125637
  2002.4604492     0.0025896
  2002.4960938    -0.0030806
  2002.5026855    -0.0167151
  2002.5383301     0.0233043
  2002.5411377    -0.0189029
  2002.5821533    -0.0188364
  2002.5970459     0.0058111
  2002.6107178     0.0082706
  2002.6190186     0.0101893
  2002.6600342     0.0105825
  2002.6967773    -0.0023045
  2002.7460938     0.0015011
  2002.7500000     0.0230931
  2002.8294678     0.0016050
  2002.8635254    -0.0138423
  2002.9412842     0.0230825
  2002.9439697    -0.0129433
  2003.0273438    -0.0094447
  2003.0629883     0.0218144
  2003.0915527    -0.0084805
  2003.2636719     0.0151760
  2003.2719727     0.0213804
  2003.3129883     0.0123532
  2003.3157959     0.0133891
  2003.3184814     0.0047574
  2003.3443604     0.0019352
  2003.4248047     0.0157463
  2003.4714355    -0.0209026
  2003.4769287     0.0084807
  2003.4796143     0.0225822
  2003.4824219     0.0113468
  2003.5054932    -0.0080050
  2003.5520020     0.0054553
  2003.5888672     0.0200979
  2003.5915527    -0.0034752
  2003.6353760    -0.0207047
  2003.6693115    -0.0001205
  2003.7432861    -0.0153113
  2003.7993164    -0.0063682
  2003.8074951     0.0032420
  2004.0766602    -0.0050101
  2004.2883301     0.0006662
  2004.3103027     0.0036835
  2004.3239746     0.0088614
  2004.3635254    -0.0056090
  2004.3662109     0.0041297
  2004.4018555     0.0144184
  2004.4439697    -0.0029189
  2004.4467773     0.0128579
  2004.4494629    -0.0017436
  2004.4714355    -0.0063996
  2004.4851074     0.0183257
  2004.5273438     0.0213766
  2004.5301514     0.0124930
  2004.5629883    -0.0133550
  2004.5684814    -0.0003657
  2004.6053467     0.0195228
  2004.6080322     0.0107047
  2004.6381836    -0.0136320
  2004.7664795     0.0102049
  2004.8800049     0.0001120
  2005.0383301     0.0183562
  2005.0860596    -0.0017593
  2005.2773438     0.0197267
  2005.3360596    -0.0129729
  2005.3388672    -0.0018440
  2005.3745117    -0.0122483
  2005.4155273    -0.0052838
  2005.4166260     0.0202175
  2005.4193115    -0.0067261
  2005.4522705     0.0003961
  2005.4577637    -0.0116111
  2005.4906006    -0.0109934
  2005.4932861     0.0101113
  2005.5000000     0.0146839
  2006.5821533    -0.0237396
  2007.1381836     0.0217132
  2007.3607178     0.0097392
  2007.3635254     0.0187971
  2007.4412842    -0.0013847
  2007.4741211     0.0017982
  2007.5191650    -0.0053648
  2007.5219727     0.0104505
  2007.5520020     0.0000123
  2007.5970459     0.0020339
  2007.5998535     0.0122616
  2007.6025391     0.0054801
  2007.6326904     0.0001940
  2007.6776123     0.0006134
  2007.6802979    -0.0094357
  2007.7186279     0.0030988
  2007.7554932     0.0065432
  2007.7581787     0.0206262
  2007.7636719    -0.0184366
  2007.8826904    -0.0021920
  2007.9522705     0.0038006
  2007.9549561     0.0007983
  2007.9577637    -0.0219338
  2008.0000000     0.0071842
  2008.0383301    -0.0030050
  2008.1546631    -0.0001246
  2008.1600342     0.0218324
  2008.1967773    -0.0088612
  2008.2801514    -0.0099359
  2008.3266602    -0.0107091
  2008.3525391     0.0220258
  2008.3607178     0.0027140
  2008.4100342     0.0057419
  2008.4128418     0.0213599
  2008.4879150    -0.0070440
  2008.4906006     0.0205180
  2008.5191650     0.0118589
  2008.5684814    -0.0101164
  2008.5712891     0.0039000
  2008.5739746     0.0048286
  2008.5970459    -0.0013286
  2008.6491699    -0.0100072
  2008.6518555    -0.0200834
  2008.6748047    -0.0123234
  2008.6776123    -0.0060563
  2008.6802979    -0.0211371
  2008.8388672     0.0042075
  2008.8415527     0.0073085
  2008.9193115    -0.0043650
  2008.9221191    -0.0012123
  2009.2966309     0.0067241
  2009.2993164     0.0169662
  2009.3771973    -0.0190176
  2009.4046631    -0.0091626
  2009.4549561    -0.0216086
  2009.4824219    -0.0224195
  2009.4906006    -0.0124658
  2009.5411377     0.0042359
  2009.5438232     0.0131661
  2009.5712891     0.0209020
  2009.5739746    -0.0172234
  2009.6217041     0.0066501
  2009.6271973    -0.0224535
  2009.6491699    -0.0052734
  2009.6994629     0.0144059
  2009.7022705     0.0096778
  2009.7324219    -0.0005987
  2009.7351074    -0.0151398
  2009.7379150     0.0007141
  2009.8963623     0.0194366
  2009.8991699    -0.0055422
  2009.9796143    -0.0198136
  2010.0273438    -0.0003902
  2010.1300049    -0.0217008
  2010.1939697     0.0160890
  2010.2186279    -0.0115676
  2010.2214355     0.0117495
  2010.2664795     0.0227276
  2010.3498535    -0.0033196
  2010.3881836    -0.0155147
  2010.4248047    -0.0233439
  2010.4276123     0.0057039
  2010.4632568    -0.0039910
  2010.4659424    -0.0224964
  2010.5081787    -0.0036740
  2010.5219727    -0.0230674
  2010.5998535     0.0117411
  2010.6190186    -0.0008248
  2010.6217041    -0.0189918
  2010.6666260    -0.0130645
  2010.6693115     0.0103978
  2010.7581787     0.0165618
  2010.8321533     0.0198129
  2010.8635254     0.0226826
  2010.8662109    -0.0046122
  2010.9193115    -0.0047997
  2010.9906006     0.0156901
  2011.0273438     0.0072020
  2011.0328369    -0.0096400
  2011.0684814     0.0004380
  2011.0766602     0.0189525
  2011.0998535    -0.0039754
  2011.1025391     0.0170624
  2011.1053467     0.0095142
  2011.1080322     0.0079086
  2011.1135254     0.0213502
  2011.1885986    -0.0141009
  2011.1912842     0.0132099
  2011.1939697     0.0184854
  2011.2351074    -0.0179907
  2011.2406006     0.0188607
  2011.2773438    -0.0125417
  2011.3184814     0.0135019
  2011.3212891     0.0165984
  2011.3239746     0.0236244
  2011.3266602    -0.0135475
  2011.3607178    -0.0025973
  2011.3963623    -0.0052072
  2011.3991699    -0.0004742
  2011.6381836     0.0065136
  2011.6693115     0.0150754
  2011.6721191     0.0221451
  2011.6748047    -0.0152260
  2011.7214355    -0.0109576
  2011.7241211     0.0089697
  2011.7500000    -0.0150709
  2011.7526855     0.0170120
  2011.7554932    -0.0027471
  2011.8020020     0.0028749
  2011.8908691     0.0199134
  2011.9714355     0.0026256
  2012.0684814    -0.0018538
  2012.0821533    -0.0172869
  2012.0860596    -0.0180958
  2012.1271973     0.0132171
  2012.1518555     0.0129457
  2012.1546631     0.0173472
  2012.1721191    -0.0111789
  2012.1994629    -0.0237455
  2012.2049561    -0.0154842
  2012.2077637    -0.0043242
  2012.2379150     0.0146970
  2012.2432861     0.0121850
  2012.2883301     0.0118765
  2012.2911377    -0.0091524
  2012.3690186     0.0141164
  2012.3717041    -0.0043434
  2012.3745117    -0.0067242
  2012.3991699     0.0142370
  2012.4073486    -0.0108345
  2012.4385986     0.0198710
  2012.4467773     0.0171227
  2012.4522705     0.0180527
  2012.4549561    -0.0163972
