,Source,generation_tWh,Year,,,
,Oil,890,2018,,,
,natural_gas,6082,2018,,,
,Coal,10091,2018,,,
,nuclear_energy,2700,2018,,,
,Hydroelectric,4171,2018,,,
,Renewables,2468,2018,,,
,Oil,825,2019,,,
,natural_gas,6297,2019,,,
,Coal,9824,2019,,,
,nuclear_energy,2796,2019,,,
,Hydroelectric,4222,2019,,,
,Renewables,2805,2019,,,
