year,value,units
2008,125671.9,kt
2009,125298.6,kt
2010,129390.9,kt
2011,133968.8,kt
2012,136932.4,kt
2013,143546.4,kt
2014,141000.6,kt
2015,145413.2,kt
2016,144111.1,kt
2017,144218.8,kt
2018,146718.4,kt
2019,150307.2,kt
