year,value,units
2008,1.25672E+11,kg
2009,1.25299E+11,kg
2010,1.29391E+11,kg
2011,1.33969E+11,kg
2012,1.36932E+11,kg
2013,1.43546E+11,kg
2014,1.41001E+11,kg
2015,1.45413E+11,kg
2016,1.44111E+11,kg
2017,1.44219E+11,kg
2018,1.46718E+11,kg
2019,1.50307E+11,kg
