year,value,units
<<<<<<< HEAD
2008,1.256720E+02,kg
2009,1.252990E+02,kg
2010,1.293910E+02,kg
2011,1.339690E+02,kg
2012,1.369320E+02,kg
2013,1.435460E+02,kg
2014,1.410010E+02,kg
2015,1.454130E+02,kg
2016,1.441110E+02,kg
2017,1.442690E+02,kg
2018,1.470680E+02,kg
2019,1.498510E+02,kg
2020,1.523930E+02,kg
=======
2008,1.26E+02,Mt
2009,1.25E+02,Mt
2010,1.29E+02,Mt
2011,1.34E+02,Mt
2012,1.37E+02,Mt
2013,1.44E+02,Mt
2014,1.41E+02,Mt
2015,1.45E+02,Mt
2016,1.44E+02,Mt
2017,1.44E+02,Mt
2018,1.47E+02,Mt
2019,1.50E+02,Mt
2020,1.52E+02,Mt
>>>>>>> e47b93ec9f44a95100925165a188bbb44fbc2568
