region,urban_center,year,population,built_up_area_km2,total_area_km2,people_per_km2
South-Central Asia,Maliyuru,1975,1644.686646,0.0,1,1644.686646
South-Central Asia,Maliyuru,1990,1908.2996829999997,0.0,1,1908.2996829999997
South-Central Asia,Maliyuru,2000,2021.898315,0.0,1,2021.898315
