category,Item,Year,Unit,Value,producing_population_Mhd
eggs,"Eggs, hen, in shell",1961,1000 Head,1893282,1893.282
eggs,"Eggs, hen, in shell",1962,1000 Head,1947569,1947.569
eggs,"Eggs, hen, in shell",1963,1000 Head,1945340,1945.34
eggs,"Eggs, hen, in shell",1964,1000 Head,1991798,1991.798
eggs,"Eggs, hen, in shell",1965,1000 Head,2061013,2061.013
eggs,"Eggs, hen, in shell",1966,1000 Head,2143234,2143.234
eggs,"Eggs, hen, in shell",1967,1000 Head,2233265,2233.265
eggs,"Eggs, hen, in shell",1968,1000 Head,2294618,2294.618
eggs,"Eggs, hen, in shell",1969,1000 Head,2375499,2375.499
eggs,"Eggs, hen, in shell",1970,1000 Head,2470400,2470.4
eggs,"Eggs, hen, in shell",1971,1000 Head,2557400,2557.4
eggs,"Eggs, hen, in shell",1972,1000 Head,2583485,2583.485
eggs,"Eggs, hen, in shell",1973,1000 Head,2677180,2677.18
eggs,"Eggs, hen, in shell",1974,1000 Head,2732832,2732.832
eggs,"Eggs, hen, in shell",1975,1000 Head,2775080,2775.08
eggs,"Eggs, hen, in shell",1976,1000 Head,2843289,2843.289
eggs,"Eggs, hen, in shell",1977,1000 Head,2899304,2899.304
eggs,"Eggs, hen, in shell",1978,1000 Head,2840525,2840.525
eggs,"Eggs, hen, in shell",1979,1000 Head,2903327,2903.327
eggs,"Eggs, hen, in shell",1980,1000 Head,2923330,2923.33
eggs,"Eggs, hen, in shell",1981,1000 Head,2917545,2917.545
eggs,"Eggs, hen, in shell",1982,1000 Head,2971253,2971.253
eggs,"Eggs, hen, in shell",1983,1000 Head,3027747,3027.747
eggs,"Eggs, hen, in shell",1984,1000 Head,3130617,3130.617
eggs,"Eggs, hen, in shell",1985,1000 Head,3256304,3256.304
eggs,"Eggs, hen, in shell",1986,1000 Head,3324990,3324.99
eggs,"Eggs, hen, in shell",1987,1000 Head,3406849,3406.849
eggs,"Eggs, hen, in shell",1988,1000 Head,3457889,3457.889
eggs,"Eggs, hen, in shell",1989,1000 Head,3497714,3497.714
eggs,"Eggs, hen, in shell",1990,1000 Head,3604338,3604.338
eggs,"Eggs, hen, in shell",1991,1000 Head,3699594,3699.594
eggs,"Eggs, hen, in shell",1992,1000 Head,3688089,3688.089
eggs,"Eggs, hen, in shell",1993,1000 Head,3726720,3726.72
eggs,"Eggs, hen, in shell",1994,1000 Head,4065923,4065.923
eggs,"Eggs, hen, in shell",1995,1000 Head,4207945,4207.945
eggs,"Eggs, hen, in shell",1996,1000 Head,4363000,4363
eggs,"Eggs, hen, in shell",1997,1000 Head,4495168,4495.168
eggs,"Eggs, hen, in shell",1998,1000 Head,4621816,4621.816
eggs,"Eggs, hen, in shell",1999,1000 Head,4784073,4784.073
eggs,"Eggs, hen, in shell",2000,1000 Head,4973197,4973.197
eggs,"Eggs, hen, in shell",2001,1000 Head,5104308,5104.308
eggs,"Eggs, hen, in shell",2002,1000 Head,5268888,5268.888
eggs,"Eggs, hen, in shell",2003,1000 Head,5362263,5362.263
