Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QL","Livestock Primary","5000","World","5513","Production","1067","Eggs, hen, in shell (number)","1961","1961","1000 No","269140507","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5513","Production","1067","Eggs, hen, in shell (number)","1962","1962","1000 No","275787694","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5513","Production","1067","Eggs, hen, in shell (number)","1963","1963","1000 No","279814222","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5513","Production","1067","Eggs, hen, in shell (number)","1964","1964","1000 No","292075793","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5513","Production","1067","Eggs, hen, in shell (number)","1965","1965","1000 No","300340241","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5513","Production","1067","Eggs, hen, in shell (number)","1966","1966","1000 No","308296971","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5513","Production","1067","Eggs, hen, in shell (number)","1967","1967","1000 No","322994100","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5513","Production","1067","Eggs, hen, in shell (number)","1968","1968","1000 No","331595485","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5513","Production","1067","Eggs, hen, in shell (number)","1969","1969","1000 No","343885758","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5513","Production","1067","Eggs, hen, in shell (number)","1970","1970","1000 No","359422768","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5513","Production","1067","Eggs, hen, in shell (number)","1971","1971","1000 No","370529557","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5513","Production","1067","Eggs, hen, in shell (number)","1972","1972","1000 No","381140650","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5513","Production","1067","Eggs, hen, in shell (number)","1973","1973","1000 No","384582433","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5513","Production","1067","Eggs, hen, in shell (number)","1974","1974","1000 No","393752317","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5513","Production","1067","Eggs, hen, in shell (number)","1975","1975","1000 No","406394660","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5513","Production","1067","Eggs, hen, in shell (number)","1976","1976","1000 No","413139289","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5513","Production","1067","Eggs, hen, in shell (number)","1977","1977","1000 No","432195600","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5513","Production","1067","Eggs, hen, in shell (number)","1978","1978","1000 No","450437089","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5513","Production","1067","Eggs, hen, in shell (number)","1979","1979","1000 No","462813422","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5513","Production","1067","Eggs, hen, in shell (number)","1980","1980","1000 No","476282059","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5513","Production","1067","Eggs, hen, in shell (number)","1981","1981","1000 No","487593195","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5513","Production","1067","Eggs, hen, in shell (number)","1982","1982","1000 No","501452607","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5513","Production","1067","Eggs, hen, in shell (number)","1983","1983","1000 No","510280633","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5513","Production","1067","Eggs, hen, in shell (number)","1984","1984","1000 No","535529120","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5513","Production","1067","Eggs, hen, in shell (number)","1985","1985","1000 No","563864211","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5513","Production","1067","Eggs, hen, in shell (number)","1986","1986","1000 No","584862586","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5513","Production","1067","Eggs, hen, in shell (number)","1987","1987","1000 No","600479521","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5513","Production","1067","Eggs, hen, in shell (number)","1988","1988","1000 No","625276188","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5513","Production","1067","Eggs, hen, in shell (number)","1989","1989","1000 No","629101885","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5513","Production","1067","Eggs, hen, in shell (number)","1990","1990","1000 No","647897938","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5513","Production","1067","Eggs, hen, in shell (number)","1991","1991","1000 No","674460432","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5513","Production","1067","Eggs, hen, in shell (number)","1992","1992","1000 No","683748509","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5513","Production","1067","Eggs, hen, in shell (number)","1993","1993","1000 No","707069038","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5513","Production","1067","Eggs, hen, in shell (number)","1994","1994","1000 No","764719364","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5513","Production","1067","Eggs, hen, in shell (number)","1995","1995","1000 No","797437605","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5513","Production","1067","Eggs, hen, in shell (number)","1996","1996","1000 No","842123008","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5513","Production","1067","Eggs, hen, in shell (number)","1997","1997","1000 No","864529406","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5513","Production","1067","Eggs, hen, in shell (number)","1998","1998","1000 No","892277238","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5513","Production","1067","Eggs, hen, in shell (number)","1999","1999","1000 No","929514087","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5513","Production","1067","Eggs, hen, in shell (number)","2000","2000","1000 No","956303992","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5513","Production","1067","Eggs, hen, in shell (number)","2001","2001","1000 No","976754603","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5513","Production","1067","Eggs, hen, in shell (number)","2002","2002","1000 No","1004609219","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5513","Production","1067","Eggs, hen, in shell (number)","2003","2003","1000 No","1019369748","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5513","Production","1067","Eggs, hen, in shell (number)","2004","2004","1000 No","1044248604","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5513","Production","1067","Eggs, hen, in shell (number)","2005","2005","1000 No","1066739694","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5513","Production","1067","Eggs, hen, in shell (number)","2006","2006","1000 No","1088203093","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5513","Production","1067","Eggs, hen, in shell (number)","2007","2007","1000 No","1120098236","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5513","Production","1067","Eggs, hen, in shell (number)","2008","2008","1000 No","1161303498","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5513","Production","1067","Eggs, hen, in shell (number)","2009","2009","1000 No","1183251341","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5513","Production","1067","Eggs, hen, in shell (number)","2010","2010","1000 No","1205346228","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5513","Production","1067","Eggs, hen, in shell (number)","2011","2011","1000 No","1228747766","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5513","Production","1067","Eggs, hen, in shell (number)","2012","2012","1000 No","1256024338","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5513","Production","1067","Eggs, hen, in shell (number)","2013","2013","1000 No","1285085506","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5513","Production","1067","Eggs, hen, in shell (number)","2014","2014","1000 No","1273862358","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5513","Production","1067","Eggs, hen, in shell (number)","2015","2015","1000 No","1279150153","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5513","Production","1067","Eggs, hen, in shell (number)","2016","2016","1000 No","1318733822","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5513","Production","1067","Eggs, hen, in shell (number)","2017","2017","1000 No","1340375580","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","1378037375","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5510","Production","867","Meat, cattle","1961","1961","tonnes","27684560","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5510","Production","867","Meat, cattle","1962","1962","tonnes","29203329","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5510","Production","867","Meat, cattle","1963","1963","tonnes","30855740","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5510","Production","867","Meat, cattle","1964","1964","tonnes","31276594","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5510","Production","867","Meat, cattle","1965","1965","tonnes","31858470","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5510","Production","867","Meat, cattle","1966","1966","tonnes","33554401","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5510","Production","867","Meat, cattle","1967","1967","tonnes","35269224","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5510","Production","867","Meat, cattle","1968","1968","tonnes","36965205","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5510","Production","867","Meat, cattle","1969","1969","tonnes","37929078","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5510","Production","867","Meat, cattle","1970","1970","tonnes","38349456","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5510","Production","867","Meat, cattle","1971","1971","tonnes","38073242","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5510","Production","867","Meat, cattle","1972","1972","tonnes","38539081","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5510","Production","867","Meat, cattle","1973","1973","tonnes","38839467","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5510","Production","867","Meat, cattle","1974","1974","tonnes","41850386","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5510","Production","867","Meat, cattle","1975","1975","tonnes","43734816","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5510","Production","867","Meat, cattle","1976","1976","tonnes","46091330","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5510","Production","867","Meat, cattle","1977","1977","tonnes","46486430","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5510","Production","867","Meat, cattle","1978","1978","tonnes","46989773","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5510","Production","867","Meat, cattle","1979","1979","tonnes","45785103","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5510","Production","867","Meat, cattle","1980","1980","tonnes","45566785","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5510","Production","867","Meat, cattle","1981","1981","tonnes","45954189","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5510","Production","867","Meat, cattle","1982","1982","tonnes","45915112","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5510","Production","867","Meat, cattle","1983","1983","tonnes","47160772","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5510","Production","867","Meat, cattle","1984","1984","tonnes","48484894","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5510","Production","867","Meat, cattle","1985","1985","tonnes","49308076","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5510","Production","867","Meat, cattle","1986","1986","tonnes","50984708","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5510","Production","867","Meat, cattle","1987","1987","tonnes","50940956","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5510","Production","867","Meat, cattle","1988","1988","tonnes","51340629","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5510","Production","867","Meat, cattle","1989","1989","tonnes","51558609","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5510","Production","867","Meat, cattle","1990","1990","tonnes","53029398","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5510","Production","867","Meat, cattle","1991","1991","tonnes","53554937","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5510","Production","867","Meat, cattle","1992","1992","tonnes","52691678","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5510","Production","867","Meat, cattle","1993","1993","tonnes","52095956","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5510","Production","867","Meat, cattle","1994","1994","tonnes","51950727","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5510","Production","867","Meat, cattle","1995","1995","tonnes","52662543","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5510","Production","867","Meat, cattle","1996","1996","tonnes","53702651","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5510","Production","867","Meat, cattle","1997","1997","tonnes","54749829","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5510","Production","867","Meat, cattle","1998","1998","tonnes","54273427","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5510","Production","867","Meat, cattle","1999","1999","tonnes","55479205","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5510","Production","867","Meat, cattle","2000","2000","tonnes","55835848","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5510","Production","867","Meat, cattle","2001","2001","tonnes","55296982","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5510","Production","867","Meat, cattle","2002","2002","tonnes","56345846","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5510","Production","867","Meat, cattle","2003","2003","tonnes","57151994","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5510","Production","867","Meat, cattle","2004","2004","tonnes","58767355","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5510","Production","867","Meat, cattle","2005","2005","tonnes","59109274","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","5000","World","5510","Production","867","Meat, cattle","2006","2006","tonnes","60365371","A","Aggregate, may include official, semi-official, estimated or calculated data",""
