Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","5100","Africa","5110","Area","6602","Agriculture","1961","1961","1000 ha","1041602.53","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6602","Agriculture","1962","1962","1000 ha","1042196.02","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6602","Agriculture","1963","1963","1000 ha","1045087.93","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6602","Agriculture","1964","1964","1000 ha","1046183.09","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6602","Agriculture","1965","1965","1000 ha","1049000.15","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6602","Agriculture","1966","1966","1000 ha","1047563.01","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6602","Agriculture","1967","1967","1000 ha","1050228.89","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6602","Agriculture","1968","1968","1000 ha","1052089.97","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6602","Agriculture","1969","1969","1000 ha","1059014.05","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6602","Agriculture","1970","1970","1000 ha","1057026.49","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6602","Agriculture","1971","1971","1000 ha","1059717.58","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6602","Agriculture","1972","1972","1000 ha","1055757.02","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6602","Agriculture","1973","1973","1000 ha","1060424.02","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6602","Agriculture","1974","1974","1000 ha","1056460.02","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6602","Agriculture","1975","1975","1000 ha","1056499.02","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6602","Agriculture","1976","1976","1000 ha","1058113.02","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6602","Agriculture","1977","1977","1000 ha","1054271.02","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6602","Agriculture","1978","1978","1000 ha","1054721.02","A","Aggregate, may include official, semi-official, estimated or calculated data"
