Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RFN","Fertilizers by Nutrient","5000","World","5510","Production","3103","Nutrient phosphate P2O5 (total)","1961","1961","tonnes","11141525","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5000","World","5510","Production","3103","Nutrient phosphate P2O5 (total)","1962","1962","tonnes","11735108","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5000","World","5510","Production","3103","Nutrient phosphate P2O5 (total)","1963","1963","tonnes","13178919","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5000","World","5510","Production","3103","Nutrient phosphate P2O5 (total)","1964","1964","tonnes","14948801","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5000","World","5510","Production","3103","Nutrient phosphate P2O5 (total)","1965","1965","tonnes","16601519","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5000","World","5510","Production","3103","Nutrient phosphate P2O5 (total)","1966","1966","tonnes","18285116","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5000","World","5510","Production","3103","Nutrient phosphate P2O5 (total)","1967","1967","tonnes","19029405","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5000","World","5510","Production","3103","Nutrient phosphate P2O5 (total)","1968","1968","tonnes","19288378","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5000","World","5510","Production","3103","Nutrient phosphate P2O5 (total)","1969","1969","tonnes","20193729","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5000","World","5510","Production","3103","Nutrient phosphate P2O5 (total)","1970","1970","tonnes","21850758","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5000","World","5510","Production","3103","Nutrient phosphate P2O5 (total)","1971","1971","tonnes","23446520","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5000","World","5510","Production","3103","Nutrient phosphate P2O5 (total)","1972","1972","tonnes","26099215","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5000","World","5510","Production","3103","Nutrient phosphate P2O5 (total)","1973","1973","tonnes","26357564","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5000","World","5510","Production","3103","Nutrient phosphate P2O5 (total)","1974","1974","tonnes","26876473","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5000","World","5510","Production","3103","Nutrient phosphate P2O5 (total)","1975","1975","tonnes","26099837","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5000","World","5510","Production","3103","Nutrient phosphate P2O5 (total)","1976","1976","tonnes","27951848","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5000","World","5510","Production","3103","Nutrient phosphate P2O5 (total)","1977","1977","tonnes","30079889","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5000","World","5510","Production","3103","Nutrient phosphate P2O5 (total)","1978","1978","tonnes","31049729","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5000","World","5510","Production","3103","Nutrient phosphate P2O5 (total)","1979","1979","tonnes","32988696","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5000","World","5510","Production","3103","Nutrient phosphate P2O5 (total)","1980","1980","tonnes","34247245","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5000","World","5510","Production","3103","Nutrient phosphate P2O5 (total)","1981","1981","tonnes","31433196","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5000","World","5510","Production","3103","Nutrient phosphate P2O5 (total)","1982","1982","tonnes","32287668","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5000","World","5510","Production","3103","Nutrient phosphate P2O5 (total)","1983","1983","tonnes","35082137","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5000","World","5510","Production","3103","Nutrient phosphate P2O5 (total)","1984","1984","tonnes","36659331","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5000","World","5510","Production","3103","Nutrient phosphate P2O5 (total)","1985","1985","tonnes","34900602","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5000","World","5510","Production","3103","Nutrient phosphate P2O5 (total)","1986","1986","tonnes","37237537","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5000","World","5510","Production","3103","Nutrient phosphate P2O5 (total)","1987","1987","tonnes","39010070","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5000","World","5510","Production","3103","Nutrient phosphate P2O5 (total)","1988","1988","tonnes","41384983","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5000","World","5510","Production","3103","Nutrient phosphate P2O5 (total)","1989","1989","tonnes","39756654","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5000","World","5510","Production","3103","Nutrient phosphate P2O5 (total)","1990","1990","tonnes","38976360","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5000","World","5510","Production","3103","Nutrient phosphate P2O5 (total)","1991","1991","tonnes","38561151","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5000","World","5510","Production","3103","Nutrient phosphate P2O5 (total)","1992","1992","tonnes","34150381","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5000","World","5510","Production","3103","Nutrient phosphate P2O5 (total)","1993","1993","tonnes","31714638","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5000","World","5510","Production","3103","Nutrient phosphate P2O5 (total)","1994","1994","tonnes","32050698","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5000","World","5510","Production","3103","Nutrient phosphate P2O5 (total)","1995","1995","tonnes","33434168","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5000","World","5510","Production","3103","Nutrient phosphate P2O5 (total)","1996","1996","tonnes","33515662","A","Aggregate, may include official, semi-official, estimated or calculated data"
