animal_category,animal_subcategory,feed_category,feed_subcategory,quantity,units,value
cattle,beef,alfalfa,hay,digestible energy,Mcal/kg,2.65
cattle,beef,alfalfa,hay,metabolizable energy,Mcal/kg,2.17
cattle,beef,alfalfa,hay,net energy (maintenance),Mcal/kg,1.31
cattle,beef,alfalfa,hay,net energy (gain),Mcal/kg,0.74
cattle,beef,alfalfa,hay,total digestible nutrients,percent,60
cattle,beef,alfalfa,hay,crude protein,percent,18.6
cattle,beef,alfalfa,hay,crude fiber,percent,26.1
cattle,beef,alfalfa,hay,ash,percent,8.6
cattle,beef,alfalfa,hay,neutral detergent fiber,percent,43.9
cattle,beef,alfalfa,hay,acid detergent fiber,percent,33.8
cattle,beef,alfalfa,hay,calcium,percent,1.4
cattle,beef,alfalfa,hay,phosphorus,percent,0.28
cattle,beef,alfalfa,hay,dry matter,percent,90.6
cattle,beef,alfalfa,hay (sun-cured early bloom),digestible energy,Mcal/kg,2.64
cattle,beef,alfalfa,hay (sun-cured early bloom),metabolizable energy,Mcal/kg,2.17
cattle,beef,alfalfa,hay (sun-cured early bloom),net energy (maintenance),Mcal/kg,1.31
cattle,beef,alfalfa,hay (sun-cured early bloom),net energy (gain),Mcal/kg,0.74
cattle,beef,alfalfa,hay (sun-cured early bloom),total digestible nutrients,percent,60
cattle,beef,alfalfa,hay (sun-cured early bloom),crude protein,percent,19.9
cattle,beef,alfalfa,hay (sun-cured early bloom),crude fiber,percent,28.5
cattle,beef,alfalfa,hay (sun-cured early bloom),ash,percent,9.2
cattle,beef,alfalfa,hay (sun-cured early bloom),neutral detergent fiber,percent,39.3
cattle,beef,alfalfa,hay (sun-cured early bloom),acid detergent fiber,percent,31.9
cattle,beef,alfalfa,hay (sun-cured early bloom),calcium,percent,1.63
cattle,beef,alfalfa,hay (sun-cured early bloom),phosphorus,percent,0.21
cattle,beef,alfalfa,hay (sun-cured early bloom),dry matter,percent,90.5
cattle,beef,alfalfa,hay (sun-cured full bloom),digestible energy,Mcal/kg,2.43
cattle,beef,alfalfa,hay (sun-cured full bloom),metabolizable energy,Mcal/kg,1.99
cattle,beef,alfalfa,hay (sun-cured full bloom),net energy (maintenance),Mcal/kg,1.14
cattle,beef,alfalfa,hay (sun-cured full bloom),net energy (gain),Mcal/kg,0.58
cattle,beef,alfalfa,hay (sun-cured full bloom),total digestible nutrients,percent,55
cattle,beef,alfalfa,hay (sun-cured full bloom),crude protein,percent,177
cattle,beef,alfalfa,hay (sun-cured full bloom),crude fiber,percent,30.1
cattle,beef,alfalfa,hay (sun-cured full bloom),ash,percent,7.8
cattle,beef,alfalfa,hay (sun-cured full bloom),neutral detergent fiber,percent,48.8
cattle,beef,alfalfa,hay (sun-cured full bloom),acid detergent fiber,percent,38.7
cattle,beef,alfalfa,hay (sun-cured full bloom),calcium,percent,1.19
cattle,beef,alfalfa,hay (sun-cured full bloom),phosphorus,percent,0.24
cattle,beef,alfalfa,hay (sun-cured full bloom),dry matter,percent,90.9
cattle,beef,alfalfa,silage,digestible energy,Mcal/kg,2.78
cattle,beef,alfalfa,silage,metabolizable energy,Mcal/kg,2.28
cattle,beef,alfalfa,silage,net energy (maintenance),Mcal/kg,1.41
cattle,beef,alfalfa,silage,net energy (gain),Mcal/kg,0.83
cattle,beef,alfalfa,silage,total digestible nutrients,percent,63
cattle,beef,alfalfa,silage,crude protein,percent,19.5
cattle,beef,alfalfa,silage,crude fiber,percent,25.4
cattle,beef,alfalfa,silage,ash,percent,9.5
cattle,beef,alfalfa,silage,neutral detergent fiber,percent,47.5
cattle,beef,alfalfa,silage,acid detergent fiber,percent,37.5
cattle,beef,alfalfa,silage,calcium,percent,1.32
cattle,beef,alfalfa,silage,phosphorus,percent,0.31
cattle,beef,alfalfa,silage,dry matter,percent,44.2
cattle,beef,barley,grain,digestible energy,Mcal/kg,3.84
cattle,beef,barley,grain,metabolizable energy,Mcal/kg,3.03
cattle,beef,barley,grain,net energy (maintenance),Mcal/kg,2.06
cattle,beef,barley,grain,net energy (gain),Mcal/kg,1.4
cattle,beef,barley,grain,total digestible nutrients,percent,88
cattle,beef,barley,grain,crude protein,percent,13.2
cattle,beef,barley,grain,crude fiber,percent,3.37
cattle,beef,barley,grain,ash,percent,2.4
cattle,beef,barley,grain,neutral detergent fiber,percent,18.1
cattle,beef,barley,grain,acid detergent fiber,percent,5.8
cattle,beef,barley,grain,calcium,percent,0.05
cattle,beef,barley,grain,phosphorus,percent,0.35
cattle,beef,barley,grain,dry matter,percent,88.1
cattle,beef,barely,silage,digestible energy,Mcal/kg,2.65
cattle,beef,barely,silage,metabolizable energy,Mcal/kg,2.17
cattle,beef,barely,silage,net energy (maintenance),Mcal/kg,1.31
cattle,beef,barely,silage,net energy (gain),Mcal/kg,0.74
