year	ace
1851	36
1852	73
1853	76
1854	31
1855	18
1856	49
1857	43
1858	45
1859	61
1860	62
1861	50
1862	46
1863	50
1864	27
1865	49
1866	88
1867	60
1868	35
1869	51
1870	88
1871	88
1872	65
1873	69
1874	47
1875	72
1876	57
1877	73
1878	181
1879	64
1880	131
1881	59
1882	63
1883	67
1884	72
1885	58
1886	166
1887	182
1888	85
1889	104
1890	33
1891	116
1892	116
1893	231
1894	135
1895	69
1896	136
1897	55
1898	113
1899	150
1900	84
1901	93
1902	33
1903	102
1904	25
1905	28
1906	163
1907	13
1908	95
1909	92
1910	64
1911	36
1912	74
1913	43
1914	3
1915	118
1916	177
1917	52
1918	29
1919	48
1920	31
1921	75
1922	58
1923	54
1924	89
1925	7
1926	222
1927	56
1928	75
1929	43
1930	39
1931	39
1932	136
1933	213
1934	60
1935	95
1936	108
1937	61
1938	73
1939	34
1940	52
1941	61
1942	66
1943	94
1944	96
1945	67
1946	22
1947	11
1948	106
1949	98
1950	243
1951	137
1952	87
1953	104
1954	113
1955	199
1956	54
1957	84
1958	121
1959	77
1960	88
1961	205
1962	36
1963	118
1964	170
1965	84
1966	145
1967	122
1968	35
1969	158
1970	34
1971	97
1972	28
1973	43
1974	61
1975	73
1976	81
1977	25
1978	62
1979	91
1980	147
1981	93
1982	29
1983	17
1984	71
1985	88
1986	36
1987	34
1988	103
1989	135
1990	91
1991	34
1992	75
1993	39
1994	32
1995	228
1996	166
1997	40
1998	182
1999	177
2000	116
2001	106
2002	66
2003	175
2004	225
2005	250
2006	79
2007	72
2008	144
2009	53
2010	165
2011	118
2012	133
2013	36
2014	67
2015	63
2016	141
2017	223
2018	132
2019	129
