Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QA,Live Animals,5100,Africa,5111,Stocks,1107,Asses,1961,1961,Head,10983905,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QA,Live Animals,5100,Africa,5111,Stocks,1107,Asses,1962,1962,Head,10848117,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QA,Live Animals,5100,Africa,5111,Stocks,1107,Asses,1963,1963,Head,10545587,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QA,Live Animals,5100,Africa,5111,Stocks,1107,Asses,1964,1964,Head,10641537,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QA,Live Animals,5100,Africa,5111,Stocks,1107,Asses,1965,1965,Head,10806639,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QA,Live Animals,5100,Africa,5111,Stocks,1107,Asses,1966,1966,Head,10700340,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QA,Live Animals,5100,Africa,5111,Stocks,1107,Asses,1967,1967,Head,10776091,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QA,Live Animals,5100,Africa,5111,Stocks,1107,Asses,1968,1968,Head,10963237,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QA,Live Animals,5100,Africa,5111,Stocks,1107,Asses,1969,1969,Head,10978545,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QA,Live Animals,5100,Africa,5111,Stocks,1107,Asses,1970,1970,Head,11218074,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QA,Live Animals,5100,Africa,5111,Stocks,1107,Asses,1971,1971,Head,11638443,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QA,Live Animals,5100,Africa,5111,Stocks,1107,Asses,1972,1972,Head,11653665,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QA,Live Animals,5100,Africa,5111,Stocks,1107,Asses,1973,1973,Head,11417408,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QA,Live Animals,5100,Africa,5111,Stocks,1107,Asses,1974,1974,Head,11639614,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QA,Live Animals,5100,Africa,5111,Stocks,1107,Asses,1975,1975,Head,11754280,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QA,Live Animals,5100,Africa,5111,Stocks,1107,Asses,1976,1976,Head,11924630,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QA,Live Animals,5100,Africa,5111,Stocks,1107,Asses,1977,1977,Head,12161065,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QA,Live Animals,5100,Africa,5111,Stocks,1107,Asses,1978,1978,Head,12345788,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QA,Live Animals,5100,Africa,5111,Stocks,1107,Asses,1979,1979,Head,12387306,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QA,Live Animals,5100,Africa,5111,Stocks,1107,Asses,1980,1980,Head,12346009,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QA,Live Animals,5100,Africa,5111,Stocks,1107,Asses,1981,1981,Head,12532693,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QA,Live Animals,5100,Africa,5111,Stocks,1107,Asses,1982,1982,Head,12826492,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QA,Live Animals,5100,Africa,5111,Stocks,1107,Asses,1983,1983,Head,12918164,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QA,Live Animals,5100,Africa,5111,Stocks,1107,Asses,1984,1984,Head,12419819,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QA,Live Animals,5100,Africa,5111,Stocks,1107,Asses,1985,1985,Head,12196994,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QA,Live Animals,5100,Africa,5111,Stocks,1107,Asses,1986,1986,Head,12710100,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QA,Live Animals,5100,Africa,5111,Stocks,1107,Asses,1987,1987,Head,12948001,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QA,Live Animals,5100,Africa,5111,Stocks,1107,Asses,1988,1988,Head,13477616,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QA,Live Animals,5100,Africa,5111,Stocks,1107,Asses,1989,1989,Head,13919289,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QA,Live Animals,5100,Africa,5111,Stocks,1107,Asses,1990,1990,Head,14374374,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QA,Live Animals,5100,Africa,5111,Stocks,1107,Asses,1991,1991,Head,14738618,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QA,Live Animals,5100,Africa,5111,Stocks,1107,Asses,1992,1992,Head,15252982,A,"Aggregate, may include official, semi-official, estimated or calculated data"
