radionuclide,half_life_yr,fallout_PBq,fallout_kg
Sr-90,28.8,622,120
Cs-127,30.1,948,300
C-14,5730,213,1290
Pu-241,14.4,142,40
Pu-238,88,0.3,0.4
Pu-239,24110,6.5,2840
Pu-240,6563,4.4,520
