,region,population_1000_inhab
0,Central America,4906.0
1,Central America,4099.0
2,Northern America,11485.0
3,Northern America,2890.0
4,Caribbean,395.4
5,Caribbean,107.8
6,Caribbean,109.9
7,Northern America,36624.0
8,Northern America,324459.0
9,Central America,129163.0
10,South America,49066.0
11,South America,32165.0
12,South America,209288.0
13,Africa,41318.0
14,Africa,11176.0
15,Africa,2292.0
16,Africa,24295.0
17,Africa,97553.0
18,Africa,28834.0
19,Africa,49700.0
20,Africa,1265.0
21,Africa,29669.0
22,Africa,21477.0
23,Africa,204.3
24,Africa,56717.0
25,Africa,11532.0
26,Africa,16530.0
27,Asia,2930.0
28,Asia,9828.0
29,Asia,1493.0
30,Asia,1441131.0
31,Asia,263991.0
32,Asia,38275.0
33,Asia,8322.0
34,Asia,9702.0
35,Asia,18204.0
36,Asia,6082.0
37,Asia,3076.0
38,Asia,4636.0
39,Asia,4921.0
40,Asia,104918.0
41,Asia,2639.0
42,Asia,50982.0
43,Asia,32938.0
44,Asia,80745.0
45,Asia,31911.0
46,Europe,2930.0
47,Europe,9468.0
48,Europe,11429.0
49,Europe,3507.0
50,Europe,7085.0
51,Europe,4189.0
52,Europe,1180.0
53,Europe,10618.0
54,Europe,5734.0
55,Europe,1310.0
56,Europe,5523.0
57,Europe,64980.0
58,Europe,82114.0
59,Europe,11160.0
60,Europe,9722.0
61,Europe,335.0
62,Europe,4762.0
63,Europe,59360.0
64,Europe,1950.0
65,Europe,37.92
66,Europe,2890.0
67,Europe,583.5
68,Europe,430.8
69,Europe,17036.0
70,Europe,2083.0
71,Europe,5305.0
72,Europe,38171.0
73,Europe,10330.0
74,Europe,4051.0
75,Europe,19679.0
76,Europe,143990.0
77,Europe,8791.0
78,Europe,5448.0
79,Europe,2080.0
80,Europe,46354.0
81,Europe,9911.0
82,Europe,8476.0
83,Europe,44223.0
84,Europe,66182.0
85,Oceania,24450.0
