region,population_1000_inhab,year
Africa,486343.3,2013-2017
Asia,2076737,2013-2017
Central America,138168,2013-2017
Europe,695467.3,2013-2017
Northern America,386442,2013-2017
Oceania,24450,2013-2017
South America,241453,2013-2017
