Parameter,Units,Beef,Poultry,Pork,Dairy,Eggs
Feed intake per edible weight,kg/kg EW,36+13,4.2+0.8,6+2.5,,
Caloric conversion efficiency,%,2.9+0.7,13+4,9+4,17+4,17+9
Protein conversion efficiency,%,2.5+0.6,21+7,9+4.5,14+4,31+16
