,Year,area_ha
0,1961,115365135.0
1,1962,119452419.0
2,1963,120151882.0
3,1964,125056100.0
4,1965,124828874.0
5,1966,125680517.0
6,1967,127537654.0
7,1968,129264992.0
8,1969,131137551.0
9,1970,132873227.0
10,1971,134513986.0
11,1972,132197995.0
12,1973,136572628.0
13,1974,136887929.0
14,1975,141729334.0
15,1976,141860234.0
16,1977,143663829.0
17,1978,143503652.0
18,1979,141118095.0
19,1980,144412384.0
20,1981,145047250.0
21,1982,141574291.0
22,1983,142830035.0
23,1984,144242554.0
24,1985,143739872.0
25,1986,144470742.0
26,1987,141324376.0
27,1988,146402560.0
28,1989,148932817.0
29,1990,146960085.0
30,1991,146630312.0
31,1992,147258679.0
32,1993,146454544.0
33,1994,147252079.0
34,1995,149579331.0
35,1996,150280654.0
36,1997,151216596.0
37,1998,151681531.0
38,1999,156833899.0
39,2000,154001911.0
40,2001,151951868.0
41,2002,147826507.0
42,2003,148447197.0
43,2004,150702977.0
44,2005,155266253.0
45,2006,155559995.0
46,2007,155314941.0
47,2008,160077463.0
48,2009,157793328.0
49,2010,161699737.0
50,2011,162752574.0
51,2012,162645204.0
52,2013,165216811.0
53,2014,164291421.0
54,2015,162630402.0
55,2016,162981535.0
56,2017,166082745.0
57,2018,167132623.0
