,year,emissions_10^9_kg
0,1961,65.35489869999999
1,1962,66.3096152
2,1963,67.0188014
3,1964,67.9340813
4,1965,69.20154450000001
5,1966,70.71146420000001
6,1967,72.11444440000001
7,1968,73.1893077
8,1969,73.52868480000001
9,1970,73.9372093
10,1971,74.9615495
11,1972,76.2134314
12,1973,77.1838656
13,1974,79.01301849999999
14,1975,80.3373938
15,1976,81.028899
16,1977,81.2633713
17,1978,81.43965580000001
18,1979,81.928416
19,1980,82.89683930000001
20,1981,83.65974759999999
21,1982,84.61199649999999
22,1983,85.1218917
23,1984,85.6461139
24,1985,86.04629949999999
25,1986,86.7645992
26,1987,86.83647689999998
27,1988,87.3101542
28,1989,88.5205026
29,1990,89.07278690000001
30,1991,89.17844369999999
31,1992,88.59201829999999
32,1993,88.23397820000001
33,1994,88.9499446
34,1995,89.2263756
35,1996,89.2015115
36,1997,87.60461530000002
37,1998,87.7415173
38,1999,87.97524540000002
39,2000,88.36709590000001
40,2001,88.4396601
41,2002,89.25965429999998
42,2003,90.31510449999998
43,2004,91.3918562
44,2005,92.37134549999999
45,2006,93.1865279
46,2007,93.998509
47,2008,94.6654852
48,2009,94.8997534
49,2010,94.81728910000001
50,2011,95.1980478
51,2012,95.9658397
52,2013,96.3822165
53,2014,96.9717418
54,2015,97.6997691
55,2016,98.8680793
56,2017,99.27445639999998
57,2018,99.94227469999998
