,Year,CH4_Gg
0,1961,17426.473
1,1962,18052.8117
2,1963,18069.7191
3,1964,18809.7617
4,1965,18782.7874
5,1966,19064.3793
6,1967,19243.2004
7,1968,19561.9376
8,1969,19765.1368
9,1970,20026.8553
10,1971,20387.1506
11,1972,20046.7638
12,1973,20722.6368
13,1974,20864.4344
14,1975,21473.9111
15,1976,21432.83
16,1977,21649.9988
17,1978,21688.2406
18,1979,21359.4953
19,1980,21779.6942
20,1981,21878.5556
21,1982,21374.9261
22,1983,21421.0833
23,1984,21718.8899
24,1985,21666.077999999998
25,1986,21677.0816
26,1987,21258.4562
27,1988,21954.4908
28,1989,22386.0139
29,1990,22173.3481
30,1991,22090.7868
31,1992,22222.6679
32,1993,22053.9724
33,1994,22252.4758
34,1995,22669.7118
35,1996,22923.0125
36,1997,23054.8384
37,1998,22935.6257
38,1999,23837.152000000002
39,2000,23331.456000000002
40,2001,23023.939
41,2002,22515.3008
42,2003,22461.5696
43,2004,22963.7922
44,2005,23481.1348
45,2006,23561.5974
46,2007,23597.1131
47,2008,24245.557
48,2009,24164.887000000002
49,2010,24674.9991
50,2011,24764.1807
51,2012,24760.8864
52,2013,25033.5346
53,2014,24866.4592
54,2015,24603.5093
55,2016,24744.5959
56,2017,25209.583
57,2018,25348.1794
