year,type,consumption_EJ_yr
1991,solar,0.01
1993,solar,0.01
1994,solar,0.01
1995,solar,0.01
1996,solar,0.01
1997,solar,0.01
1998,solar,0.01
1999,solar,0.01
2000,solar,0.01
2001,solar,0.02
2002,solar,0.02
2003,solar,0.02
2004,solar,0.03
2005,solar,0.04
2006,solar,0.06
2007,solar,0.08
2008,solar,0.13
2009,solar,0.21
2010,solar,0.34
2011,solar,0.65
2012,solar,1.00
2013,solar,1.36
2014,solar,1.92
2015,solar,2.47
2016,solar,3.16
2017,solar,4.27
2018,solar,5.49
2019,solar,6.68
2020,solar,8.00
2021,solar,9.73
