year,type,consumption_EJ_yr
1965,natural gas,22.69
1966,natural gas,24.73
1967,natural gas,26.55
1968,natural gas,28.96
1969,natural gas,31.80
1970,natural gas,34.61
1971,natural gas,37.06
1972,natural gas,39.10
1973,natural gas,40.96
1974,natural gas,41.98
1975,natural gas,41.98
1976,natural gas,44.47
1977,natural gas,45.94
1978,natural gas,47.86
1979,natural gas,50.82
1980,natural gas,51.25
1981,natural gas,51.83
1982,natural gas,52.09
1983,natural gas,52.93
1984,natural gas,57.25
1985,natural gas,58.54
1986,natural gas,59.12
1987,natural gas,62.21
1988,natural gas,65.12
1989,natural gas,67.92
1990,natural gas,70.13
1991,natural gas,71.90
1992,natural gas,72.23
1993,natural gas,72.96
1994,natural gas,73.40
1995,natural gas,75.98
1996,natural gas,79.77
1997,natural gas,79.31
1998,natural gas,80.76
1999,natural gas,83.06
2000,natural gas,86.38
2001,natural gas,87.54
2002,natural gas,90.11
2003,natural gas,92.63
2004,natural gas,96.20
2005,natural gas,98.78
2006,natural gas,101.38
2007,natural gas,105.54
2008,natural gas,108.08
2009,natural gas,105.84
2010,natural gas,113.72
2011,natural gas,116.42
2012,natural gas,119.50
2013,natural gas,121.43
2014,natural gas,122.20
2015,natural gas,125.17
2016,natural gas,128.02
2017,natural gas,131.51
2018,natural gas,138.08
2019,natural gas,140.63
2020,natural gas,138.44
2021,natural gas,145.35
