year,type,consumption_EJ_yr
1965,geothermal/biomass/other,0.20
1966,geothermal/biomass/other,0.22
1967,geothermal/biomass/other,0.22
1968,geothermal/biomass/other,0.25
1969,geothermal/biomass/other,0.26
1970,geothermal/biomass/other,0.29
1971,geothermal/biomass/other,0.31
1972,geothermal/biomass/other,0.34
1973,geothermal/biomass/other,0.36
1974,geothermal/biomass/other,0.38
1975,geothermal/biomass/other,0.39
1976,geothermal/biomass/other,0.43
1977,geothermal/biomass/other,0.46
1978,geothermal/biomass/other,0.49
1979,geothermal/biomass/other,0.52
1980,geothermal/biomass/other,0.55
1981,geothermal/biomass/other,0.59
1982,geothermal/biomass/other,0.69
1983,geothermal/biomass/other,0.76
1984,geothermal/biomass/other,0.85
1985,geothermal/biomass/other,0.88
1986,geothermal/biomass/other,0.95
1987,geothermal/biomass/other,1.02
1988,geothermal/biomass/other,1.05
1989,geothermal/biomass/other,1.16
1990,geothermal/biomass/other,1.30
1991,geothermal/biomass/other,1.36
1992,geothermal/biomass/other,1.46
1993,geothermal/biomass/other,1.51
1994,geothermal/biomass/other,1.56
1995,geothermal/biomass/other,1.64
1996,geothermal/biomass/other,1.68
1997,geothermal/biomass/other,1.80
1998,geothermal/biomass/other,1.87
1999,geothermal/biomass/other,1.97
2000,geothermal/biomass/other,2.06
2001,geothermal/biomass/other,2.14
2002,geothermal/biomass/other,2.30
2003,geothermal/biomass/other,2.43
2004,geothermal/biomass/other,2.62
2005,geothermal/biomass/other,2.84
2006,geothermal/biomass/other,3.03
2007,geothermal/biomass/other,3.28
2008,geothermal/biomass/other,3.51
2009,geothermal/biomass/other,3.77
2010,geothermal/biomass/other,4.25
2011,geothermal/biomass/other,4.49
2012,geothermal/biomass/other,4.87
2013,geothermal/biomass/other,5.27
2014,geothermal/biomass/other,5.70
2015,geothermal/biomass/other,6.16
2016,geothermal/biomass/other,6.25
2017,geothermal/biomass/other,6.66
2018,geothermal/biomass/other,7.18
2019,geothermal/biomass/other,7.54
2020,geothermal/biomass/other,7.87
2021,geothermal/biomass/other,8.54
