year,type,consumption_EJ_yr
1989,wind,0.03
1990,wind,0.04
1991,wind,0.04
1992,wind,0.05
1993,wind,0.06
1994,wind,0.08
1995,wind,0.09
1996,wind,0.10
1997,wind,0.13
1998,wind,0.17
1999,wind,0.23
2000,wind,0.33
2001,wind,0.41
2002,wind,0.55
2003,wind,0.66
2004,wind,0.89
2005,wind,1.08
2006,wind,1.37
2007,wind,1.75
2008,wind,2.24
2009,wind,2.78
2010,wind,3.46
2011,wind,4.37
2012,wind,5.24
2013,wind,6.24
2014,wind,6.88
2015,wind,8.06
2016,wind,9.27
2017,wind,10.93
2018,wind,12.10
2019,wind,13.48
2020,wind,15.09
2021,wind,17.54
