year,type,production_thousand_barrels_per_day,production_cubic_meters_per_day,production_cubic_meters_per_year
1965,oil,31792,5054928,1845048720
1966,oil,34561,5495199,2005747635
1967,oil,37104,5899536,2153330640
1968,oil,40418,6426462,2345658630
1969,oil,43649,6940191,2533169715
1970,oil,48075,7643925,2790032625
1971,oil,50785,8074815,2947307475
1972,oil,53554,8515086,3108006390
1973,oil,58552,9309768,3398065320
1974,oil,58671,9328689,3404971485
1975,oil,55811,8873949,3238991385
1976,oil,60440,9609960,3507635400
1977,oil,62740,9975660,3641115900
1978,oil,63322,10068198,3674892270
1979,oil,66067,10504653,3834198345
1980,oil,62942,10007778,3652838970
1981,oil,59527,9464793,3454649445
1982,oil,57271,9106089,3323722485
1983,oil,56592,8998128,3284316720
1984,oil,57640,9164760,3345137400
1985,oil,57345,9117855,3328017075
1986,oil,60176,9567984,3492314160
1987,oil,60406,9604554,3505662210
1988,oil,62840,9991560,3646919400
1989,oil,63792,10142928,3702168720
1990,oil,65022,10338498,3773551770
1991,oil,64865,10313535,3764440275
1992,oil,65704,10446936,3813131640
1993,oil,65892,10476828,3824042220
1994,oil,66877,10633443,3881206695
1995,oil,67841,10786719,3937152435
1996,oil,69478,11047002,4032155730
1997,oil,71253,11329227,4135167855
1998,oil,73017,11609703,4237541595
1999,oil,71518,11371362,4150547130
2000,oil,74718,11880162,4336259130
2001,oil,74943,11915937,4349317005
2002,oil,74145,11789055,4303005075
2003,oil,77305,12291495,4486395675
2004,oil,80979,12875661,4699616265
2005,oil,81952,13030368,4756084320
2006,oil,82711,13151049,4800132885
2007,oil,82570,13128630,4791949950
2008,oil,83234,13234206,4830485190
2009,oil,81578,12970902,4734379230
2010,oil,83409,13262031,4840641315
2011,oil,84157,13380963,4884051495
2012,oil,86366,13732194,5012250810
2013,oil,86794,13800246,5037089790
2014,oil,88910,14136690,5159891850
2015,oil,91733,14585547,5323724655
2016,oil,92072,14639448,5343398520
2017,oil,92798,14754882,5385531930
2018,oil,95254,15145386,5528065890
2019,oil,95192,15135528,5524467720
