year,type,production_billion_cubic_meters,production_cubic_meters
1970,gas,976.1,9.761E+11
1971,gas,1043.9,1.0439E+12
1972,gas,1095.4,1.0954E+12
1973,gas,1148.1,1.1481E+12
1974,gas,1172.2,1.1722E+12
1975,gas,1175.2,1.1752E+12
1976,gas,1225.8,1.2258E+12
1977,gas,1277.5,1.2775E+12
1978,gas,1320.8,1.3208E+12
1979,gas,1409.9,1.4099E+12
1980,gas,1428.4,1.4284E+12
1981,gas,1453,1.453E+12
1982,gas,1459.7,1.4597E+12
1983,gas,1472.7,1.4727E+12
1984,gas,1598.7,1.5987E+12
1985,gas,1641.7,1.6417E+12
1986,gas,1684.2,1.6842E+12
1987,gas,1768.7,1.7687E+12
1988,gas,1846.7,1.8467E+12
1989,gas,1908.5,1.9085E+12
1990,gas,1970.8,1.9708E+12
1991,gas,1996.6,1.9966E+12
1992,gas,2001.9,2.0019E+12
1993,gas,2025.2,2.0252E+12
1994,gas,2054.3,2.0543E+12
1995,gas,2088.3,2.0883E+12
1996,gas,2188.9,2.1889E+12
1997,gas,2188.3,2.1883E+12
1998,gas,2245.7,2.2457E+12
1999,gas,2310,2.31E+12
2000,gas,2401,2.401E+12
2001,gas,2458.6,2.4586E+12
2002,gas,2515.1,2.5151E+12
2003,gas,2605.4,2.6054E+12
2004,gas,2690.5,2.6905E+12
2005,gas,2754.4,2.7544E+12
2006,gas,2848.2,2.8482E+12
2007,gas,2921.2,2.9212E+12
2008,gas,3029.3,3.0293E+12
2009,gas,2934.9,2.9349E+12
2010,gas,3146.2,3.1462E+12
2011,gas,3251.9,3.2519E+12
2012,gas,3318.9,3.3189E+12
2013,gas,3357.8,3.3578E+12
2014,gas,3425.9,3.4259E+12
2015,gas,3500.6,3.5006E+12
2016,gas,3540.4,3.5404E+12
2017,gas,3672.5,3.6725E+12
2018,gas,3857.5,3.8575E+12
2019,gas,3989.3,3.9893E+12
