Element,Item,Year,Unit,Value
Production,Nutrient potash (K2O),1961,Mt,9.366
Production,Nutrient potash (K2O),1962,Mt,9.829
Production,Nutrient potash (K2O),1963,Mt,10.854
Production,Nutrient potash (K2O),1964,Mt,12.193
Production,Nutrient potash (K2O),1965,Mt,13.836
Production,Nutrient potash (K2O),1966,Mt,14.453
Production,Nutrient potash (K2O),1967,Mt,15.208
Production,Nutrient potash (K2O),1968,Mt,15.775
Production,Nutrient potash (K2O),1969,Mt,16.592
Production,Nutrient potash (K2O),1970,Mt,17.471
Production,Nutrient potash (K2O),1971,Mt,18.924
Production,Nutrient potash (K2O),1972,Mt,19.611
Production,Nutrient potash (K2O),1973,Mt,21.674
Production,Nutrient potash (K2O),1974,Mt,23.116
Production,Nutrient potash (K2O),1975,Mt,22.911
Production,Nutrient potash (K2O),1976,Mt,24.684
Production,Nutrient potash (K2O),1977,Mt,25.43
Production,Nutrient potash (K2O),1978,Mt,26.245
Production,Nutrient potash (K2O),1979,Mt,25.852
Production,Nutrient potash (K2O),1980,Mt,27.458
Production,Nutrient potash (K2O),1981,Mt,25.654
Production,Nutrient potash (K2O),1982,Mt,24.414
Production,Nutrient potash (K2O),1983,Mt,27.884
Production,Nutrient potash (K2O),1984,Mt,28.77
Production,Nutrient potash (K2O),1985,Mt,28.312
Production,Nutrient potash (K2O),1986,Mt,28.787
Production,Nutrient potash (K2O),1987,Mt,30.847
Production,Nutrient potash (K2O),1988,Mt,31.222
Production,Nutrient potash (K2O),1989,Mt,28.742
Production,Nutrient potash (K2O),1990,Mt,26.823
Production,Nutrient potash (K2O),1991,Mt,24.982
Production,Nutrient potash (K2O),1992,Mt,23.201
Production,Nutrient potash (K2O),1993,Mt,19.799
Production,Nutrient potash (K2O),1994,Mt,22.877
Production,Nutrient potash (K2O),1995,Mt,22.704
Production,Nutrient potash (K2O),1996,Mt,22.855
Production,Nutrient potash (K2O),1997,Mt,25.508
Production,Nutrient potash (K2O),1998,Mt,25.601
Production,Nutrient potash (K2O),1999,Mt,25.361
Production,Nutrient potash (K2O),2000,Mt,26.157
Production,Nutrient potash (K2O),2001,Mt,25.917
Production,Nutrient potash (K2O),2002,Mt,26.635
Production,Nutrient potash (K2O),2003,Mt,29.399
Production,Nutrient potash (K2O),2004,Mt,32.133
Production,Nutrient potash (K2O),2005,Mt,31.515
Production,Nutrient potash (K2O),2006,Mt,32.154
Production,Nutrient potash (K2O),2007,Mt,35.285
Production,Nutrient potash (K2O),2008,Mt,30.45
Production,Nutrient potash (K2O),2009,Mt,23.328
Production,Nutrient potash (K2O),2010,Mt,35.023
Production,Nutrient potash (K2O),2011,Mt,37.066
Production,Nutrient potash (K2O),2012,Mt,35.614
Production,Nutrient potash (K2O),2013,Mt,35.854
Production,Nutrient potash (K2O),2014,Mt,41.649
Production,Nutrient potash (K2O),2015,Mt,41.647
Production,Nutrient potash (K2O),2016,Mt,41.113
Production,Nutrient potash (K2O),2017,Mt,43.992
Production,Nutrient potash (K2O),2018,Mt,44.519
Agricultural Use,Nutrient potash (K2O),1961,Mt,8.615
Agricultural Use,Nutrient potash (K2O),1962,Mt,9.135
Agricultural Use,Nutrient potash (K2O),1963,Mt,9.904
Agricultural Use,Nutrient potash (K2O),1964,Mt,10.866
Agricultural Use,Nutrient potash (K2O),1965,Mt,11.946
Agricultural Use,Nutrient potash (K2O),1966,Mt,12.559
Agricultural Use,Nutrient potash (K2O),1967,Mt,13.838
Agricultural Use,Nutrient potash (K2O),1968,Mt,14.414
Agricultural Use,Nutrient potash (K2O),1969,Mt,15.106
Agricultural Use,Nutrient potash (K2O),1970,Mt,16.339
Agricultural Use,Nutrient potash (K2O),1971,Mt,17.274
Agricultural Use,Nutrient potash (K2O),1972,Mt,18.386
Agricultural Use,Nutrient potash (K2O),1973,Mt,20.189
Agricultural Use,Nutrient potash (K2O),1974,Mt,19.702
Agricultural Use,Nutrient potash (K2O),1975,Mt,21.039
Agricultural Use,Nutrient potash (K2O),1976,Mt,22.555
Agricultural Use,Nutrient potash (K2O),1977,Mt,22.997
Agricultural Use,Nutrient potash (K2O),1978,Mt,24.077
Agricultural Use,Nutrient potash (K2O),1979,Mt,23.969
Agricultural Use,Nutrient potash (K2O),1980,Mt,24.149
Agricultural Use,Nutrient potash (K2O),1981,Mt,23.874
Agricultural Use,Nutrient potash (K2O),1982,Mt,23.076
Agricultural Use,Nutrient potash (K2O),1983,Mt,25.0
Agricultural Use,Nutrient potash (K2O),1984,Mt,25.992
Agricultural Use,Nutrient potash (K2O),1985,Mt,25.745
Agricultural Use,Nutrient potash (K2O),1986,Mt,26.206
Agricultural Use,Nutrient potash (K2O),1987,Mt,27.289
Agricultural Use,Nutrient potash (K2O),1988,Mt,28.002
Agricultural Use,Nutrient potash (K2O),1989,Mt,26.519
Agricultural Use,Nutrient potash (K2O),1990,Mt,24.713
Agricultural Use,Nutrient potash (K2O),1991,Mt,23.689
Agricultural Use,Nutrient potash (K2O),1992,Mt,20.417
Agricultural Use,Nutrient potash (K2O),1993,Mt,19.046
Agricultural Use,Nutrient potash (K2O),1994,Mt,20.063
Agricultural Use,Nutrient potash (K2O),1995,Mt,20.586
Agricultural Use,Nutrient potash (K2O),1996,Mt,20.789
Agricultural Use,Nutrient potash (K2O),1997,Mt,22.589
Agricultural Use,Nutrient potash (K2O),1998,Mt,22.062
Agricultural Use,Nutrient potash (K2O),1999,Mt,22.017
Agricultural Use,Nutrient potash (K2O),2000,Mt,21.627
Agricultural Use,Nutrient potash (K2O),2001,Mt,22.507
Agricultural Use,Nutrient potash (K2O),2002,Mt,23.263
Agricultural Use,Nutrient potash (K2O),2003,Mt,24.306
Agricultural Use,Nutrient potash (K2O),2004,Mt,27.952
Agricultural Use,Nutrient potash (K2O),2005,Mt,27.629
Agricultural Use,Nutrient potash (K2O),2006,Mt,27.142
Agricultural Use,Nutrient potash (K2O),2007,Mt,31.596
Agricultural Use,Nutrient potash (K2O),2008,Mt,27.811
Agricultural Use,Nutrient potash (K2O),2009,Mt,22.025
Agricultural Use,Nutrient potash (K2O),2010,Mt,28.893
Agricultural Use,Nutrient potash (K2O),2011,Mt,31.846
Agricultural Use,Nutrient potash (K2O),2012,Mt,31.293
Agricultural Use,Nutrient potash (K2O),2013,Mt,32.46
Agricultural Use,Nutrient potash (K2O),2014,Mt,36.412
Agricultural Use,Nutrient potash (K2O),2015,Mt,35.891
Agricultural Use,Nutrient potash (K2O),2016,Mt,35.884
Agricultural Use,Nutrient potash (K2O),2017,Mt,38.286
Agricultural Use,Nutrient potash (K2O),2018,Mt,38.854
