,River,measurement,value
0,Danube,Micro_#_m^-3,0.823
1,Danube,Macro_#_m^-3,0.12
2,Danube,Micro_g_m^-3,0.0098
3,Danube,Macro_g_m^-3,0.0011
4,Danube,Total_g_m^-3,0.0109
5,Danube,Mmpw_t_yr,596000.0
6,Danube,R_mm_d,0.43
7,Danube,Micro_#_m^-3,0.04
8,Danube,Macro_#_m^-3,0.015
9,Danube,Micro_g_m^-3,0.002
10,Danube,Macro_g_m^-3,0.0002
11,Danube,Total_g_m^-3,0.0022
12,Danube,Mmpw_t_yr,596000.0
13,Danube,R_mm_d,0.43
14,Danube,Micro_#_m^-3,0.106
15,Danube,Macro_#_m^-3,0.37
16,Danube,Micro_g_m^-3,0.032
17,Danube,Macro_g_m^-3,0.038
18,Danube,Total_g_m^-3,0.0698
19,Danube,Mmpw_t_yr,596000.0
20,Danube,R_mm_d,0.34
21,Rhine,Micro_#_m^-3,4.92
22,Rhine,Macro_#_m^-3,0.05
23,Rhine,Micro_g_m^-3,0.015
24,Rhine,Macro_g_m^-3,0.079
25,Rhine,Total_g_m^-3,0.0938
26,Rhine,Mmpw_t_yr,162000.0
27,Rhine,R_mm_d,0.32
28,Rhine,Micro_#_m^-3,1.85
29,Rhine,Macro_#_m^-3,0.042
30,Rhine,Micro_g_m^-3,0.0056
31,Rhine,Macro_g_m^-3,0.0077
32,Rhine,Total_g_m^-3,0.0133
33,Rhine,Mmpw_t_yr,162000.0
34,Rhine,R_mm_d,0.28
35,Po,Micro_#_m^-3,1.46
36,Po,Macro_#_m^-3,0.032
37,Po,Micro_g_m^-3,0.044
38,Po,Macro_g_m^-3,0.0038
39,Po,Total_g_m^-3,0.0476
40,Po,Mmpw_t_yr,16300.0
41,Po,R_mm_d,1.9
42,Po,Micro_#_m^-3,1.0
43,Po,Macro_#_m^-3,0.04
44,Po,Micro_g_m^-3,0.003
45,Po,Macro_g_m^-3,0.00687
46,Po,Total_g_m^-3,0.00987
47,Po,Mmpw_t_yr,16300.0
48,Po,R_mm_d,1.4
49,Po,Micro_#_m^-3,1.22
50,Po,Macro_#_m^-3,0.49
51,Po,Micro_g_m^-3,0.037
52,Po,Macro_g_m^-3,0.0838
53,Po,Total_g_m^-3,0.12
54,Po,Mmpw_t_yr,16300.0
55,Po,R_mm_d,1.1
56,Seine,Micro_#_m^-3,0.375
57,Seine,Macro_#_m^-3,0.015
58,Seine,Micro_g_m^-3,0.0011
59,Seine,Macro_g_m^-3,0.00258
60,Seine,Total_g_m^-3,0.0037
61,Seine,Mmpw_t_yr,20400.0
62,Seine,R_mm_d,0.12
63,Elqui,Micro_#_m^-3,0.129
64,Elqui,Macro_#_m^-3,0.0052
65,Elqui,Micro_g_m^-3,0.00039
66,Elqui,Macro_g_m^-3,0.000885
67,Elqui,Total_g_m^-3,0.00127
68,Elqui,Mmpw_t_yr,647.0
69,Elqui,R_mm_d,0.035
70,Maipo,Micro_#_m^-3,0.647
71,Maipo,Macro_#_m^-3,0.026
72,Maipo,Micro_g_m^-3,0.0019
73,Maipo,Macro_g_m^-3,0.00445
74,Maipo,Total_g_m^-3,0.00639
75,Maipo,Mmpw_t_yr,23800.0
76,Maipo,R_mm_d,0.06
77,BioBio,Micro_#_m^-3,0.05
78,BioBio,Macro_#_m^-3,0.02
79,BioBio,Micro_g_m^-3,0.00015
80,BioBio,Macro_g_m^-3,0.000344
81,BioBio,Total_g_m^-3,0.000494
82,BioBio,Mmpw_t_yr,3260.0
83,BioBio,R_mm_d,0.094
84,Maule,Micro_#_m^-3,0.74
85,Maule,Macro_#_m^-3,0.03
86,Maule,Micro_g_m^-3,0.0022
87,Maule,Macro_g_m^-3,0.00509
88,Maule,Total_g_m^-3,0.00731
89,Maule,Mmpw_t_yr,3120.0
90,Maule,R_mm_d,0.12
91,Patapsco,Micro_#_m^-3,8.72
92,Patapsco,Macro_#_m^-3,0.35
93,Patapsco,Micro_g_m^-3,0.00051
94,Patapsco,Macro_g_m^-3,0.0599
95,Patapsco,Total_g_m^-3,0.0605
96,Patapsco,Mmpw_t_yr,780.0
97,Patapsco,R_mm_d,0.24
98,Patapsco,Micro_#_m^-3,1.99
99,Patapsco,Macro_#_m^-3,0.079
100,Patapsco,Micro_g_m^-3,0.0016
101,Patapsco,Macro_g_m^-3,0.136
102,Patapsco,Total_g_m^-3,0.0152
103,Patapsco,Mmpw_t_yr,780.0
104,Patapsco,R_mm_d,0.29
105,Patapsco,Micro_#_m^-3,0.399
106,Patapsco,Macro_#_m^-3,0.016
107,Patapsco,Micro_g_m^-3,7.1e-05
108,Patapsco,Macro_g_m^-3,0.0274
109,Patapsco,Total_g_m^-3,0.00281
110,Patapsco,Mmpw_t_yr,780.0
111,Patapsco,R_mm_d,0.37
112,Patapsco,Micro_#_m^-3,0.886
113,Patapsco,Macro_#_m^-3,0.035
114,Patapsco,Micro_g_m^-3,0.00054
115,Patapsco,Macro_g_m^-3,0.00609
116,Patapsco,Total_g_m^-3,0.00663
117,Patapsco,Mmpw_t_yr,780.0
118,Patapsco,R_mm_d,0.54
119,Magothy,Micro_#_m^-3,0.661
120,Magothy,Macro_#_m^-3,0.026
121,Magothy,Micro_g_m^-3,0.00012
122,Magothy,Macro_g_m^-3,0.00454
123,Magothy,Total_g_m^-3,0.00466
124,Magothy,Mmpw_t_yr,47.6
125,Magothy,R_mm_d,0.45
126,Magothy,Micro_#_m^-3,1.73
127,Magothy,Macro_#_m^-3,0.069
128,Magothy,Micro_g_m^-3,0.0016
129,Magothy,Macro_g_m^-3,0.0119
130,Magothy,Total_g_m^-3,0.0135
