Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.17,-.23,-.08,-.15,-.08,-.19,-.17,-.08,-.13,-.22,-.21,-.16,-.15,***,***,-.10,-.15,-.19
1881,-.18,-.13,.04,.07,.08,-.17,.02,-.02,-.14,-.20,-.17,-.05,-.07,-.08,-.16,.06,-.06,-.17
1882,.18,.16,.06,-.15,-.13,-.21,-.15,-.05,-.13,-.22,-.15,-.34,-.09,-.07,.10,-.07,-.14,-.17
1883,-.27,-.35,-.11,-.16,-.16,-.06,-.05,-.12,-.20,-.10,-.21,-.10,-.16,-.18,-.32,-.14,-.08,-.17
1884,-.12,-.06,-.34,-.39,-.33,-.34,-.31,-.26,-.26,-.24,-.32,-.30,-.27,-.26,-.09,-.35,-.30,-.27
1885,-.57,-.32,-.25,-.40,-.43,-.42,-.32,-.29,-.27,-.22,-.22,-.08,-.32,-.33,-.40,-.36,-.35,-.24
1886,-.42,-.49,-.42,-.27,-.23,-.33,-.17,-.29,-.22,-.26,-.26,-.24,-.30,-.29,-.33,-.30,-.26,-.25
1887,-.70,-.55,-.34,-.33,-.28,-.23,-.24,-.33,-.24,-.34,-.24,-.32,-.34,-.34,-.50,-.32,-.27,-.27
1888,-.32,-.34,-.40,-.19,-.21,-.16,-.09,-.14,-.11,.03,.04,-.03,-.16,-.18,-.33,-.26,-.13,-.01
1889,-.07,.18,.07,.11,.00,-.09,-.07,-.19,-.23,-.25,-.32,-.28,-.09,-.07,.03,.06,-.12,-.27
1890,-.40,-.44,-.39,-.28,-.38,-.24,-.27,-.38,-.36,-.24,-.43,-.30,-.34,-.34,-.38,-.35,-.30,-.34
1891,-.32,-.46,-.17,-.26,-.15,-.20,-.17,-.16,-.15,-.21,-.30,-.04,-.22,-.24,-.36,-.19,-.18,-.22
1892,-.28,-.10,-.39,-.32,-.22,-.21,-.31,-.26,-.16,-.13,-.41,-.37,-.26,-.24,-.14,-.31,-.26,-.23
1893,-.80,-.56,-.21,-.26,-.33,-.25,-.13,-.24,-.22,-.18,-.18,-.31,-.31,-.31,-.58,-.27,-.21,-.19
1894,-.51,-.28,-.22,-.44,-.30,-.40,-.23,-.23,-.27,-.22,-.25,-.20,-.29,-.30,-.37,-.32,-.29,-.25
1895,-.40,-.41,-.32,-.20,-.26,-.20,-.16,-.16,-.11,-.10,-.16,-.13,-.22,-.22,-.34,-.26,-.17,-.12
1896,-.20,-.11,-.25,-.29,-.15,-.10,-.02,-.04,-.06,.08,-.03,-.04,-.10,-.11,-.15,-.23,-.05,-.01
1897,-.14,-.16,-.13,-.01,.00,-.10,-.02,-.08,-.08,-.11,-.17,-.18,-.10,-.09,-.11,-.05,-.07,-.12
1898,.00,-.28,-.49,-.29,-.29,-.17,-.21,-.25,-.20,-.33,-.37,-.22,-.26,-.26,-.15,-.36,-.21,-.30
