Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.17,-.23,-.08,-.15,-.09,-.20,-.17,-.09,-.13,-.22,-.21,-.16,-.16,***,***,-.11,-.15,-.19
1881,-.18,-.13,.04,.06,.07,-.17,.02,-.02,-.14,-.20,-.17,-.05,-.07,-.08,-.16,.06,-.06,-.17
1882,.18,.15,.06,-.15,-.13,-.22,-.15,-.06,-.13,-.22,-.15,-.34,-.10,-.07,.09,-.08,-.14,-.17
1883,-.28,-.36,-.11,-.17,-.16,-.07,-.05,-.12,-.20,-.10,-.22,-.10,-.16,-.18,-.33,-.15,-.08,-.17
1884,-.12,-.06,-.35,-.39,-.33,-.35,-.31,-.26,-.26,-.24,-.32,-.30,-.27,-.26,-.09,-.36,-.31,-.28
1885,-.58,-.33,-.26,-.41,-.44,-.43,-.33,-.30,-.28,-.23,-.23,-.09,-.33,-.34,-.40,-.37,-.35,-.25
1886,-.43,-.50,-.42,-.27,-.23,-.34,-.17,-.30,-.23,-.27,-.26,-.25,-.31,-.29,-.34,-.31,-.27,-.25
1887,-.71,-.56,-.35,-.34,-.30,-.24,-.25,-.34,-.25,-.35,-.25,-.32,-.35,-.35,-.50,-.33,-.28,-.28
1888,-.33,-.36,-.41,-.20,-.22,-.17,-.10,-.15,-.11,.02,.03,-.04,-.17,-.19,-.34,-.28,-.14,-.02
1889,-.08,.17,.06,.10,-.01,-.10,-.07,-.20,-.24,-.26,-.33,-.28,-.10,-.08,.02,.05,-.12,-.27
1890,-.41,-.44,-.40,-.29,-.39,-.24,-.27,-.38,-.36,-.24,-.43,-.31,-.35,-.35,-.38,-.36,-.30,-.34
1891,-.34,-.46,-.18,-.27,-.16,-.20,-.17,-.17,-.15,-.22,-.31,-.04,-.22,-.24,-.37,-.20,-.18,-.23
1892,-.28,-.10,-.40,-.33,-.23,-.22,-.31,-.27,-.16,-.14,-.42,-.38,-.27,-.24,-.14,-.32,-.27,-.24
1893,-.81,-.57,-.22,-.27,-.34,-.25,-.13,-.24,-.22,-.18,-.18,-.31,-.31,-.32,-.59,-.27,-.21,-.19
