year,value,units
1994,9.20E+10,kg
1995,9.16E+10,kg
1996,9.60E+10,kg
1997,1.01E+11,kg
1998,1.06E+11,kg
1999,1.08E+11,kg
2000,1.09E+11,kg
2001,1.06E+11,kg
2002,1.09E+11,kg
2003,1.09E+11,kg
2004,1.17E+11,kg
2005,1.21E+11,kg
2006,1.24E+11,kg
2007,1.31E+11,kg
2008,1.33E+11,kg
2009,1.30E+11,kg
2010,1.31E+11,kg
2011,1.35E+11,kg
2012,1.40E+11,kg
2013,1.43E+11,kg
2014,1.45E+11,kg
2015,1.41E+11,kg
2016,1.44E+11,kg
2017,1.42E+11,kg
2018,1.44E+11,kg
2019,1.42E+11,kg
2020,1.47E+11,kg
2021,1.50E+11,kg
