Year,Catches
1900,1659
1901,2251
1902,2951
1903,3437
1904,4549
1905,4821
1906,4621
1907,6946
1908,9038
1909,11837
1910,17204
1911,22388
1912,25136
1913,25276
1914,24336
1915,20580
1916,12550
1917,8818
1918,10285
1919,10984
1920,14416
1921,10892
1922,17735
1923,16431
1924,20420
1925,27393
1926,26675
1927,25601
1928,30773
1929,38764
1930,48415
1931,12777
1932,28308
1933,31239
1934,39316
1935,39383
1936,49729
1937,63958
1938,48795
1939,41364
1940,22413
1941,11049
1942,10021
1943,11078
1944,9364
1945,18743
1946,33696
1947,43945
1948,47423
1949,49252
1950,49692
1951,62913
1952,49363
1953,52138
1954,62652
1955,62235
1956,59914
1957,67956
1958,71228
1959,75591
1960,79464
1961,74639
1962,66775
1963,76911
1964,82194
1965,71780
1966,70501
1967,64239
1968,56752
1969,59315
1970,53126
1971,52753
1972,41816
1973,41706
1974,43235
1975,35041
1976,31276
1977,24729
1978,21986
1979,17982
1980,14321
1981,13722
1982,12536
1983,11193
1984,8669
1985,7937
1986,6361
1987,1554
1988,348
1989,417
1990,327
1991,289
1992,425
1993,556
1994,610
1995,758
1996,905
1997,1055
1998,1114
1999,1130
