Domain,Area,Element,Item,Year,Unit,Value
"Pesticides Use","World","Agricultural Use","Insecticides","1996","tonnes","406713"
"Pesticides Use","World","Agricultural Use","Insecticides","1997","tonnes","399693"
"Pesticides Use","World","Agricultural Use","Insecticides","1998","tonnes","369270"
"Pesticides Use","World","Agricultural Use","Insecticides","1999","tonnes","378477"
"Pesticides Use","World","Agricultural Use","Insecticides","2000","tonnes","378459"
"Pesticides Use","World","Agricultural Use","Insecticides","2001","tonnes","351856"
"Pesticides Use","World","Agricultural Use","Insecticides","2002","tonnes","357689"
"Pesticides Use","World","Agricultural Use","Insecticides","2003","tonnes","357353"
"Pesticides Use","World","Agricultural Use","Insecticides","2004","tonnes","403081"
"Pesticides Use","World","Agricultural Use","Insecticides","2005","tonnes","391513"
"Pesticides Use","World","Agricultural Use","Insecticides","2006","tonnes","360216"
"Pesticides Use","World","Agricultural Use","Insecticides","2007","tonnes","400139"
"Pesticides Use","World","Agricultural Use","Insecticides","2008","tonnes","370833"
"Pesticides Use","World","Agricultural Use","Insecticides","2009","tonnes","365780"
"Pesticides Use","World","Agricultural Use","Insecticides","2010","tonnes","401669"
"Pesticides Use","World","Agricultural Use","Insecticides","2011","tonnes","371727"
"Pesticides Use","World","Agricultural Use","Insecticides","2012","tonnes","355554"
"Pesticides Use","World","Agricultural Use","Insecticides","2013","tonnes","371391"
"Pesticides Use","World","Agricultural Use","Insecticides","2014","tonnes","380777"
"Pesticides Use","World","Agricultural Use","Insecticides","2015","tonnes","380219"
"Pesticides Use","World","Agricultural Use","Insecticides","2016","tonnes","394453"
"Pesticides Use","World","Agricultural Use","Insecticides","2017","tonnes","398169"
"Pesticides Use","World","Agricultural Use","Insecticides","2018","tonnes","400266"
"Pesticides Use","World","Agricultural Use","Herbicides","1990","tonnes","590301"
"Pesticides Use","World","Agricultural Use","Herbicides","1991","tonnes","590994"
"Pesticides Use","World","Agricultural Use","Herbicides","1992","tonnes","615104"
"Pesticides Use","World","Agricultural Use","Herbicides","1993","tonnes","617947"
"Pesticides Use","World","Agricultural Use","Herbicides","1994","tonnes","652842"
"Pesticides Use","World","Agricultural Use","Herbicides","1995","tonnes","656090"
"Pesticides Use","World","Agricultural Use","Herbicides","1996","tonnes","707978"
"Pesticides Use","World","Agricultural Use","Herbicides","1997","tonnes","725794"
"Pesticides Use","World","Agricultural Use","Herbicides","1998","tonnes","734998"
"Pesticides Use","World","Agricultural Use","Herbicides","1999","tonnes","737318"
"Pesticides Use","World","Agricultural Use","Herbicides","2000","tonnes","751665"
"Pesticides Use","World","Agricultural Use","Herbicides","2001","tonnes","801211"
"Pesticides Use","World","Agricultural Use","Herbicides","2002","tonnes","792696"
"Pesticides Use","World","Agricultural Use","Herbicides","2003","tonnes","866075"
"Pesticides Use","World","Agricultural Use","Herbicides","2004","tonnes","904723"
"Pesticides Use","World","Agricultural Use","Herbicides","2005","tonnes","926297"
"Pesticides Use","World","Agricultural Use","Herbicides","2006","tonnes","947864"
"Pesticides Use","World","Agricultural Use","Herbicides","2007","tonnes","1076734"
"Pesticides Use","World","Agricultural Use","Herbicides","2008","tonnes","1115293"
"Pesticides Use","World","Agricultural Use","Herbicides","2009","tonnes","1036911"
"Pesticides Use","World","Agricultural Use","Herbicides","2010","tonnes","1175749"
"Pesticides Use","World","Agricultural Use","Herbicides","2011","tonnes","1224585"
"Pesticides Use","World","Agricultural Use","Herbicides","2012","tonnes","1290409"
"Pesticides Use","World","Agricultural Use","Herbicides","2013","tonnes","1231858"
"Pesticides Use","World","Agricultural Use","Herbicides","2014","tonnes","1238959"
"Pesticides Use","World","Agricultural Use","Herbicides","2015","tonnes","1218932"
"Pesticides Use","World","Agricultural Use","Herbicides","2016","tonnes","1250923"
"Pesticides Use","World","Agricultural Use","Herbicides","2017","tonnes","1249693"
"Pesticides Use","World","Agricultural Use","Herbicides","2018","tonnes","1216330"
"Pesticides Use","World","Agricultural Use","Fungicides and Bactericides","1990","tonnes","393564"
"Pesticides Use","World","Agricultural Use","Fungicides and Bactericides","1991","tonnes","387210"
"Pesticides Use","World","Agricultural Use","Fungicides and Bactericides","1992","tonnes","395569"
"Pesticides Use","World","Agricultural Use","Fungicides and Bactericides","1993","tonnes","420170"
"Pesticides Use","World","Agricultural Use","Fungicides and Bactericides","1994","tonnes","400226"
"Pesticides Use","World","Agricultural Use","Fungicides and Bactericides","1995","tonnes","403784"
"Pesticides Use","World","Agricultural Use","Fungicides and Bactericides","1996","tonnes","402410"
"Pesticides Use","World","Agricultural Use","Fungicides and Bactericides","1997","tonnes","435961"
"Pesticides Use","World","Agricultural Use","Fungicides and Bactericides","1998","tonnes","451610"
"Pesticides Use","World","Agricultural Use","Fungicides and Bactericides","1999","tonnes","441425"
"Pesticides Use","World","Agricultural Use","Fungicides and Bactericides","2000","tonnes","437932"
"Pesticides Use","World","Agricultural Use","Fungicides and Bactericides","2001","tonnes","414225"
"Pesticides Use","World","Agricultural Use","Fungicides and Bactericides","2002","tonnes","417154"
"Pesticides Use","World","Agricultural Use","Fungicides and Bactericides","2003","tonnes","419716"
"Pesticides Use","World","Agricultural Use","Fungicides and Bactericides","2004","tonnes","454437"
"Pesticides Use","World","Agricultural Use","Fungicides and Bactericides","2005","tonnes","451567"
"Pesticides Use","World","Agricultural Use","Fungicides and Bactericides","2006","tonnes","430292"
"Pesticides Use","World","Agricultural Use","Fungicides and Bactericides","2007","tonnes","463652"
"Pesticides Use","World","Agricultural Use","Fungicides and Bactericides","2008","tonnes","471283"
"Pesticides Use","World","Agricultural Use","Fungicides and Bactericides","2009","tonnes","452483"
"Pesticides Use","World","Agricultural Use","Fungicides and Bactericides","2010","tonnes","484717"
"Pesticides Use","World","Agricultural Use","Fungicides and Bactericides","2011","tonnes","497768"
"Pesticides Use","World","Agricultural Use","Fungicides and Bactericides","2012","tonnes","473732"
"Pesticides Use","World","Agricultural Use","Fungicides and Bactericides","2013","tonnes","481144"
"Pesticides Use","World","Agricultural Use","Fungicides and Bactericides","2014","tonnes","529184"
"Pesticides Use","World","Agricultural Use","Fungicides and Bactericides","2015","tonnes","522203"
"Pesticides Use","World","Agricultural Use","Fungicides and Bactericides","2016","tonnes","528429"
"Pesticides Use","World","Agricultural Use","Fungicides and Bactericides","2017","tonnes","529815"
"Pesticides Use","World","Agricultural Use","Fungicides and Bactericides","2018","tonnes","530095"
"Pesticides Use","World","Agricultural Use","Rodenticides","1990","tonnes","14933"
"Pesticides Use","World","Agricultural Use","Rodenticides","1991","tonnes","14905"
"Pesticides Use","World","Agricultural Use","Rodenticides","1992","tonnes","14963"
"Pesticides Use","World","Agricultural Use","Rodenticides","1993","tonnes","15253"
"Pesticides Use","World","Agricultural Use","Rodenticides","1994","tonnes","15508"
"Pesticides Use","World","Agricultural Use","Rodenticides","1995","tonnes","15595"
"Pesticides Use","World","Agricultural Use","Rodenticides","1996","tonnes","15897"
"Pesticides Use","World","Agricultural Use","Rodenticides","1997","tonnes","15834"
"Pesticides Use","World","Agricultural Use","Rodenticides","1998","tonnes","15828"
"Pesticides Use","World","Agricultural Use","Rodenticides","1999","tonnes","15791"
"Pesticides Use","World","Agricultural Use","Rodenticides","2000","tonnes","15636"
"Pesticides Use","World","Agricultural Use","Rodenticides","2001","tonnes","15807"
"Pesticides Use","World","Agricultural Use","Rodenticides","2002","tonnes","16309"
"Pesticides Use","World","Agricultural Use","Rodenticides","2003","tonnes","15537"
"Pesticides Use","World","Agricultural Use","Rodenticides","2004","tonnes","15190"
"Pesticides Use","World","Agricultural Use","Rodenticides","2005","tonnes","13838"
"Pesticides Use","World","Agricultural Use","Rodenticides","2006","tonnes","16268"
"Pesticides Use","World","Agricultural Use","Rodenticides","2007","tonnes","16663"
"Pesticides Use","World","Agricultural Use","Rodenticides","2008","tonnes","9579"
"Pesticides Use","World","Agricultural Use","Rodenticides","2009","tonnes","3030"
"Pesticides Use","World","Agricultural Use","Rodenticides","2010","tonnes","3324"
"Pesticides Use","World","Agricultural Use","Rodenticides","2011","tonnes","3500"
"Pesticides Use","World","Agricultural Use","Rodenticides","2012","tonnes","3102"
"Pesticides Use","World","Agricultural Use","Rodenticides","2013","tonnes","3126"
"Pesticides Use","World","Agricultural Use","Rodenticides","2014","tonnes","3273"
"Pesticides Use","World","Agricultural Use","Rodenticides","2015","tonnes","3293"
"Pesticides Use","World","Agricultural Use","Rodenticides","2016","tonnes","3141"
"Pesticides Use","World","Agricultural Use","Rodenticides","2017","tonnes","3399"
"Pesticides Use","World","Agricultural Use","Rodenticides","2018","tonnes","4333"
