Domain,Area,Element,Item,Year,Unit,Value
"Pesticides Use","World","Agricultural Use","Pesticides (total)","1990","tonnes","2299979"
"Pesticides Use","World","Agricultural Use","Pesticides (total)","1991","tonnes","2276625"
"Pesticides Use","World","Agricultural Use","Pesticides (total)","1992","tonnes","2338351"
"Pesticides Use","World","Agricultural Use","Pesticides (total)","1993","tonnes","2401835"
"Pesticides Use","World","Agricultural Use","Pesticides (total)","1994","tonnes","2563986"
"Pesticides Use","World","Agricultural Use","Pesticides (total)","1995","tonnes","2708908"
"Pesticides Use","World","Agricultural Use","Pesticides (total)","1996","tonnes","2815341"
"Pesticides Use","World","Agricultural Use","Pesticides (total)","1997","tonnes","2939158"
"Pesticides Use","World","Agricultural Use","Pesticides (total)","1998","tonnes","2998154"
"Pesticides Use","World","Agricultural Use","Pesticides (total)","1999","tonnes","3114330"
"Pesticides Use","World","Agricultural Use","Pesticides (total)","2000","tonnes","3089827"
"Pesticides Use","World","Agricultural Use","Pesticides (total)","2001","tonnes","3058275"
"Pesticides Use","World","Agricultural Use","Pesticides (total)","2002","tonnes","3096007"
"Pesticides Use","World","Agricultural Use","Pesticides (total)","2003","tonnes","3193092"
"Pesticides Use","World","Agricultural Use","Pesticides (total)","2004","tonnes","3376067"
"Pesticides Use","World","Agricultural Use","Pesticides (total)","2005","tonnes","3449778"
"Pesticides Use","World","Agricultural Use","Pesticides (total)","2006","tonnes","3498719"
"Pesticides Use","World","Agricultural Use","Pesticides (total)","2007","tonnes","3788295"
"Pesticides Use","World","Agricultural Use","Pesticides (total)","2008","tonnes","3835826"
"Pesticides Use","World","Agricultural Use","Pesticides (total)","2009","tonnes","3753717"
"Pesticides Use","World","Agricultural Use","Pesticides (total)","2010","tonnes","4010862"
"Pesticides Use","World","Agricultural Use","Pesticides (total)","2011","tonnes","4100877"
"Pesticides Use","World","Agricultural Use","Pesticides (total)","2012","tonnes","4143104"
"Pesticides Use","World","Agricultural Use","Pesticides (total)","2013","tonnes","4097069"
"Pesticides Use","World","Agricultural Use","Pesticides (total)","2014","tonnes","4160211"
"Pesticides Use","World","Agricultural Use","Pesticides (total)","2015","tonnes","4113513"
"Pesticides Use","World","Agricultural Use","Pesticides (total)","2016","tonnes","4132820"
"Pesticides Use","World","Agricultural Use","Pesticides (total)","2017","tonnes","4151332"
"Pesticides Use","World","Agricultural Use","Pesticides (total)","2018","tonnes","4122334"
"Pesticides Use","World","Agricultural Use","Insecticides","1990","tonnes","395073"
"Pesticides Use","World","Agricultural Use","Insecticides","1991","tonnes","387248"
"Pesticides Use","World","Agricultural Use","Insecticides","1992","tonnes","375101"
"Pesticides Use","World","Agricultural Use","Insecticides","1993","tonnes","368930"
"Pesticides Use","World","Agricultural Use","Insecticides","1994","tonnes","377166"
"Pesticides Use","World","Agricultural Use","Insecticides","1995","tonnes","395121"
