year.decimal,Antarctic Mass Gt,Antarctic Mass Gt (1-sigma uncertainty)
2002.29,0,178.9
2002.35,19.81,102.47
2002.62,-59.75,83.09
2002.71,46.49,97.19
2002.79,62.99,61.82
2002.87,-68.99,58.68
2002.96,-49.6,59.19
2003.04,-48.96,64.73
2003.12,-199.71,48.1
2003.2,-171.22,42.95
2003.29,-43.3,43.58
2003.36,0.08,48.24
2003.54,-128.88,37.86
2003.62,-122.7,39.87
2003.71,-131.3,39.61
2003.79,-48.94,40.19
2003.87,-107.47,40.89
2003.96,-273.11,39.82
2004.02,-330.04,43.72
2004.13,-492.18,40.46
2004.21,-341.29,37.97
2004.29,-387.43,37.56
2004.37,-156.31,38.36
2004.46,-188.46,37.47
2004.54,-314.1,34.08
2004.62,-166.83,35.44
2004.71,-161.8,36.2
2004.79,-87.06,33.33
2004.87,-226.88,36.02
2004.96,-306.22,35.33
2005.04,-395.05,33.76
2005.12,-455.96,35.22
2005.2,-405.74,34.97
2005.29,-252.21,34.3
2005.37,-229.44,35.04
2005.46,-204.58,35.16
2005.54,-159.9,33.88
2005.62,-210.01,34.19
2005.71,-113.69,33.91
2005.79,-106.83,33.17
2005.87,-59.83,33.08
2005.96,-159.98,38.45
2006.04,-225.81,34.46
2006.12,-319.21,35.03
2006.2,-183.52,35.19
2006.29,-159.27,35.23
2006.37,-82.03,35.51
2006.45,-49.53,37.9
2006.54,-99.34,37.37
2006.62,-9.53,36.14
2006.71,-20.72,37.96
2006.79,-97.05,37
2006.87,-90.7,36.85
2006.96,-235.4,37.92
2007.04,-439.79,38.38
2007.12,-430.89,37.94
2007.2,-361.58,37.66
2007.29,-337.09,37.77
2007.37,-180.11,37.57
2007.45,-192.35,38.38
2007.54,-269.22,37.52
2007.62,-231.08,39.45
2007.71,-158.04,39.17
2007.79,-246.86,39.51
2007.87,-439.43,40.82
2007.96,-521.83,39.77
2008.04,-730.87,39.43
2008.12,-609.05,41.45
2008.21,-741.98,40.25
2008.29,-562.71,42.17
2008.37,-474.73,40.75
2008.46,-559.03,40.38
2008.54,-652.68,40.84
2008.62,-604.33,40.15
2008.71,-443.74,40.44
2008.79,-534.72,39.48
2008.87,-520.89,40.89
2008.96,-625.27,40.43
2009.04,-707.74,39.6
2009.12,-682.34,39.72
2009.2,-617.95,39.33
2009.29,-580.38,36.58
2009.37,-554.26,35.97
2009.46,-541.31,35.73
2009.54,-436.9,36.75
2009.62,-467.56,34.71
2009.71,-481.66,33.67
2009.79,-535.49,33.92
2009.87,-521.96,33.46
2009.96,-632.3,33.43
2010.04,-803.21,33.03
2010.12,-808,32.76
2010.2,-688.37,34.51
2010.29,-760.18,32.2
2010.37,-781.4,32.63
2010.45,-794.63,38.44
2010.54,-998.11,35.63
2010.62,-927.07,34.62
2010.71,-848.51,36.4
2010.79,-880.08,38.44
2010.87,-901.42,39.59
2010.95,-913.64,40.67
2011.13,-1002.82,43.16
2011.2,-1019.02,41.62
2011.29,-1030.27,41.22
2011.37,-965.7,40.16
2011.54,-911.46,42.75
2011.62,-927.67,40.5
2011.71,-839.07,39.71
2011.79,-885.24,38.98
2011.83,-881.02,39.28
2012,-1148.91,39.05
2012.04,-1079.14,37.63
2012.12,-1142.12,38.79
2012.21,-1119.92,37.12
2012.26,-1057.86,43.32
2012.46,-1095.75,39.99
2012.54,-1062.58,38.8
2012.62,-984.17,37.7
2012.7,-947.96,41.16
2012.88,-1069.54,41.62
2012.96,-1118.85,39.53
2013.04,-1288.94,38.98
2013.12,-1396.74,40.16
2013.3,-1135.98,41.36
2013.37,-1240.12,37.57
2013.46,-1248.03,38.44
2013.54,-1209.64,37.79
2013.79,-1300.58,38.01
2013.87,-1348.87,36.03
2013.96,-1399.29,35.45
2014.02,-1505.87,40.12
2014.2,-1616.84,32.35
2014.29,-1536.83,33.19
2014.37,-1442.99,33.14
2014.45,-1486.36,35.04
2014.62,-1534.7,33.51
2014.71,-1362.26,33
2014.79,-1452.03,31.99
2014.88,-1527.09,31.56
2015.06,-1828.88,35.31
2015.12,-1904.71,56.93
2015.2,-1874.91,30.75
2015.29,-1852.89,32.24
2015.32,-1779.78,34.83
2015.53,-1744.97,37.19
2015.62,-1898.8,34.62
2015.7,-1851.33,36.97
2015.98,-1894.7,36.86
2016.04,-1918.32,35.36
2016.12,-1994.85,34.1
2016.21,-1929.56,35.08
2016.38,-1791.76,37.4
2016.46,-1775.4,34.44
2016.54,-1655.67,34.27
2016.64,-1601.23,36.53
2016.91,-1672.03,61.29
2016.98,-1587.02,61.17
2017.06,-1606.21,60.6
2017.25,-1931.15,61.91
2017.31,-1850.86,61.28
2017.36,-1815.51,59.9
2017.44,-1814.63,59.83
2018.45,-1984.08,35.1
2018.52,-1999.16,31.43
2018.83,-2258.42,30.3
2018.87,-2223.35,28.2
2018.96,-2276.44,27.41
2019.04,-2367.23,27.15
2019.12,-2410.38,27.11
2019.2,-2314.38,26.87
2019.29,-2133.88,26.88
2019.37,-2186.26,26.79
2019.45,-2278.6,26.75
2019.54,-2183.16,26.79
2019.62,-2228.66,26.79
2019.71,-2104.45,26.85
2019.79,-2287.49,26.81
2019.87,-2348.38,27.45
2019.96,-2394.79,28.18
2020.04,-2703.98,29.24
2020.12,-2809.68,30.12
2020.21,-2629.84,30.64
2020.29,-2537.35,31.58
2020.37,-2458.82,32.41
2020.46,-2425.61,33.28
2020.54,-2357.73,39.52
2020.62,-2249.57,46.69
2020.71,-2437.48,54.55
2020.79,-2536.5,63.48
