year.decimal,Antarctic Mass Gt,Antarctic Mass Gt (1-sigma uncertainty)
2002.29,0,178.9
2002.35,24.13,102.47
2002.62,-53.36,83.09
2002.71,47.18,97.19
2002.79,69.63,61.82
2002.87,-61.41,58.68
2002.96,-44.13,59.19
2003.04,-49.2,64.73
2003.12,-197.45,48.1
2003.2,-165.96,42.95
2003.29,-37.39,43.58
2003.36,4.79,48.24
2003.54,-120.28,37.86
2003.62,-115.37,39.87
2003.71,-123.66,39.61
2003.79,-40.39,40.19
2003.87,-99.47,40.89
2003.96,-264.57,39.82
2004.02,-325.43,43.72
2004.13,-484.13,40.46
2004.21,-331.82,37.97
2004.29,-379.15,37.56
2004.37,-148.86,38.36
2004.46,-181.72,37.47
2004.54,-306.21,34.08
2004.62,-160.43,35.44
2004.71,-155.78,36.2
2004.79,-79.38,33.33
2004.87,-221.09,36.02
2004.96,-299.56,35.33
2005.04,-385.97,33.76
2005.12,-447.98,35.22
2005.2,-398.96,34.97
2005.29,-245.31,34.3
2005.37,-223.38,35.04
2005.46,-199.69,35.16
2005.54,-154.06,33.88
2005.62,-203.56,34.19
2005.71,-106.58,33.91
2005.79,-99.76,33.17
2005.87,-53.26,33.08
2005.96,-157.44,38.45
2006.04,-218.41,34.46
2006.12,-312.09,35.03
2006.2,-176.55,35.19
2006.29,-152.08,35.23
2006.37,-74.35,35.51
2006.45,-44.45,37.9
2006.54,-93.81,37.37
2006.62,-2.87,36.14
2006.71,-15.54,37.96
2006.79,-90.46,37
2006.87,-82.74,36.85
2006.96,-228.27,37.92
2007.04,-432.24,38.38
2007.12,-423.44,37.94
2007.2,-354.15,37.66
2007.29,-329.82,37.77
2007.37,-172.5,37.57
2007.45,-184.98,38.38
2007.54,-261.9,37.52
2007.62,-225.16,39.45
2007.71,-151.92,39.17
2007.79,-239.94,39.51
2007.87,-432.94,40.82
2007.96,-514.91,39.77
2008.04,-722.8,39.43
2008.12,-602.1,41.45
2008.21,-733.63,40.25
2008.29,-556.36,42.17
2008.37,-467.73,40.75
2008.46,-551.05,40.38
2008.54,-645.58,40.84
2008.62,-596.75,40.15
2008.71,-436.24,40.44
2008.79,-526.38,39.48
2008.87,-514.11,40.89
2008.96,-618.51,40.43
2009.04,-699.95,39.6
2009.12,-674.6,39.72
2009.2,-611.66,39.33
2009.29,-572.74,36.58
2009.37,-546.59,35.97
2009.46,-534.43,35.73
2009.54,-432.81,36.75
2009.62,-462.71,34.71
2009.71,-476.07,33.67
2009.79,-530.68,33.92
2009.87,-516.56,33.46
2009.96,-626.41,33.43
2010.04,-796.89,33.03
2010.12,-802.56,32.76
2010.2,-683.93,34.51
2010.29,-753.89,32.2
2010.37,-775.66,32.63
