Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.17,-.24,-.08,-.15,-.09,-.20,-.17,-.09,-.14,-.22,-.21,-.17,-.16,***,***,-.11,-.15,-.19
1881,-.19,-.13,.04,.06,.07,-.18,.01,-.03,-.15,-.21,-.17,-.06,-.08,-.09,-.16,.05,-.07,-.18
1882,.18,.15,.05,-.16,-.14,-.22,-.15,-.06,-.13,-.23,-.15,-.35,-.10,-.08,.09,-.08,-.14,-.17
1883,-.28,-.36,-.11,-.17,-.16,-.07,-.05,-.13,-.20,-.11,-.22,-.10,-.16,-.18,-.33,-.15,-.08,-.18
1884,-.12,-.07,-.35,-.39,-.33,-.35,-.31,-.26,-.26,-.25,-.33,-.31,-.28,-.26,-.10,-.36,-.31,-.28
1885,-.58,-.33,-.26,-.41,-.45,-.43,-.34,-.31,-.28,-.23,-.23,-.10,-.33,-.35,-.41,-.37,-.36,-.25
1886,-.43,-.50,-.43,-.28,-.24,-.34,-.18,-.30,-.24,-.27,-.26,-.25,-.31,-.30,-.34,-.31,-.27,-.26
1887,-.71,-.56,-.35,-.34,-.30,-.24,-.25,-.35,-.25,-.35,-.25,-.33,-.36,-.35,-.51,-.33,-.28,-.29
1888,-.34,-.36,-.41,-.20,-.22,-.17,-.10,-.15,-.12,.02,.03,-.04,-.17,-.20,-.34,-.28,-.14,-.02
1889,-.08,.17,.06,.10,-.01,-.10,-.07,-.20,-.24,-.26,-.33,-.29,-.10,-.08,.02,.05,-.12,-.27
1890,-.41,-.44,-.40,-.29,-.39,-.24,-.28,-.39,-.36,-.25,-.43,-.31,-.35,-.35,-.38,-.36,-.30,-.34
1891,-.34,-.46,-.18,-.27,-.16,-.20,-.17,-.17,-.16,-.22,-.31,-.05,-.22,-.25,-.37,-.20,-.18,-.23
1892,-.29,-.10,-.40,-.33,-.23,-.22,-.32,-.27,-.17,-.14,-.42,-.38,-.27,-.25,-.15,-.32,-.27,-.24
1893,-.81,-.57,-.22,-.27,-.34,-.26,-.14,-.25,-.22,-.18,-.18,-.31,-.31,-.32,-.59,-.28,-.21,-.20
1894,-.52,-.29,-.23,-.45,-.31,-.40,-.24,-.23,-.27,-.23,-.25,-.21,-.30,-.31,-.38,-.33,-.29,-.25
1895,-.40,-.42,-.32,-.21,-.27,-.21,-.16,-.17,-.12,-.11,-.16,-.14,-.22,-.23,-.34,-.27,-.18,-.13
1896,-.21,-.12,-.26,-.30,-.15,-.11,-.02,-.05,-.07,.07,-.04,-.04,-.11,-.12,-.16,-.24,-.06,-.01
1897,-.15,-.17,-.14,-.02,-.01,-.12,-.02,-.09,-.08,-.12,-.18,-.19,-.11,-.09,-.12,-.06,-.08,-.13
1898,-.01,-.29,-.50,-.30,-.29,-.18,-.21,-.26,-.21,-.34,-.37,-.23,-.27,-.26,-.16,-.36,-.22,-.31
1899,-.16,-.38,-.35,-.20,-.22,-.31,-.15,-.08,-.05,-.04,.13,-.25,-.17,-.17,-.25,-.26,-.18,.01
1900,-.35,-.05,.01,-.08,-.08,-.09,-.12,-.08,-.04,.10,-.05,-.06,-.07,-.09,-.21,-.05,-.10,.00
1901,-.21,-.10,.07,-.02,-.15,-.11,-.14,-.20,-.21,-.28,-.17,-.27,-.15,-.13,-.12,-.03,-.15,-.22
1902,-.17,-.06,-.27,-.27,-.31,-.29,-.27,-.29,-.28,-.28,-.34,-.41,-.27,-.26,-.16,-.28,-.28,-.30
1903,-.22,-.05,-.21,-.40,-.39,-.41,-.34,-.44,-.49,-.47,-.41,-.50,-.36,-.35,-.22,-.33,-.40,-.46
1904,-.62,-.56,-.47,-.49,-.51,-.47,-.50,-.48,-.55,-.38,-.16,-.32,-.46,-.47,-.56,-.49,-.48,-.36
1905,-.34,-.58,-.20,-.33,-.28,-.27,-.26,-.19,-.18,-.24,-.06,-.12,-.26,-.27,-.41,-.27,-.24,-.16
1906,-.27,-.28,-.18,-.04,-.25,-.19,-.22,-.19,-.28,-.19,-.36,-.14,-.22,-.21,-.23,-.16,-.20,-.28
1907,-.42,-.50,-.26,-.36,-.45,-.41,-.34,-.33,-.34,-.22,-.45,-.46,-.38,-.35,-.35,-.36,-.36,-.34
1908,-.44,-.32,-.55,-.44,-.37,-.38,-.35,-.46,-.35,-.43,-.51,-.48,-.42,-.42,-.41,-.45,-.39,-.43
1909,-.72,-.45,-.54,-.58,-.54,-.51,-.44,-.32,-.38,-.39,-.31,-.56,-.48,-.47,-.55,-.55,-.42,-.36
1910,-.40,-.41,-.50,-.42,-.33,-.38,-.34,-.36,-.38,-.40,-.54,-.66,-.43,-.42,-.46,-.42,-.36,-.44
1911,-.61,-.57,-.60,-.53,-.50,-.49,-.40,-.43,-.40,-.26,-.20,-.20,-.43,-.47,-.61,-.54,-.44,-.29
1912,-.24,-.13,-.37,-.17,-.21,-.22,-.41,-.53,-.57,-.57,-.37,-.42,-.35,-.33,-.19,-.25,-.39,-.50
1913,-.40,-.44,-.41,-.38,-.43,-.45,-.36,-.33,-.35,-.31,-.19,-.01,-.34,-.37,-.42,-.41,-.38,-.28
1914,.06,-.09,-.23,-.28,-.20,-.25,-.22,-.15,-.16,-.03,-.14,-.03,-.14,-.14,-.01,-.24,-.21,-.11
1915,-.20,-.03,-.09,.07,-.05,-.21,-.11,-.21,-.20,-.24,-.12,-.21,-.13,-.12,-.09,-.02,-.18,-.18
1916,-.11,-.14,-.27,-.29,-.33,-.49,-.37,-.27,-.35,-.32,-.45,-.81,-.35,-.30,-.15,-.30,-.37,-.37
