reference,nitrogen_fixation (10^11 kg / yr),relevant_era
Cleveland et al. (1999),1.7,modern
Galloway et al. (2004),1.07,1990s
Gruber and Galloway (2008),1.1,1990s
"Vitousek et al. (2013) , Schlesinger and Bernhardt (2013)",0.58,modern
Cleveland et al. (2013),1.28,modern
Fowler et al. (2015),1.28,modern
